iter	Passed	Remaining
409	4424	6366
410	4434	6355
411	4445	6344
412	4455	6332
413	4465	6320
414	4477	6311
415	4488	6300
416	4498	6289
417	4509	6278
418	4519	6266
419	4529	6255
420	4540	6244
421	4552	6235
422	4563	6225
423	4575	6216
424	4587	6206
425	4598	6196
426	4612	6189
427	4623	6179
428	4635	6169
429	4646	6159
430	4657	6149
431	4669	6139
432	4680	6128
433	4691	6118
434	4707	6114
435	4722	6108
436	4734	6099
437	4747	6091
438	4758	6081
439	4771	6072
440	4784	6064
441	4796	6055
442	4808	6046
443	4819	6035
444	4831	6025
445	4842	6014
446	4852	6003
447	4863	5992
448	4873	5980
449	4884	5969
450	4895	5959
451	4907	5949
452	4918	5939
453	4929	5928
454	4941	5919
455	4953	5910
456	4966	5901
457	4977	5890
458	4987	5878
459	4999	5868
460	5010	5858
461	5021	5847
462	5032	5836
463	5043	5826
464	5055	5816
465	5068	5808
466	5079	5797
467	5091	5787
468	5103	5778
469	5115	5768
470	5127	5758
471	5138	5748
472	5149	5737
473	5160	5726
474	5170	5715
475	5182	5705
476	5193	5693
477	5204	5683
478	5215	5673
479	5225	5660
480	5236	5650
481	5246	5638
482	5258	5628
483	5270	5618
484	5281	5608
485	5291	5596
486	5302	5586
487	5313	5574
488	5324	5563
489	5333	5551
490	5344	5540
491	5354	5528
492	5364	5517
493	5375	5506
494	5386	5494
495	5396	5483
496	5406	5471
497	5416	5460
498	5427	5448
499	5438	5438
500	5449	5427
501	5460	5416
502	5470	5405
503	5481	5394
504	5492	5383
505	5502	5371
506	5512	5359
507	5521	5347
508	5532	5336
509	5541	5324
510	5552	5313
511	5563	5302
512	5575	5293
513	5586	5282
514	5596	5270
515	5607	5259
516	5617	5248
517	5627	5236
518	5637	5224
519	5648	5213
520	5658	5202
521	5670	5192
522	5680	5180
523	5692	5170
524	5703	5160
525	5713	5148
526	5723	5137
527	5734	5125
528	5745	5115
529	5754	5103
530	5765	5092
531	5775	5080
532	5785	5069
533	5796	5058
534	5806	5046
535	5816	5035
536	5827	5024
537	5837	5012
538	5847	5001
539	5859	4991
540	5868	4979
541	5879	4968
542	5889	4956
543	5899	4944
544	5908	4932
545	5920	4922
546	5930	4911
547	5941	4900
548	5953	4890
549	5964	4879
550	5974	4868
551	5985	4857
552	5996	4846
553	6008	4837
554	6018	4825
555	6029	4815
556	6039	4803
557	6049	4791
558	6059	4780
559	6069	4769
560	6080	4757
561	6090	4746
562	6100	4735
563	6111	4724
564	6120	4712
565	6130	4700
566	6140	4689
567	6150	4677
568	6160	4666
569	6170	4655
570	6181	4644
571	6191	4632
572	6201	4621
573	6211	4609
574	6222	4599
575	6232	4587
576	6242	4576
577	6252	4565
578	6262	4553
579	6272	4542
580	6283	4531
581	6292	4519
