step,sec,prop
Get Data,1.4600000000086766e-05,1.1536013022804946e-05
Parse Data,0.11843300000000312,0.09357839933710786
Create X,0.061030700000003435,0.04822266780731215
Preprocessing,0.8031063999999972,0.6345647869207471
Predictions,0.043041600000002234,0.034008798501331254
Adverse Action,0.11402119999999627,0.09009246904575256
Counter Offers,0.12195080000000047,0.09635794636528262
Generate Output,0.004003600000004326,0.0031633960094436513
