col,Early_Pay_Delinquency_15_60_Flag,Early_Pay_Delinquency_30_90_Flag,Early_Pay_Delinquency_30_180_Flag,Early_Pay_Delinquency_30_360_Flag,Early_Pay_Delinquency_60_720_Flag,bitDefault
Early_Pay_Delinquency_15_60_Flag,1.0,0.5848121502797762,0.7849720223820943,0.8972022382094325,0.8027178257394084,0.5309352517985612
Early_Pay_Delinquency_30_90_Flag,0.7098777411216767,1.0,1.0,1.0,0.8932660586066369,0.6231321560256161
Early_Pay_Delinquency_30_180_Flag,0.4114295290765879,0.43179152002681415,1.0,1.0,0.8531087648734708,0.5523713759007877
Early_Pay_Delinquency_30_360_Flag,0.27375609756097563,0.2513658536585366,0.5821463414634146,1.0,0.7999024390243903,0.47917073170731705
Early_Pay_Delinquency_60_720_Flag,0.24402216174183514,0.22370723172628304,0.494799766718507,0.7969479004665629,1.0,0.5636178071539658
bitDefault,0.2859972442301068,0.276524285222184,0.5676885980020668,0.8459352394075095,0.998708232862556,1.0
