feature,reason,model,description,Change Reason/Comment
linkf003__tu,Excessive obligations in relation to income,gen_xii,Number of NSF within last 18 months,
linkt009__tu,Derogatory public record,gen_xii,Number of tradeline bankruptcies,
addrinputdelivery__ln,Unable to verify consumer identity or information,gen_xii,Indicates the mail delivery status on file for the input address,
g405s__tu,Excessive inquiries,gen_xii,Number of deduped finance inquiries in past 6 months,
g220d__tu,Delinquent credit obligations,gen_xii,Number of credit card trades verified in the past 12 months that are currently 90 days or more past due,
of28s__tu,Excessive Number of Accounts,gen_xii,Total credit line of open credit union trades verified in past 12 months,
st01s__tu,Excessive Number of Accounts,gen_xii,Number of student loan trades,
rev122__tu,High revolving credit balances,gen_xii,Number of months in the past 12 months where percentage of Revolving trades utilized less than 100% was more than 25%,
criminalnonfelonytimenewest__ln,Derogatory public record,gen_xii,"Time (in months) since most recently recorded non-felony criminal conviction on subject's file
NOTE: This attribute does not include sexual offender registry records",
of20s__tu,"Insufficient credit file, Length of Credit",gen_xii,Months since oldest credit union trade opened,
per235__tu,Excessive Account Balances,gen_xii,Aggregate Excess Payment for Personal Loan accounts over the past 24 months,
linkf020__tu,Excessive Account Balances,gen_xii,Number of satisfactory ACH transactions within last 24 months,Excessive Number of Accounts
at28b__tu,Excessive Number of Accounts,gen_xii,Total credit line of open trades verified in past 12 months (excluding mortgage and home equity),
g406s__tu,Excessive inquiries,gen_xii,Number of deduped finance inquiries in past 12 months,
in27s__tu,Excessive Number of Accounts,gen_xii,Number of currently open and satisfactory installment trades 24 months or older,
addrinputproblems__ln,Unable to verify consumer identity or information,gen_xii,Indicates any problems on file associated with the input address,
linkf199__tu,Derogatory Payments on accounts,gen_xii,Total Good ACH amount,
ENG-loan_to_value,Value or type of collateral not sufficient,gen_xii,Loan to value,
bitdealerapplicantsamezip__app,Unfavorable lending state,gen_xii,Applicant and Dealer Same Zip,
g094s__tu,Derogatory Public record,gen_xii,Number of public record bankruptcies,
g409s__tu,Excessive inquiries,gen_xii,Number of deduped bank inquiries in past 6 months,
s209a__tu,Delinquent credit obligations,gen_xii,Months since most recent non-medical third party collection,
std253__tu,Excessive Account Balances,gen_xii,Average Aggregate Excess Payment for Student Loan accounts over the past 6 months,
linka060__tu,Excessive obligations in relation to income,gen_xii,Total amount of open (unpaid) non-sufficient funds in the last month,
assetpropeversoldcount__ln,Insufficient property value,gen_xii,Total number of real properties identified as ever sold based on real property ownership records on subject's file,
addrcurrentdwelltype__ln,No mortgage loans reported or too few active mortgage accounts,gen_xii,,
ret324__tu,Excessive Account Balances,gen_xii,Min Total Open-to-Buy for Retail accounts over the past 24 months,
at103s__tu,Delinquent credit obligations,gen_xii,Percentage of satisfactory open trades to all open trades verified in 24 months,
rvlr23__tu,High revolving credit balances,gen_xii,Bankcard Revolver/Transactor/Inactive pattern for bankcard with fourth highest balance    month 1 to 8,
addrinputphoneservice__ln,Unable to verify working phone number,gen_xii,Indicates if phone service was found on file for the input address,
agg909__tu,Excessive Account Balances,gen_xii,Months since max aggregate bankcard balance over last 12 months,
linkf035__tu,Delinquent credit obligations,gen_xii,Number of open delinquent and charge-off trade segments ONLINE LENDER,
linka072__tu,Excessive obligations in relation to income,gen_xii,Number of paid non-sufficient funds in the last 2 years,
linkf040__tu,Excessive inquiries,gen_xii,Number of lenders / locations with inquiries or trades all time ONLINE LENDER,
addrinputdwelltypeindex__ln,No mortgage loans reported or too few active mortgage accounts,gen_xii,Index indicating the dwelling type on file for the input address,
fltdowncash__app,Excessive payment to income,gen_xii,Cash Down,
fltapproveddowntotal__app,Excessive payment to income,gen_xii,Down Total,
linkf031__tu,Excessive Account Balances,gen_xii,Number of satisfactory ACH transactions within last 7 years,Excessive Number of Accounts
jt20s__tu,Insufficient length of credit history ,gen_xii,Months since oldest joint trade opened,
linka022__tu,Excessive Inquiries,gen_xii,Number of auto inquiries in the last 3 years,
addrinputownershipindex__ln,No mortgage loans reported or too few active mortgage accounts,gen_xii,Index indicating subject's ownership level at the input address based on the address property record on file,
cv04__tu,Delinquent credit obligations,gen_xii,Months since most recent third party collection occurrence,
linkf061__tu,Delinquent credit obligations,gen_xii,"Number of closed delinquent, return and collection trade segments within last 12 months STOREFRONT LENDER",
at01s__tu,Excessive Number of Accounts,gen_xii,Number of trades,
g051s__tu,Delinquent credit obligations,gen_xii,Percentage of trades ever delinquent,
intopenbktype__app,Derogatory public record,gen_xii,,
addrinputmatchindex__ln,Unable to verify consumer identity or information,gen_xii,Index indicating if the input address matches the current or historical address on file,
