iteration,learning_rate,flt_eval_metric_train,flt_eval_metric_valid,diff,best_iteration,target
0,0.001,0.7128156918542609,0.7773784320483154,0.0645627401940545,33,Default_2
1,0.0111,0.7751875942205736,0.7980240592125778,0.0228364649920042,59,Default_2
2,0.0212,0.964302047868286,0.8248896328754534,0.1394124149928326,139,Default_2
3,0.0312,0.9766841133526432,0.7317053156745934,0.2449787976780497,97,Default_2
4,0.0413,0.9321950641123364,0.7788062297933795,0.1533888343189567,47,Default_2
5,0.0514,0.995714551891187,0.6812400505473224,0.3144745013438645,98,Default_2
6,0.0615,0.9970103494418756,0.6824709106723779,0.3145394387694976,98,Default_2
7,0.0716,0.9097599810288464,0.7517765414471633,0.157983439581683,23,Default_2
8,0.0816,0.9416891102190152,0.7466561633269329,0.1950329468920822,25,Default_2
9,0.0917,0.9444035096634312,0.778199005465019,0.1662045041984123,24,Default_2
10,0.1018,0.9436582143401596,0.7771486714916384,0.1665095428485212,24,Default_2
11,0.1119,0.9521613564374884,0.7871104327704199,0.1650509236670684,25,Default_2
12,0.122,0.962659010451073,0.7638717936093742,0.1987872168416988,25,Default_2
13,0.1321,0.9409946304859664,0.8036203699144963,0.1373742605714701,23,Default_2
14,0.1421,0.960943984281044,0.7560927576190242,0.2048512266620199,25,Default_2
15,0.1522,0.9666014533258804,0.6920880311161439,0.2745134222097364,23,Default_2
16,0.1623,0.8415273472568052,0.6212068993812876,0.2203204478755176,8,Default_2
17,0.1724,0.9810817792231992,0.7592765824758341,0.2218051967473649,24,Default_2
18,0.1825,0.8814578145908498,0.7584560090591305,0.1230018055317193,11,Default_2
19,0.1925,0.8750952792316683,0.7905814583230761,0.0845138209085921,11,Default_2
20,0.2026,0.987482426275048,0.7336418689380139,0.253840557337034,23,Default_2
21,0.2127,0.8431259210325728,0.7506687673346134,0.0924571536979593,7,Default_2
22,0.2228,0.8270618425733015,0.73415062445637,0.0929112181169314,7,Default_2
23,0.2329,0.8454380303877229,0.5437693860469696,0.3016686443407533,7,Default_2
24,0.2429,0.9971416230499518,0.5458126138545616,0.4513290091953902,23,Default_2
25,0.253,0.9972559581279536,0.5321418607322796,0.465114097395674,23,Default_2
26,0.2631,0.851468147094195,0.4836623832734315,0.3678057638207635,4,Default_2
27,0.2732,0.8809306028422854,0.4910311325554297,0.3898994702868557,6,Default_2
28,0.2833,0.851538018530752,0.4919091461113025,0.3596288724194494,4,Default_2
29,0.2933,0.8748623744431459,0.6458733362873976,0.2289890381557482,6,Default_2
30,0.3034,0.8373668208072904,0.6034332791754878,0.2339335416318025,4,Default_2
31,0.3135,0.6606577231227874,0.5644806590845682,0.0961770640382191,4,Default_2
32,0.3236,0.7924267832037536,0.6313984212167463,0.1610283619870073,7,Default_2
33,0.3337,0.7960304554770737,0.6219454154563208,0.1740850400207529,7,Default_2
34,0.3437,0.7250876568931348,0.8180542563143125,0.0929665994211776,4,Default_2
35,0.3538,0.9960914341853414,0.6707038878768483,0.3253875463084931,25,Default_2
36,0.3639,0.9542215051577824,0.6095219339274285,0.3446995712303539,20,Default_2
37,0.374,0.751177227840168,0.5581212151051155,0.1930560127350525,4,Default_2
38,0.3841,0.7540271355251792,0.5595161899135115,0.1945109456116677,4,Default_2
39,0.3942,0.7266163592323458,0.8319547699932713,0.1053384107609255,4,Default_2
40,0.4042,0.797144163829463,0.7219076690791525,0.0752364947503104,4,Default_2
41,0.4143,0.766305452512831,0.5921914233666485,0.1741140291461824,4,Default_2
42,0.4244,0.7006919389535377,0.7724467858139267,0.071754846860389,3,Default_2
43,0.4345,0.7025636465267544,0.7737432918123185,0.071179645285564,3,Default_2
44,0.4446,0.7037620475295153,0.7741699899890042,0.0704079424594888,3,Default_2
45,0.4546,0.6758092382743026,0.6453317578323733,0.0304774804419293,3,Default_2
46,0.4647,0.6758812270271186,0.6453317578323733,0.0305494691947453,3,Default_2
47,0.4748,0.942900215119332,0.6793527316889041,0.2635474834304279,18,Default_2
48,0.4849,0.7529261310703457,0.5463788095120871,0.2065473215582586,3,Default_2
49,0.495,0.7529684773955315,0.546395220980421,0.2065732564151104,3,Default_2
50,0.505,0.7605696427664007,0.5482168939655031,0.2123527488008976,3,Default_2
51,0.5151,0.8153509663431409,0.7290712750069749,0.0862796913361659,3,Default_2
52,0.5252,0.8162317699070074,0.7294651502469924,0.0867666196600149,3,Default_2
53,0.5353,0.9985115266697157,0.8177014097451298,0.1808101169245858,16,Default_2
54,0.5454,0.691996121076613,0.8240772651929169,0.1320811441163039,3,Default_2
55,0.5554,0.9997501566814032,0.8084617530730475,0.1912884036083556,16,Default_2
56,0.5655,0.9985919846875688,0.7438662137101406,0.2547257709774282,16,Default_2
57,0.5756,0.97008655588868,0.8320696502716098,0.1380169056170701,7,Default_2
58,0.5857,0.9743804732625302,0.8016509937144076,0.1727294795481225,8,Default_2
