feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero
linkc012__tu,float64,0.339789247731486,0.0,3.0,3.0,0.06485019945214678,0.0025862705977979755,0.0,0.0,4,0.0002955737826054829,0.0,0.998004876967413,0.00022168033695411216,0.998004876967413
linkc032__tu,float64,0.339789247731486,0.0,23.0,23.0,0.8311712509124476,0.21584275474765388,0.0,0.0,16,0.0011822951304219316,0.0,0.8816965935121555,7.389344565137072e-05,0.8816965935121555
linkc031__tu,float64,0.339789247731486,0.0,16.0,16.0,0.540145087388531,0.11239193083573487,0.0,0.0,13,0.0009606147934678194,0.0,0.9295056528485923,7.389344565137072e-05,0.9295056528485923
linkc034__tu,float64,0.339789247731486,0.0,32.0,32.0,1.3652824366287852,0.4336067390822434,0.0,0.0,20,0.0014778689130274145,0.0,0.8046996231434271,7.389344565137072e-05,0.8046996231434271
linkc042__tu,float64,0.339789247731486,0.0,5.0,5.0,0.27303964030206845,0.0509864774994458,0.0,0.0,6,0.0004433606739082243,0.0,0.9595802852287002,7.389344565137072e-05,0.9595802852287002
linkc050__tu,float64,0.339789247731486,0.0,9.0,9.0,0.24575779556576707,0.023867582945392745,0.0,0.0,9,0.0006650410108623365,0.0,0.984851843641469,7.389344565137072e-05,0.984851843641469
linkc009__tu,float64,0.339789247731486,0.0,9.0,9.0,0.16745287616841972,0.013744180891154955,0.0,0.0,7,0.0005172541195595951,0.0,0.9897288110544594,7.389344565137072e-05,0.9897288110544594
linkc035__tu,float64,0.339789247731486,0.0,36.0,36.0,2.3465787968536107,0.9398507352397842,0.0,0.0,33,0.002438483706495234,0.0,0.6798935934382621,7.389344565137072e-05,0.6798935934382621
linkc036__tu,float64,0.339789247731486,0.0,9.0,9.0,0.5484077232104713,0.1868026306066652,0.0,0.0,9,0.0006650410108623365,0.0,0.8625581910884504,7.389344565137072e-05,0.8625581910884504
linkc037__tu,float64,0.339789247731486,0.0,22.0,22.0,0.7837567347025252,0.26476021576886133,0.0,0.0,13,0.0009606147934678194,0.0,0.8376560999039385,7.389344565137072e-05,0.8376560999039385
linkc008__tu,float64,0.339789247731486,0.0,3.0,3.0,0.050818115965626236,0.0019951230325870096,0.0,0.0,4,0.0002955737826054829,0.0,0.9982265573043672,7.389344565137072e-05,0.9982265573043672
linkc041__tu,float64,0.339789247731486,0.0,4.0,4.0,0.19890212410929686,0.029335697923594178,0.0,0.0,5,0.00036946722825685364,0.0,0.9754673760437449,7.389344565137072e-05,0.9754673760437449
linkc040__tu,float64,0.339789247731486,0.0,4.0,4.0,0.17411061881916215,0.02238971403236533,0.0,0.0,5,0.00036946722825685364,0.0,0.9811571713589005,7.389344565137072e-05,0.9811571713589005
linkc039__tu,float64,0.339789247731486,0.0,4.0,4.0,0.14270731077983353,0.015887090815044705,0.0,0.0,5,0.00036946722825685364,0.0,0.9861819256631936,7.389344565137072e-05,0.9861819256631936
linkc038__tu,float64,0.339789247731486,0.0,4.0,4.0,0.10833804415018984,0.00931057415207271,0.0,0.0,5,0.00036946722825685364,0.0,0.9916500406413951,7.389344565137072e-05,0.9916500406413951
linkc030__tu,float64,0.339789247731486,0.0,99.0,99.0,15.836829879758719,9.774477203872017,3.0,0.0,100,0.0073893445651370725,0.0,0.21946353358457105,0.0054681149782014335,0.21946353358457105
linkc005__tu,float64,0.339789247731486,0.0,5.0,5.0,0.1549992327264226,0.014630902238971403,0.0,0.0,6,0.0004433606739082243,0.0,0.9889159831522943,7.389344565137072e-05,0.9889159831522943
fltgrossmonthly__income_mean,float64,0.31817738315933264,0.0,48000.0,48000.0,1759.3241928626414,3239.0578967342135,3000.0,2600.0,9719,0.695406410990269,0.0,0.0067258156840297656,0.00014310246136233542,0.0067258156840297656
fltgrossmonthly__income_median,float64,0.31817738315933264,0.0,48000.0,48000.0,1770.0740711037377,3231.1392286388555,3000.0,2600.0,9646,0.6901831711505438,0.0,0.0075844304522037775,0.00014310246136233542,0.0075844304522037775
fltgrossmonthly__income_max,float64,0.31817738315933264,0.0,48000.0,48000.0,1690.501036555056,3375.2251268076566,3117.350097656255,2600.0,9333,0.6677876359473383,0.0,0.0067258156840297656,0.00014310246136233542,0.0067258156840297656
fltgrossmonthly__income_min,float64,0.31817738315933264,0.0,48000.0,48000.0,1892.7742297948466,3113.0306767976763,2987.56494140625,0.0,9320,0.6668574699484832,0.0,0.01853176874642244,0.00014310246136233542,0.01853176874642244
intscore__ln,float64,0.22865645428822323,100.0,672.0,572.0,42.20819823521657,570.5538549111378,574.0,501.0,170,0.010752008095629624,0.0,0.0005692239580039213,6.324710644488014e-05,0.0
dtmapproved__tu,float64,0.2147038735486389,20131001.0,20200203.0,69202.0,18480.392295364167,20160061.05609741,20160301.0,20161219.0,1517,0.09424116294961794,0.0,0.0007454805243213021,6.212337702677517e-05,0.0
rtl_trd__tu,float64,0.1966045467850522,-6.0,36.0,42.0,3.0711084835277163,1.5638207432596551,1.0,0.0,30,0.0018217148409035706,0.031151323779451057,0.031151323779451057,6.072382803011902e-05,0.41589749817828514
bc_trd__tu,float64,0.1966045467850522,-6.0,25.0,31.0,2.696647289342148,1.494413407821229,1.0,0.0,26,0.0015788195287830945,0.031151323779451057,0.031151323779451057,6.072382803011902e-05,0.3786737915958222
inst_trd__tu,float64,0.1966045467850522,-6.0,113.0,119.0,10.06669230343641,8.69856691765849,6.0,2.0,85,0.0051615253825601165,0.031151323779451057,0.031151323779451057,0.00012144765606023804,0.03777022103473403
nomt_trd__tu,float64,0.1966045467850522,-6.0,120.0,126.0,11.763577741855443,12.301858149137722,9.0,4.0,93,0.005647316006801069,0.031151323779451057,0.031151323779451057,0.00012144765606023804,0.0012752003886324994
rev_trd__tu,float64,0.1966045467850522,-6.0,47.0,53.0,4.5235680716688575,2.8645251396648046,2.0,0.0,41,0.0024896769492348796,0.031151323779451057,0.031151323779451057,0.00012144765606023804,0.2724070925431139
credit_as_of_date__tu,object,0.19650697629036978,,,,,,,20160331.0,35,0.0021250758955676987,,,,
eadms1__tu,float64,0.19567762708556932,1.0,4.0,3.0,0.6398055760888117,3.6030812155031238,4.0,4.0,4,0.00024261539394674592,0.0,0.0012130769697337295,0.6868441802632377,0.0
