Feature,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Reason,Description
ENG-loan_to_value,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Value or type of collateral not sufficient,Loan to value
ENG-loan_to_value,,25018,1.0,18178,6840,0.2734031497321928,,0.04200858394301657,0.00499987609961768,Value or type of collateral not sufficient,Loan to value
linkt001__tu,"(-inf, 0.50)",2461,0.0983691741945799,1982,479,0.19463632669646486,0.4427367774168983,0.017268353470641727,0.0021410856367487796,Length of residence,Number of non-military addresses in last 7 years
linkt001__tu,"[0.50, 1.50)",4584,0.18322807578543449,3420,1164,0.25392670157068065,0.10035386170314797,0.0018027638666996517,0.00022525097129021902,Length of residence,Number of non-military addresses in last 7 years
linkt001__tu,"[1.50, 2.50)",4907,0.1961387800783436,3547,1360,0.2771550845730589,-0.018806864018595326,6.966876584771078e-05,8.708467390980911e-06,Length of residence,Number of non-military addresses in last 7 years
linkt001__tu,"[2.50, 3.50)",4135,0.1652809976816692,2963,1172,0.2834340991535671,-0.04993376262551219,0.00041673716623464457,5.208673455609977e-05,Length of residence,Number of non-military addresses in last 7 years
linkt001__tu,"[3.50, 4.50)",3136,0.12534974818130945,2225,911,0.29049744897959184,-0.08445504272173743,0.0009109684364510377,0.00011383722483500119,Length of residence,Number of non-military addresses in last 7 years
linkt001__tu,"[4.50, 5.50)",2201,0.08797665680709889,1546,655,0.2975920036347115,-0.11863334655000424,0.0012708447613984746,0.00015876250596361411,Length of residence,Number of non-military addresses in last 7 years
linkt001__tu,"[5.50, 7.50)",2287,0.09141418178911184,1593,694,0.3034543069523393,-0.1465219906588756,0.0020261918446077974,0.00025304766259815143,Length of residence,Number of non-military addresses in last 7 years
linkt001__tu,"[7.50, inf)",1307,0.052242385482452636,902,405,0.3098699311400153,-0.17669688710603504,0.0016945418820811878,0.00021154260934063687,Length of residence,Number of non-military addresses in last 7 years
linkt001__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Length of residence,Number of non-military addresses in last 7 years
linkt001__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Length of residence,Number of non-military addresses in last 7 years
linkt001__tu,,25018,1.0,18178,6840,0.2734031497321928,,0.02546007019396223,0.003164321812723483,Length of residence,Number of non-military addresses in last 7 years
linkt003__tu,"(-inf, 0.50)",18539,0.7410264609481173,13723,4816,0.2597766869841955,0.0697052092188567,0.003543113462760379,0.00044279954140839795,Length of residence,Number of non-military non-corroborated addresses in past 12 months
linkt003__tu,"[0.50, 1.50)",5153,0.20597170037572948,3556,1597,0.30991655346400154,-0.17691489164333662,0.006697723886809856,0.0008361253622228611,Length of residence,Number of non-military non-corroborated addresses in past 12 months
linkt003__tu,"[1.50, inf)",1326,0.05300183867615317,899,427,0.3220211161387632,-0.23292531881912393,0.0030213942561838824,0.0003768228239364856,Length of residence,Number of non-military non-corroborated addresses in past 12 months
linkt003__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Length of residence,Number of non-military non-corroborated addresses in past 12 months
linkt003__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Length of residence,Number of non-military non-corroborated addresses in past 12 months
linkt003__tu,,25018,1.0,18178,6840,0.2734031497321928,,0.013262231605754116,0.0016557477275677447,Length of residence,Number of non-military non-corroborated addresses in past 12 months
au20s__tu,"(-inf, 40.50)",11003,0.43980334159405227,7564,3439,0.31255112242115785,-0.18920492071603767,0.016398465257435848,0.0020467561168457105,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,"[40.50, 50.50)",1427,0.05703893196898233,1006,421,0.2950245269796776,-0.10631982308481625,0.000660042590519126,8.246648608472911e-05,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,"[50.50, 85.50)",6014,0.24038692141658005,4409,1605,0.2668772863318922,0.03309980973170201,0.00026138296936649555,3.2671379739476585e-05,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,"[85.50, 101.50)",2268,0.09065472859541131,1747,521,0.22971781305114639,0.23248092831857015,0.004634644805704894,0.0005780294785538327,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,"[101.50, 132.50)",2936,0.11735550403709329,2318,618,0.21049046321525886,0.34454722637988666,0.012805408219334896,0.001592805196252248,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,"[132.50, inf)",1370,0.05476057238788073,1134,236,0.17226277372262774,0.5922503391999677,0.016512043973969614,0.0020343593182446038,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,,25018,1.0,18178,6840,0.2734031497321928,,0.051271987816330876,0.0063670879757206,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
br109s__tu,"(-inf, 0.50)",7286,0.29123031417379486,5611,1675,0.22989294537469118,0.23149145142968564,0.014766094220951707,0.001841651487804902,Delinquent credit obligations,Number of bank revolving trades with past due amount > $50 verified in past 12 months
br109s__tu,"[0.50, inf)",17732,0.7087696858262051,12567,5165,0.2912812993458155,-0.0882551120007139,0.005629509388941826,0.0007034603872581903,Delinquent credit obligations,Number of bank revolving trades with past due amount > $50 verified in past 12 months
br109s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of bank revolving trades with past due amount > $50 verified in past 12 months
br109s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of bank revolving trades with past due amount > $50 verified in past 12 months
br109s__tu,,25018,1.0,18178,6840,0.2734031497321928,,0.020395603609893533,0.0025451118750630924,Delinquent credit obligations,Number of bank revolving trades with past due amount > $50 verified in past 12 months
co01s__tu,"(-inf, 0.50)",10931,0.43692541370213445,8112,2819,0.2578904034397585,0.07953789465473216,0.002713770158983234,0.000339131881163357,Delinquent credit obligations,Number of charged-off trades
co01s__tu,"[0.50, 1.50)",5813,0.23235270605164282,4179,1634,0.2810940994323069,-0.03838335303415241,0.0003452817243087629,4.315756626879297e-05,Delinquent credit obligations,Number of charged-off trades
co01s__tu,"[1.50, 2.50)",3277,0.13098569030298185,2352,925,0.2822703692401587,-0.04419676855602728,0.00025840731612770967,3.229828580885016e-05,Delinquent credit obligations,Number of charged-off trades
co01s__tu,"[2.50, 3.50)",1903,0.07606523303221681,1352,551,0.28954282711508145,-0.07981889261212471,0.0004932757018587115,6.164309978358602e-05,Delinquent credit obligations,Number of charged-off trades
co01s__tu,"[3.50, inf)",3094,0.12367095691102406,2183,911,0.2944408532643827,-0.10351188077213402,0.0013556863616132294,0.00016938518057681455,Delinquent credit obligations,Number of charged-off trades
co01s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of charged-off trades
co01s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of charged-off trades
co01s__tu,,25018,1.0,18178,6840,0.2734031497321928,,0.005166421262891647,0.0006456160136014007,Delinquent credit obligations,Number of charged-off trades
fi25s__tu,"(-inf, 0.50)",20691,0.8270445279398833,14832,5859,0.28316659417137885,-0.048616271801271704,0.0019761348564906927,0.00024699253349048066,Delinquent credit obligations,Number of currently open and satisfactory finance installment trades 12 months or older
fi25s__tu,"[0.50, inf)",4327,0.17295547206011672,3346,981,0.22671596949387565,0.24952408191928666,0.010142555517834651,0.001264540590190915,Delinquent credit obligations,Number of currently open and satisfactory finance installment trades 12 months or older
fi25s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of currently open and satisfactory finance installment trades 12 months or older
fi25s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of currently open and satisfactory finance installment trades 12 months or older
fi25s__tu,,25018,1.0,18178,6840,0.2734031497321928,,0.012118690374325343,0.0015115331236813957,Delinquent credit obligations,Number of currently open and satisfactory finance installment trades 12 months or older
