iter	RMSE
0	0.2536383265
1	0.2490716884
2	0.2440880305
3	0.2408553651
4	0.2387931324
5	0.2347432349
6	0.2296377749
7	0.2281340137
8	0.2260689197
9	0.2250827525
10	0.2242575122
11	0.2218753392
