,feature,median__pd,median__parse,median_diff
213,std202__tu,-1.0,-1.0,0.0
430,pb34s__tu,-1.0,-1.0,0.0
1508,fr24s__tu,-1.0,-1.0,0.0
362,of27s__tu,-1.0,-1.0,0.0
526,us36s__tu,-1.0,-1.0,0.0
291,rt29s__tu,-1.0,-1.0,0.0
1585,mt09s__tu,-1.0,-1.0,0.0
1618,g313s__tu,-1.0,-1.0,0.0
1732,walshr06__tu,-2.0,-2.0,0.0
1882,au29s__tu,-1.0,-1.0,0.0
586,se25s__tu,-1.0,-1.0,0.0
1625,g312s__tu,-1.0,-1.0,0.0
1623,g310s__tu,9.0,9.0,0.0
1635,g305s__tu,9.0,9.0,0.0
666,assetpropnewestmortgagetype__ln,-1.0,-1.0,0.0
1598,lm36s__tu,-1.0,-1.0,0.0
886,addrlastmovetaxratiodiff__ln,-1.0,-1.0,0.0
1909,bi06s__tu,-1.0,-1.0,0.0
390,md106s__tu,-1.0,-1.0,0.0
1552,lm11s__tu,-1.0,-1.0,0.0
720,inputprovidedstreetaddress__ln,1.0,1.0,0.0
723,inputprovidedzipcode__ln,1.0,1.0,0.0
722,inputprovidedstate__ln,1.0,1.0,0.0
1599,lm35s__tu,-1.0,-1.0,0.0
721,inputprovidedcity__ln,1.0,1.0,0.0
427,pb31s__tu,-1.0,-1.0,0.0
350,st09s__tu,-1.0,-1.0,0.0
771,subjectactivityindex06month__ln,4.0,4.0,0.0
1526,fi25s__tu,-3.0,-3.0,0.0
1553,lm12s__tu,-1.0,-1.0,0.0
1396,g105s__tu,-1.0,-1.0,0.0
152,ret152__tu,-1.0,-1.0,0.0
1658,hr09s__tu,-1.0,-1.0,0.0
1610,lm30s__tu,-1.0,-1.0,0.0
314,rt12s__tu,-1.0,-1.0,0.0
1490,br27s__tu,-3.0,-3.0,0.0
585,se24s__tu,-1.0,-1.0,0.0
824,addrinputdwelltypeindex__ln,3.0,3.0,0.0
686,addrinputtimenewest__ln,1.0,1.0,0.0
1674,hr06s__tu,-1.0,-1.0,0.0
1548,lm08s__tu,-1.0,-1.0,0.0
689,addrinputmatchindex__ln,2.0,2.0,0.0
1540,lm07s__tu,-1.0,-1.0,0.0
1547,lm06s__tu,-1.0,-1.0,0.0
1676,hr02s__tu,-1.0,-1.0,0.0
628,intterm__app,72.0,72.0,0.0
1536,fi36s__tu,1.0,1.0,0.0
232,ret204__tu,-1.0,-1.0,0.0
1440,g219b__tu,2.0,2.0,0.0
719,inputprovidedlastname__ln,1.0,1.0,0.0
1472,fc02s__tu,-1.0,-1.0,0.0
1709,walshr02__tu,-2.0,-2.0,0.0
1654,hi06s__tu,-1.0,-1.0,0.0
1535,fi35s__tu,-1.0,-1.0,0.0
212,std201__tu,-1.0,-1.0,0.0
767,confirmationinputssn__ln,3.0,3.0,0.0
34,per255__tu,-1.0,-1.0,0.0
749,sourcenonderogcount__ln,2.0,2.0,0.0
1626,g314s__tu,-1.0,-1.0,0.0
1905,bi35s__tu,-1.0,-1.0,0.0
587,se27s__tu,-1.0,-1.0,0.0
392,of02s__tu,-1.0,-1.0,0.0
488,rtdexq1__tu,-1.0,-1.0,0.0
1712,walshr05__tu,-2.0,-2.0,0.0
185,applicationquarter__app,2.0,2.0,0.0
1973,at31s__tu,50.0,50.0,0.0
304,rp04s__tu,-1.0,-1.0,0.0
524,us24s__tu,-1.0,-1.0,0.0
395,of09s__tu,-1.0,-1.0,0.0
1741,cv13__tu,50.0,50.0,0.0
163,ret54__tu,-1.0,-1.0,0.0
610,ENG-applicationdate__app_quarter,2.0,2.0,0.0
783,confirmationinputname__ln,3.0,3.0,0.0
1551,lm10s__tu,-1.0,-1.0,0.0
1627,hi09s__tu,-1.0,-1.0,0.0
717,inputprovidedfirstname__ln,1.0,1.0,0.0
830,addrcurrentdwelltypeindex__ln,3.0,3.0,0.0
725,inputprovideddateofbirth__ln,7.0,7.0,0.0
1403,g003c__tu,-1.0,-1.0,0.0
1614,lm34s__tu,-1.0,-1.0,0.0
