,feature,median__pd,median__parse,median_diff
1756,walshr10__tu,-2.0,-2.0,0.0
1576,lm16s__tu,-1.0,-1.0,0.0
1820,trv15__tu,-1.0,-1.0,0.0
1813,trv16__tu,-1.0,-1.0,0.0
574,se34s__tu,-1.0,-1.0,0.0
890,mt33s__tu,-1.0,-1.0,0.0
1615,in02s__tu,1.0,1.0,0.0
383,mt35s__tu,-1.0,-1.0,0.0
241,per223__tu,-1.0,-1.0,0.0
1197,mt32s__tu,-1.0,-1.0,0.0
1718,rvlr05__tu,-1.0,-1.0,0.0
1825,trv20__tu,-1.0,-1.0,0.0
223,per203__tu,-1.0,-1.0,0.0
580,se06s__tu,-1.0,-1.0,0.0
478,rtdex01__tu,-1.0,-1.0,0.0
529,us30s__tu,-1.0,-1.0,0.0
1411,g020s__tu,2.0,2.0,0.0
1705,walshr07__tu,-2.0,-2.0,0.0
540,g099a__tu,-1.0,-1.0,0.0
309,rt01s__tu,1.0,1.0,0.0
1842,agg909__tu,1.0,1.0,0.0
590,se30s__tu,-1.0,-1.0,0.0
533,us34s__tu,-1.0,-1.0,0.0
753,sourcecredheadertimeoldest__ln,263.0,263.0,0.0
418,re06s__tu,0.0,0.0,
1745,cv17__tu,0.0,0.0,
473,g405s__tu,0.0,0.0,
1743,cv16__tu,0.0,0.0,
155,rvlr70__tu,0.0,0.0,
1465,co02s__tu,0.0,0.0,
458,g408s__tu,0.0,0.0,
1430,g221a__tu,0.0,0.0,
157,rvlr72__tu,0.0,0.0,
1722,rvlr09__tu,0.0,0.0,
159,rvlr74__tu,0.0,0.0,
472,g404s__tu,0.0,0.0,
180,rvlr76__tu,0.0,0.0,
1457,g218a__tu,0.0,0.0,
471,g403s__tu,0.0,0.0,
1721,rvlr08__tu,0.0,0.0,
374,pb01s__tu,0.0,0.0,
1567,in24s__tu,0.0,0.0,
698,lienjudgmentothercount__ln,0.0,0.0,
313,rt09s__tu,0.0,0.0,
682,addronfilecorrectional__ln,0.0,0.0,
1644,g240s__tu,0.0,0.0,
707,shorttermloanrequest__ln,0.0,0.0,
1694,br02s__tu,0.0,0.0,
156,rvlr71__tu,0.0,0.0,
696,inquirytelcom12month__ln,0.0,0.0,
92,rvlr61__tu,0.0,0.0,
1433,g221d__tu,0.0,0.0,
1720,rvlr07__tu,0.0,0.0,
1857,bc06s__tu,0.0,0.0,
1855,bc02s__tu,0.0,0.0,
645,purchaseactivityindex__ln,0.0,0.0,
1831,trv07__tu,0.0,0.0,
791,linkc008__tu,0.0,0.0,
1225,linka033__tu,0.0,0.0,
736,fltinsuredlifeamount__app,0.0,0.0,
655,linkc051__tu,0.0,0.0,
734,fltinsureddisabilityamount__app,0.0,0.0,
731,fltapprovedservicecontract__app,0.0,0.0,
637,purchaseactivitydollartotal__ln,0.0,0.0,
1317,linka060__tu,0.0,0.0,
823,linkc038__tu,0.0,0.0,
794,linkc012__tu,0.0,0.0,
1309,linka054__tu,0.0,0.0,
42,ret324__tu,0.0,0.0,
803,linkc005__tu,0.0,0.0,
41,ret323__tu,0.0,0.0,
56,ret322__tu,0.0,0.0,
57,ret321__tu,0.0,0.0,
66,bkc324__tu,0.0,0.0,
65,bkc323__tu,0.0,0.0,
64,bkc322__tu,0.0,0.0,
13,rev324__tu,0.0,0.0,
962,linkf213__tu,0.0,0.0,
63,bkc321__tu,0.0,0.0,
12,rev323__tu,0.0,0.0,
11,rev322__tu,0.0,0.0,
1196,linkf082__tu,0.0,0.0,
1206,linka028__tu,0.0,0.0,
10,rev321__tu,0.0,0.0,
726,intservicecontractmileageaddon__app,0.0,0.0,
808,linkc039__tu,0.0,0.0,
796,linkc043__tu,0.0,0.0,
807,linkc040__tu,0.0,0.0,
1359,linkb012__tu,0.0,0.0,
806,linkc041__tu,0.0,0.0,
804,linkc004__tu,0.0,0.0,
801,linkc047__tu,0.0,0.0,
800,linkc046__tu,0.0,0.0,
1319,linka062__tu,0.0,0.0,
822,linkc030__tu,0.0,0.0,
820,linkc034__tu,0.0,0.0,
799,linkc045__tu,0.0,0.0,
821,linkc035__tu,0.0,0.0,
819,linkc033__tu,0.0,0.0,
798,linkc044__tu,0.0,0.0,
792,linkc009__tu,0.0,0.0,
795,linkc011__tu,0.0,0.0,
818,linkc032__tu,0.0,0.0,
817,linkc031__tu,0.0,0.0,
437,s063a__tu,0.0,0.0,
1318,linka061__tu,0.0,0.0,
436,s063s__tu,0.0,0.0,
728,intservicecontractterm__app,0.0,0.0,
802,linkc049__tu,0.0,0.0,
389,md33s__tu,0.0,0.0,
1429,g220d__tu,0.0,0.0,
805,linkc042__tu,0.0,0.0,
741,fltservicecontract__app,0.0,0.0,
281,fltallowance__app,0.0,0.0,
1379,linka079__tu,0.0,0.0,
793,linkc050__tu,0.0,0.0,
729,bitrouteone__app,0.0,0.0,
1369,linka032__tu,0.0,0.0,
1018,linkf123__tu,0.0,0.0,
1364,linka083__tu,0.0,0.0,
1499,fi06s__tu,0.0,0.0,
1042,linkf136__tu,0.0,0.0,
158,rvlr73__tu,0.0,0.0,
450,reap02__tu,0.0,0.0,
439,g418s__tu,0.0,0.0,
1378,linka078__tu,0.0,0.0,
1476,fc06s__tu,0.0,0.0,
936,linkd014__tu,0.0,0.0,
1311,linka056__tu,0.0,0.0,
1425,g219d__tu,0.0,0.0,
1484,br09s__tu,0.0,0.0,
1368,linka072__tu,0.0,0.0,
93,rvlr62__tu,0.0,0.0,
716,fltmaintenanceagreement__app,0.0,0.0,
1542,lm01s__tu,0.0,0.0,
1290,linkf048__tu,0.0,0.0,
649,evictioncount12month__ln,0.0,0.0,
1915,bc97b__tu,0.0,0.0,
1632,hi01s__tu,0.0,0.0,
1367,linka071__tu,0.0,0.0,
934,linkd001__tu,0.0,0.0,
1753,cv06__tu,0.0,0.0,
935,linkd004__tu,0.0,0.0,
1375,linka075__tu,0.0,0.0,
1366,linka070__tu,0.0,0.0,
160,rvlr75__tu,0.0,0.0,
1220,linka002__tu,0.0,0.0,
1354,linka068__tu,0.0,0.0,
1214,linka040__tu,0.0,0.0,
1212,linka005__tu,0.0,0.0,
1213,linka010__tu,0.0,0.0,
1310,linka055__tu,0.0,0.0,
1554,lm13s__tu,0.0,0.0,
1306,linka059__tu,0.0,0.0,
1952,cv29__tu,0.0,0.0,
306,rp06s__tu,0.0,0.0,
1377,linka077__tu,0.0,0.0,
153,rvlr77__tu,0.0,0.0,
1605,lm25s__tu,0.0,0.0,
1691,hi57s__tu,0.0,0.0,
1312,linka057__tu,0.0,0.0,
1365,linka069__tu,0.0,0.0,
1221,linka023__tu,0.0,0.0,
809,linkc007__tu,0.0,0.0,
1313,linka058__tu,0.0,0.0,
433,pb57s__tu,0.0,0.0,
937,linkd008__tu,0.0,0.0,
1677,hr01s__tu,0.0,0.0,
1442,g218d__tu,0.0,0.0,
1470,fc01s__tu,0.0,0.0,
933,linkt011__tu,0.0,0.0,
789,linkc037__tu,0.0,0.0,
1039,linkf133__tu,0.0,0.0,
1376,linka076__tu,0.0,0.0,
1692,hi101s__tu,0.0,0.0,
1374,linka074__tu,0.0,0.0,
1616,hr101s__tu,0.0,0.0,
1211,linka011__tu,0.0,0.0,
1483,br06s__tu,0.0,0.0,
307,rp07s__tu,0.0,0.0,
1441,g219a__tu,0.0,0.0,
94,rvlr63__tu,0.0,0.0,
815,linkc029__tu,0.0,0.0,
1314,linka031__tu,0.0,0.0,
1041,linkf135__tu,0.0,0.0,
1929,cv27__tu,0.0,0.0,
1320,linka063__tu,0.0,0.0,
1322,linka065__tu,0.0,0.0,
1282,linkf079__tu,0.0,0.0,
1836,agg903__tu,0.0,0.0,
1321,linka064__tu,0.0,0.0,
816,linkc024__tu,0.0,0.0,
1907,bi57s__tu,0.0,0.0,
1292,linkf050__tu,0.0,0.0,
797,linkc020__tu,0.0,0.0,
1040,linkf134__tu,0.0,0.0,
814,linkc028__tu,0.0,0.0,
1641,g235s__tu,0.0,0.0,
334,hiap01__tu,0.0,0.0,
1686,hi32s__tu,0.0,0.0,
1687,hi33s__tu,0.0,0.0,
329,st57s__tu,0.0,0.0,
947,linkd012__tu,0.0,0.0,
1837,agg904__tu,0.0,0.0,
1435,g223s__tu,0.0,0.0,
1301,linkf059__tu,0.0,0.0,
1315,linka082__tu,0.0,0.0,
790,linkc036__tu,0.0,0.0,
1209,linka003__tu,0.0,0.0,
813,linkc027__tu,0.0,0.0,
898,linkf189__tu,0.0,0.0,
642,criminalfelonycount__ln,0.0,0.0,
1682,hi28s__tu,0.0,0.0,
1444,g206s__tu,0.0,0.0,
1210,linka025__tu,0.0,0.0,
114,rvlr64__tu,0.0,0.0,
1519,fr01s__tu,0.0,0.0,
644,criminalnonfelonycount__ln,0.0,0.0,
1746,cv18__tu,0.0,0.0,
1342,linka066__tu,0.0,0.0,
1924,bc109s__tu,0.0,0.0,
454,g206b__tu,0.0,0.0,
1284,linkf064__tu,0.0,0.0,
881,addrchangecount03month__ln,0.0,0.0,
1278,linkf075__tu,0.0,0.0,
1773,cv25__tu,0.0,0.0,
643,criminalfelonycount12month__ln,0.0,0.0,
812,linkc026__tu,0.0,0.0,
496,rets121__tu,0.0,0.0,
558,se57s__tu,0.0,0.0,
1265,linkf044__tu,0.0,0.0,
1238,linkf035__tu,0.0,0.0,
1469,co06s__tu,0.0,0.0,
787,linkc006__tu,0.0,0.0,
372,of57s__tu,0.0,0.0,
335,hrap01__tu,0.0,0.0,
901,linkf192__tu,0.0,0.0,
268,rle904__tu,0.0,0.0,
1037,linkf131__tu,0.0,0.0,
1951,cv28__tu,0.0,0.0,
566,jt33s__tu,0.0,0.0,
929,linkf200__tu,0.0,0.0,
479,rets123__tu,0.0,0.0,
1794,agg801__tu,0.0,0.0,
1030,linkf124__tu,0.0,0.0,
1849,cv24__tu,0.0,0.0,
302,rt02s__tu,0.0,0.0,
501,rets106__tu,0.0,0.0,
467,au207s__tu,0.0,0.0,
87,rvlr65__tu,0.0,0.0,
1462,co07s__tu,0.0,0.0,
1793,agg802__tu,0.0,0.0,
1272,linkf069__tu,0.0,0.0,
1036,linkf130__tu,0.0,0.0,
510,rets115__tu,0.0,0.0,
1295,linkf053__tu,0.0,0.0,
1268,linkf065__tu,0.0,0.0,
495,rets122__tu,0.0,0.0,
269,rle905__tu,0.0,0.0,
480,rets124__tu,0.0,0.0,
1363,linkb001__tu,0.0,0.0,
1562,in06s__tu,0.0,0.0,
1343,linka067__tu,0.0,0.0,
1717,rvlr04__tu,0.0,0.0,
711,inquirybanking12month__ln,0.0,0.0,
1426,g220a__tu,0.0,0.0,
1463,br109s__tu,0.0,0.0,
513,rets118__tu,0.0,0.0,
498,rets119__tu,0.0,0.0,
508,rets113__tu,0.0,0.0,
497,rets120__tu,0.0,0.0,
1809,agg724__tu,0.0,0.0,
1355,linkb010__tu,0.0,0.0,
784,addrinputphoneservice__ln,0.0,0.0,
907,linkf198__tu,0.0,0.0,
828,addrcurrentphoneservice__ln,0.0,0.0,
506,rets111__tu,0.0,0.0,
434,pb101s__tu,0.0,0.0,
1466,co03s__tu,0.0,0.0,
896,linkf187__tu,0.0,0.0,
507,rets112__tu,0.0,0.0,
120,ret235__tu,0.0,0.0,
504,rets109__tu,0.0,0.0,
1031,linkf125__tu,0.0,0.0,
811,linkc025__tu,0.0,0.0,
270,rle906__tu,0.0,0.0,
1723,rvlr10__tu,0.0,0.0,
1298,linkf056__tu,0.0,0.0,
305,rp05s__tu,0.0,0.0,
1808,agg723__tu,0.0,0.0,
1669,hr32s__tu,0.0,0.0,
1670,hr33s__tu,0.0,0.0,
939,linkd005__tu,0.0,0.0,
571,jt44s__tu,0.0,0.0,
289,rt57s__tu,0.0,0.0,
511,rets116__tu,0.0,0.0,
953,linkf204__tu,0.0,0.0,
373,of101s__tu,0.0,0.0,
1792,agg803__tu,0.0,0.0,
1791,agg804__tu,0.0,0.0,
1807,agg722__tu,0.0,0.0,
648,evictioncount__ln,0.0,0.0,
945,linkd006__tu,0.0,0.0,
115,rvlr66__tu,0.0,0.0,
665,assetpersonal__ln,0.0,0.0,
668,assetpropsoldcount12month__ln,0.0,0.0,
282,rt101s__tu,0.0,0.0,
1657,hr28s__tu,0.0,0.0,
503,rets108__tu,0.0,0.0,
509,rets114__tu,0.0,0.0,
943,linkd010__tu,0.0,0.0,
892,linkf183__tu,0.0,0.0,
996,linkf090__tu,0.0,0.0,
483,rets903__tu,0.0,0.0,
1219,linka004__tu,0.0,0.0,
1253,linkf011__tu,0.0,0.0,
995,linkf089__tu,0.0,0.0,
74,ret318__tu,0.0,0.0,
59,ret319__tu,0.0,0.0,
448,rets101__tu,0.0,0.0,
502,rets107__tu,0.0,0.0,
189,bitlhmgroup__app,0.0,0.0,
1035,linkf129__tu,0.0,0.0,
994,linkf088__tu,0.0,0.0,
1806,agg721__tu,0.0,0.0,
715,bitmaintenanceagreement__app,0.0,0.0,
706,bankruptcydismissed24month__ln,0.0,0.0,
871,phoneinputproblems__ln,0.0,0.0,
482,rets902__tu,0.0,0.0,
678,ssndeceased__ln,0.0,0.0,
72,ret316__tu,0.0,0.0,
285,rt33s__tu,0.0,0.0,
73,ret317__tu,0.0,0.0,
1805,agg720__tu,0.0,0.0,
983,linkf116__tu,0.0,0.0,
1775,agg805__tu,0.0,0.0,
368,of33s__tu,0.0,0.0,
1267,linkf072__tu,0.0,0.0,
941,linkd009__tu,0.0,0.0,
899,linkf191__tu,0.0,0.0,
564,jt28s__tu,0.0,0.0,
119,ret234__tu,0.0,0.0,
870,phoneinputsubjectcount__ln,0.0,0.0,
993,linkf087__tu,0.0,0.0,
481,rets901__tu,0.0,0.0,
944,linkd013__tu,0.0,0.0,
300,rt28s__tu,0.0,0.0,
363,of28s__tu,0.0,0.0,
1776,agg806__tu,0.0,0.0,
1804,agg719__tu,0.0,0.0,
700,lienjudgmentdollartotal__ln,0.0,0.0,
484,rets904__tu,0.0,0.0,
499,rets104__tu,0.0,0.0,
1007,linkf122__tu,0.0,0.0,
476,rets102__tu,0.0,0.0,
1431,g221c__tu,0.0,0.0,
674,lienjudgmentsmallclaimscount__ln,0.0,0.0,
1269,linkf066__tu,0.0,0.0,
1234,linkf031__tu,0.0,0.0,
1443,g218c__tu,0.0,0.0,
116,std231__tu,0.0,0.0,
1244,linkf041__tu,0.0,0.0,
487,rets103__tu,0.0,0.0,
1261,linkf019__tu,0.0,0.0,
500,rets105__tu,0.0,0.0,
906,linkf197__tu,0.0,0.0,
1240,linkf037__tu,0.0,0.0,
505,rets110__tu,0.0,0.0,
1262,linkf020__tu,0.0,0.0,
1846,trv02__tu,0.0,0.0,
992,linkf086__tu,0.0,0.0,
290,rt201s__tu,0.0,0.0,
1424,g219c__tu,0.0,0.0,
1005,linkf099__tu,0.0,0.0,
990,linkf100__tu,0.0,0.0,
1044,linkf138__tu,0.0,0.0,
1028,linkf140__tu,0.0,0.0,
1158,agg324__tu,0.0,0.0,
512,rets117__tu,0.0,0.0,
1428,g220c__tu,0.0,0.0,
1043,linkf137__tu,0.0,0.0,
654,assetpersonalcount__ln,0.0,0.0,
75,std234__tu,0.0,0.0,
979,linkf121__tu,0.0,0.0,
367,of32s__tu,0.0,0.0,
2000,at06s__tu,0.0,0.0,
982,linkf115__tu,0.0,0.0,
981,linkf114__tu,0.0,0.0,
1954,aggs101__tu,0.0,0.0,
1175,agg323__tu,0.0,0.0,
969,linkf160__tu,0.0,0.0,
1259,linkf017__tu,0.0,0.0,
980,linkf113__tu,0.0,0.0,
1011,linkf144__tu,0.0,0.0,
942,linkd011__tu,0.0,0.0,
1174,agg322__tu,0.0,0.0,
420,re02s__tu,0.0,0.0,
284,rt32s__tu,0.0,0.0,
1516,fr33s__tu,0.0,0.0,
77,std232__tu,0.0,0.0,
1008,linkf159__tu,0.0,0.0,
673,lienjudgmentcount12month__ln,0.0,0.0,
1803,agg718__tu,0.0,0.0,
989,linkf101__tu,0.0,0.0,
1022,linkf155__tu,0.0,0.0,
968,linkf161__tu,0.0,0.0,
1304,linkf004__tu,0.0,0.0,
1024,linkf157__tu,0.0,0.0,
1023,linkf156__tu,0.0,0.0,
1258,linkf016__tu,0.0,0.0,
1025,linkf158__tu,0.0,0.0,
559,se101s__tu,0.0,0.0,
967,linkf162__tu,0.0,0.0,
1010,linkf143__tu,0.0,0.0,
893,linkf184__tu,0.0,0.0,
1344,linkf003__tu,0.0,0.0,
978,linkf112__tu,0.0,0.0,
709,shorttermloanrequest24month__ln,0.0,0.0,
991,linkf085__tu,0.0,0.0,
630,bitnew__app,0.0,0.0,
697,lienjudgmentforeclosurecount__ln,0.0,0.0,
1017,linkf151__tu,0.0,0.0,
1362,linkb014__tu,0.0,0.0,
1226,linka034__tu,0.0,0.0,
973,linkf106__tu,0.0,0.0,
671,assetpropnewestsaleprice__ln,0.0,0.0,
882,addrchangecount06month__ln,0.0,0.0,
1923,bc108s__tu,0.0,0.0,
1498,fi02s__tu,0.0,0.0,
1270,linkf067__tu,0.0,0.0,
1778,agg808__tu,0.0,0.0,
1233,linkf030__tu,0.0,0.0,
675,lienjudgmentcourtcount__ln,0.0,0.0,
1173,agg321__tu,0.0,0.0,
1009,linkf150__tu,0.0,0.0,
76,std233__tu,0.0,0.0,
118,ret233__tu,0.0,0.0,
1477,fc07s__tu,0.0,0.0,
136,rev232__tu,0.0,0.0,
1019,linkf152__tu,0.0,0.0,
1013,linkf146__tu,0.0,0.0,
1434,g222s__tu,0.0,0.0,
997,linkf091__tu,0.0,0.0,
1020,linkf153__tu,0.0,0.0,
1299,linkf057__tu,0.0,0.0,
1777,agg807__tu,0.0,0.0,
1337,linka046__tu,0.0,0.0,
959,linkf210__tu,0.0,0.0,
1289,linkf047__tu,0.0,0.0,
662,assetpropcurrenttaxtotal__ln,0.0,0.0,
1026,linkf142__tu,0.0,0.0,
970,linkf111__tu,0.0,0.0,
1172,agg320__tu,0.0,0.0,
1468,co05s__tu,0.0,0.0,
1243,linkf040__tu,0.0,0.0,
1171,agg319__tu,0.0,0.0,
1874,au09s__tu,0.0,0.0,
1328,linka037__tu,0.0,0.0,
588,se28s__tu,0.0,0.0,
1779,agg809__tu,0.0,0.0,
627,intopenbktype__app,0.0,0.0,
1260,linkf018__tu,0.0,0.0,
554,us57s__tu,0.0,0.0,
1096,agg624__tu,0.0,0.0,
905,linkf196__tu,0.0,0.0,
1257,linkf015__tu,0.0,0.0,
774,subjectdeceased__ln,0.0,0.0,
1014,linkf147__tu,0.0,0.0,
1329,linka008__tu,0.0,0.0,
1449,g211s__tu,0.0,0.0,
1780,agg810__tu,0.0,0.0,
957,linkf208__tu,0.0,0.0,
1016,linkf149__tu,0.0,0.0,
1914,bc97a__tu,0.0,0.0,
330,st99s__tu,0.0,0.0,
705,bankruptcystatus__ln,0.0,0.0,
1095,agg623__tu,0.0,0.0,
897,linkf188__tu,0.0,0.0,
903,linkf194__tu,0.0,0.0,
1325,linka012__tu,0.0,0.0,
1515,fr32s__tu,0.0,0.0,
1323,linka016__tu,0.0,0.0,
536,at01a__tu,0.0,0.0,
1034,linkf128__tu,0.0,0.0,
1335,linka015__tu,0.0,0.0,
1239,linkf036__tu,0.0,0.0,
658,assetprop__ln,0.0,0.0,
1170,agg318__tu,0.0,0.0,
1802,agg717__tu,0.0,0.0,
1338,linka047__tu,0.0,0.0,
657,assetownership__ln,0.0,0.0,
661,assetpropcurrentcount__ln,0.0,0.0,
449,hrap02__tu,0.0,0.0,
126,rev231__tu,0.0,0.0,
862,addrcurrentcorrectional__ln,0.0,0.0,
1916,bc98a__tu,0.0,0.0,
575,se33s__tu,0.0,0.0,
1195,linkf084__tu,0.0,0.0,
1093,agg622__tu,0.0,0.0,
1308,linka038__tu,0.0,0.0,
1349,linkb004__tu,0.0,0.0,
1085,agg621__tu,0.0,0.0,
1353,linkb018__tu,0.0,0.0,
1015,linkf148__tu,0.0,0.0,
1274,linkf071__tu,0.0,0.0,
1938,aggs901__tu,0.0,0.0,
652,lienjudgmentcount__ln,0.0,0.0,
1027,linkf141__tu,0.0,0.0,
659,assetpropindex__ln,0.0,0.0,
977,linkf110__tu,0.0,0.0,
576,se32s__tu,0.0,0.0,
1254,linkf012__tu,0.0,0.0,
1247,linkf023__tu,0.0,0.0,
922,linkf173__tu,0.0,0.0,
1296,linkf054__tu,0.0,0.0,
1092,agg620__tu,0.0,0.0,
879,addrpreviouscorrectional__ln,0.0,0.0,
1245,linkf025__tu,0.0,0.0,
925,linkf176__tu,0.0,0.0,
1229,linkf026__tu,0.0,0.0,
923,linkf174__tu,0.0,0.0,
359,rp01s__tu,0.0,0.0,
429,pb33s__tu,0.0,0.0,
1955,aggs102__tu,0.0,0.0,
909,linkf180__tu,0.0,0.0,
1169,agg317__tu,0.0,0.0,
1479,br101s__tu,0.0,0.0,
1801,agg716__tu,0.0,0.0,
1336,linka045__tu,0.0,0.0,
1091,agg619__tu,0.0,0.0,
137,rev233__tu,0.0,0.0,
849,addrinputtaxvalue__ln,0.0,0.0,
1276,linkf045__tu,0.0,0.0,
1327,linka007__tu,0.0,0.0,
1198,linkf081__tu,0.0,0.0,
1339,linka017__tu,0.0,0.0,
1004,linkf098__tu,0.0,0.0,
825,addrcurrenttaxvalue__ln,0.0,0.0,
1307,linka013__tu,0.0,0.0,
1281,linkf078__tu,0.0,0.0,
95,revs124__tu,0.0,0.0,
1480,br57s__tu,0.0,0.0,
1090,agg618__tu,0.0,0.0,
708,shorttermloanrequest12month__ln,0.0,0.0,
920,linkf179__tu,0.0,0.0,
1167,agg316__tu,0.0,0.0,
1334,linka044__tu,0.0,0.0,
660,assetpropevercount__ln,0.0,0.0,
1006,linkf120__tu,0.0,0.0,
640,derogcount12month__ln,0.0,0.0,
1982,at57s__tu,0.0,0.0,
1089,agg617__tu,0.0,0.0,
1029,linkf139__tu,0.0,0.0,
1159,agg315__tu,0.0,0.0,
1774,agg812__tu,0.0,0.0,
927,linkf178__tu,0.0,0.0,
976,linkf109__tu,0.0,0.0,
416,re57s__tu,0.0,0.0,
952,linkf203__tu,0.0,0.0,
1800,agg715__tu,0.0,0.0,
832,addrcurrentlastsalesprice__ln,0.0,0.0,
1088,agg616__tu,0.0,0.0,
1346,linkb005__tu,0.0,0.0,
910,linkf083__tu,0.0,0.0,
96,revs123__tu,0.0,0.0,
1940,aggs902__tu,0.0,0.0,
1087,agg615__tu,0.0,0.0,
988,linkf102__tu,0.0,0.0,
748,educationattendance__ln,0.0,0.0,
848,addrinputlastsaleprice__ln,0.0,0.0,
1204,linka026__tu,0.0,0.0,
1922,bc107s__tu,0.0,0.0,
134,ret232__tu,0.0,0.0,
1032,linkf126__tu,0.0,0.0,
702,bankruptcycount24month__ln,0.0,0.0,
135,ret231__tu,0.0,0.0,
1279,linkf076__tu,0.0,0.0,
971,linkf104__tu,0.0,0.0,
1324,linka014__tu,0.0,0.0,
1581,mt01s__tu,0.0,0.0,
1782,agg813__tu,0.0,0.0,
428,pb32s__tu,0.0,0.0,
1956,aggs103__tu,0.0,0.0,
9,all235__tu,0.0,0.0,
1781,agg811__tu,0.0,0.0,
926,linkf177__tu,0.0,0.0,
1511,fr28s__tu,0.0,0.0,
676,addronfilehighrisk__ln,0.0,0.0,
97,revs122__tu,0.0,0.0,
1373,linka073__tu,0.0,0.0,
940,linkf202__tu,0.0,0.0,
1166,agg314__tu,0.0,0.0,
1086,agg614__tu,0.0,0.0,
1799,agg714__tu,0.0,0.0,
1275,linkf073__tu,0.0,0.0,
646,criminalnonfelonycount12month__ln,0.0,0.0,
1333,linka043__tu,0.0,0.0,
680,ssnproblems__ln,0.0,0.0,
1102,agg613__tu,0.0,0.0,
39,bkc316__tu,0.0,0.0,
928,linkf199__tu,0.0,0.0,
1913,bc57s__tu,0.0,0.0,
322,st60s__tu,0.0,0.0,
1448,g210s__tu,0.0,0.0,
1248,linkf022__tu,0.0,0.0,
975,linkf108__tu,0.0,0.0,
117,aut231__tu,0.0,0.0,
1252,linkf010__tu,0.0,0.0,
138,rev234__tu,0.0,0.0,
1332,linka042__tu,0.0,0.0,
1110,agg523__tu,0.0,0.0,
984,linkf117__tu,0.0,0.0,
1165,agg313__tu,0.0,0.0,
1111,agg524__tu,0.0,0.0,
565,us101s__tu,0.0,0.0,
1958,aggs105__tu,0.0,0.0,
1103,agg612__tu,0.0,0.0,
1251,linkf009__tu,0.0,0.0,
987,linkf103__tu,0.0,0.0,
1704,rvlr31__tu,0.0,0.0,
690,addrinputsubjectowned__ln,0.0,0.0,
842,addrcurrentsubjectowned__ln,0.0,0.0,
1107,agg520__tu,0.0,0.0,
1305,linka036__tu,0.0,0.0,
1108,agg521__tu,0.0,0.0,
1109,agg522__tu,0.0,0.0,
1266,linkf005__tu,0.0,0.0,
98,revs121__tu,0.0,0.0,
1957,aggs104__tu,0.0,0.0,
835,addrcurrenttaxmarketvalue__ln,0.0,0.0,
1164,agg312__tu,0.0,0.0,
851,addrinputtaxmarketvalue__ln,0.0,0.0,
1510,fi09s__tu,0.0,0.0,
1246,linkf024__tu,0.0,0.0,
1104,agg611__tu,0.0,0.0,
1106,agg519__tu,0.0,0.0,
1297,linkf055__tu,0.0,0.0,
958,linkf209__tu,0.0,0.0,
998,linkf092__tu,0.0,0.0,
1706,rvlr32__tu,0.0,0.0,
1083,agg517__tu,0.0,0.0,
1521,fi57s__tu,0.0,0.0,
1094,agg518__tu,0.0,0.0,
1082,agg515__tu,0.0,0.0,
883,addrchangecount12month__ln,0.0,0.0,
1055,agg516__tu,0.0,0.0,
1264,linkf042__tu,0.0,0.0,
1784,agg814__tu,0.0,0.0,
924,linkf175__tu,0.0,0.0,
527,us28s__tu,0.0,0.0,
21,std235__tu,0.0,0.0,
1696,rvlr30__tu,0.0,0.0,
1798,agg713__tu,0.0,0.0,
1707,rvlr33__tu,0.0,0.0,
1163,agg311__tu,0.0,0.0,
1105,agg610__tu,0.0,0.0,
1771,rvlr03__tu,0.0,0.0,
1062,agg514__tu,0.0,0.0,
113,revs120__tu,0.0,0.0,
667,assetpropeversoldcount__ln,0.0,0.0,
17,all252__tu,0.0,0.0,
1797,agg712__tu,0.0,0.0,
1061,agg513__tu,0.0,0.0,
1060,agg512__tu,0.0,0.0,
336,inap01__tu,0.0,0.0,
755,sourcevoterregistration__ln,0.0,0.0,
1850,cv26__tu,0.0,0.0,
1930,aggs124__tu,0.0,0.0,
1959,aggs106__tu,0.0,0.0,
35,all231__tu,0.0,0.0,
1851,bi101s__tu,0.0,0.0,
931,linkd003__tu,0.0,0.0,
1937,aggs123__tu,0.0,0.0,
918,linkf169__tu,0.0,0.0,
446,g417s__tu,0.0,0.0,
672,assetpropsalepurchaseratio__ln,0.0,0.0,
1120,agg609__tu,0.0,0.0,
1886,au33s__tu,0.0,0.0,
625,runningnetloss__app,0.0,0.0,
685,lienjudgmenttaxcount__ln,0.0,0.0,
1300,linkf058__tu,0.0,0.0,
756,educationevidence__ln,0.0,0.0,
1059,agg511__tu,0.0,0.0,
919,linkf171__tu,0.0,0.0,
911,linkf170__tu,0.0,0.0,
1994,aggs909__tu,0.0,0.0,
913,linkf164__tu,0.0,0.0,
1058,agg510__tu,0.0,0.0,
785,addrinputphonecount__ln,0.0,0.0,
1941,aggs903__tu,0.0,0.0,
532,us33s__tu,0.0,0.0,
651,lienjudgmentseverityindex__ln,0.0,0.0,
1796,agg711__tu,0.0,0.0,
1162,agg310__tu,0.0,0.0,
710,inquiryauto12month__ln,0.0,0.0,
1057,agg509__tu,0.0,0.0,
1881,au28s__tu,0.0,0.0,
195,bitdealerapplicantsamezip__app,0.0,0.0,
1255,linkf013__tu,0.0,0.0,
1992,aggs907__tu,0.0,0.0,
18,all234__tu,0.0,0.0,
1345,linkb017__tu,0.0,0.0,
112,revs119__tu,0.0,0.0,
1936,aggs122__tu,0.0,0.0,
