step,sec,prop
Get Data,7.5999999999964984e-06,5.747146862966405e-06
Parse Data,0.17941780000000307,0.13567637453037193
Create X,0.07444220000000001,0.0562934547634888
Preprocessing,0.6272240999999994,0.4743090814070505
Predictions,0.0450185999999988,0.034043224442796276
Adverse Action,0.325000499999998,0.24576652684715294
Counter Offers,0.0688350999999976,0.052053345924624635
Generate Output,0.002449399999999713,0.0018522449376519405
