Feature,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Description,rank
agg401__tu,"[49.50, 108.50)",5121,0.05420366861775882,3577,1544,0.3015036125756688,-0.5134175400498201,0.01641236760152245,0.002029306191899039,Aggregate non-mortgage actual payment for month 1,2
agg401__tu,"[349.50, 500.50)",6898,0.07301247922774855,5358,1540,0.22325311684546245,-0.10675719402723716,0.0008583203815993631,0.00010723912691456769,Aggregate non-mortgage actual payment for month 1,2
agg401__tu,"[199.50, 349.50)",6905,0.07308657133482223,5066,1839,0.2663287472845764,-0.3402359427668169,0.009303872920022481,0.001157406898725749,Aggregate non-mortgage actual payment for month 1,2
trd__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Number of trades,3
trd__tu,"[35.50, inf)",5647,0.05977116123500958,4079,1568,0.27766955905790686,-0.39751461031691093,0.010541415628026199,0.00130906923677196,Number of trades,3
trd__tu,,94477,1.0,75082,19395,0.20528805952771573,,0.5576440122808621,0.03835029544023555,Number of trades,3
trd__tu,Missing,29,0.00030695301501952854,29,0,0.0,0.0,0.0,0.0,Number of trades,3
trd__tu,"[3.50, 4.50)",5541,0.05864919504217958,4508,1033,0.18642844251940083,0.11982085731591208,0.0008123700797589855,0.00010148555756391052,Number of trades,3
trd__tu,"[2.50, 3.50)",5829,0.061697556018925244,4835,994,0.17052667696002746,0.22833365250670434,0.003001660002854172,0.0003743945394250872,Number of trades,3
trd__tu,"[5.50, 7.50)",8937,0.09459445155963886,6984,1953,0.21852970795568982,-0.07931038208135699,0.0006089257374952086,7.60957743644792e-05,Number of trades,3
trd__tu,"[4.50, 5.50)",5015,0.053081702424928816,3986,1029,0.20518444666001995,0.0006352162145741858,2.1414438152498673e-08,2.676804721114004e-09,Number of trades,3
trd__tu,"(-inf, 1.50)",7150,0.07567979508240101,7141,9,0.0012587412587412587,5.322817975488774,0.5037797573150163,0.031655634689628176,Number of trades,3
trd__tu,"[1.50, 2.50)",6343,0.06713803359547826,5507,836,0.131798833359609,0.5315811274536635,0.016076385711921208,0.001986216905356648,Number of trades,3
trd__tu,"[23.50, 28.50)",5433,0.05750605967589995,4072,1361,0.25050616602245535,-0.25765099314522355,0.004106618657808259,0.0005119121642124407,Number of trades,3
trd__tu,"[28.50, 35.50)",4875,0.051599860283455236,3658,1217,0.24964102564102564,-0.2530378127608326,0.0035496308596848518,0.0004425239036820491,Number of trades,3
trd__tu,"[17.50, 23.50)",9922,0.10502026948357801,7589,2333,0.2351340455553316,-0.17402071134163344,0.0033433863988265914,0.00041739676127252896,Number of trades,3
trd__tu,"[14.50, 17.50)",6880,0.07282195666670195,5192,1688,0.2453488372093023,-0.229990965496093,0.00411262459281445,0.0005129480375132217,Number of trades,3
trd__tu,"[12.50, 14.50)",5450,0.05768599765022175,4139,1311,0.24055045871559633,-0.20390154073908384,0.0025423149132345196,0.000317239991050061,Number of trades,3
trd__tu,"[9.50, 12.50)",9557,0.10115689532902188,7349,2208,0.231034843570158,-0.15108842759223107,0.002411994179659468,0.00030121282692368396,Number of trades,3
trd__tu,"[7.50, 9.50)",7869,0.08329011293754035,6014,1855,0.23573516329902147,-0.1773601602171775,0.0027569067893237513,0.00034416237566658276,Number of trades,3
at30s__tu,"[62.50, 74.50)",5277,0.055854864146829386,3201,2076,0.39340534394542354,-0.9205452530400327,0.05928726491346122,0.007159847530545126,Percentage of open trades > 50% of credit line verified in past 12 months,4
at30s__tu,"[74.50, 80.50)",4937,0.052256104660393536,3188,1749,0.354263722908649,-0.7532159838326128,0.03594168722300222,0.004389432028274541,Percentage of open trades > 50% of credit line verified in past 12 months,4
at30s__tu,"[32.50, 62.50)",9929,0.10509436159065169,5784,4145,0.4174639943599557,-1.0203728524549112,0.1394636439007898,0.016713984044187762,Percentage of open trades > 50% of credit line verified in past 12 months,4
at30s__tu,"(-inf, 32.50)",9992,0.10576119055431481,6168,3824,0.38270616493194554,-0.8754879076522427,0.1006933969531943,0.012199498516958594,Percentage of open trades > 50% of credit line verified in past 12 months,4
at30s__tu,"[96.50, inf)",34746,0.3677720503402945,30932,3814,0.10976803085247222,0.7395471908444453,0.1592449353974041,0.01946404558879209,Percentage of open trades > 50% of credit line verified in past 12 months,4
at30s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Percentage of open trades > 50% of credit line verified in past 12 months,4
at30s__tu,Missing,22616,0.23938101336833303,21583,1033,0.04567562787407145,1.6858732289152158,0.3948279614434665,0.04423083414924194,Percentage of open trades > 50% of credit line verified in past 12 months,4
at30s__tu,"[80.50, 96.50)",6980,0.07388041533918308,4226,2754,0.39455587392550145,-0.9253640298367144,0.07931316509785592,0.009574900930650786,Percentage of open trades > 50% of credit line verified in past 12 months,4
at30s__tu,,94477,1.0,75082,19395,0.20528805952771573,,0.9687720549291741,0.11373254278865084,Percentage of open trades > 50% of credit line verified in past 12 months,4
s043s__tu,,94477,1.0,75082,19395,0.20528805952771573,,1.0085159571861133,0.11708191156479966,Number of open trades > 50% of credit line verified in past 12 months (excluding installments and mortgages),5
s043s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Number of open trades > 50% of credit line verified in past 12 months (excluding installments and mortgages),5
s043s__tu,"[2.50, inf)",11096,0.11744657429850651,8437,2659,0.23963590483056957,-0.19888886580150955,0.0049178683112978076,0.000613722335297928,Number of open trades > 50% of credit line verified in past 12 months (excluding installments and mortgages),5
s043s__tu,"(-inf, 0.50)",14636,0.15491601130433863,7048,7588,0.5184476632959825,-1.4273897121630055,0.424454532726003,0.0489667062295282,Number of open trades > 50% of credit line verified in past 12 months (excluding installments and mortgages),5
s043s__tu,"[0.50, 1.50)",16952,0.17942991415900167,12564,4388,0.25884851344974047,-0.30160350946070014,0.017766507400237424,0.0022124342077230012,Number of open trades > 50% of credit line verified in past 12 months (excluding installments and mortgages),5
s043s__tu,"[1.50, 2.50)",7903,0.08364998888618394,5874,2029,0.2567379476148298,-0.29057277679136573,0.007665346968494318,0.0009548116796831898,Number of open trades > 50% of credit line verified in past 12 months (excluding installments and mortgages),5
s043s__tu,Missing,43890,0.46455751135196927,41159,2731,0.06222374117110959,1.3592092240225673,0.5537117017800808,0.06433423711256735,Number of open trades > 50% of credit line verified in past 12 months (excluding installments and mortgages),5
bi20s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Months since oldest bank installment trade opened,6
