iter	Passed	Remaining
400	24154	36080
401	24217	36024
402	24266	35948
403	24321	35880
404	24374	35809
405	24430	35742
406	24477	35663
407	24531	35594
408	24581	35520
409	24630	35444
410	24684	35374
411	24742	35312
412	24791	35236
413	24848	35171
414	24899	35099
415	24955	35033
416	25008	34963
417	25060	34892
418	25112	34821
419	25176	34767
420	25224	34691
421	25279	34624
422	25332	34554
423	25380	34478
424	25447	34428
425	25515	34380
426	25582	34329
427	25648	34277
428	25703	34210
429	25751	34136
430	25811	34075
431	25866	34009
432	25919	33941
433	25991	33896
434	26051	33837
435	26118	33786
436	26186	33736
437	26250	33682
438	26307	33618
439	26368	33559
440	26422	33492
441	26485	33436
442	26543	33374
443	26598	33308
444	26655	33244
445	26718	33188
446	26776	33126
447	26831	33059
448	26897	33007
449	26946	32934
450	27001	32869
451	27057	32803
452	27110	32735
453	27165	32670
454	27225	32610
455	27291	32557
456	27341	32486
457	27395	32420
458	27453	32358
459	27507	32290
460	27568	32232
461	27619	32163
462	27674	32097
463	27725	32027
464	27779	31961
465	27829	31890
466	27884	31825
467	27934	31754
468	27989	31689
469	28042	31622
470	28096	31556
471	28152	31492
472	28203	31423
473	28261	31362
474	28318	31299
475	28371	31233
476	28423	31164
477	28480	31101
478	28550	31053
479	28616	31000
480	28674	30940
481	28739	30885
482	28803	30830
483	28864	30773
484	28915	30704
485	28977	30647
486	29041	30591
487	29104	30536
488	29219	30533
489	29275	30469
490	29334	30410
491	29382	30338
492	29455	30291
493	29508	30225
494	29560	30157
495	29618	30096
496	29676	30034
497	29734	29973
498	29791	29911
499	29846	29846
500	29900	29781
501	29961	29723
502	30023	29665
503	30077	29599
504	30134	29538
505	30204	29488
506	30258	29423
507	30317	29362
508	30365	29292
509	30421	29228
510	30470	29158
511	30521	29091
512	30571	29021
513	30619	28951
514	30671	28885
515	30737	28830
516	30795	28770
517	30840	28697
518	30894	28632
519	30950	28569
520	31012	28512
521	31072	28453
522	31134	28395
523	31190	28333
524	31245	28269
525	31303	28208
526	31355	28142
527	31406	28075
528	31476	28025
529	31533	27963
530	31595	27906
531	31659	27850
532	31717	27790
533	31773	27727
534	31829	27665
535	31898	27613
536	31962	27557
537	32016	27493
538	32074	27433
539	32124	27365
540	32183	27305
541	32242	27245
542	32300	27185
543	32370	27134
544	32426	27071
545	32487	27013
546	32547	26954
547	32600	26889
548	32652	26823
549	32709	26762
550	32758	26694
551	32817	26634
552	32884	26580
553	32938	26517
554	32987	26449
555	33038	26383
556	33091	26318
557	33157	26264
558	33211	26200
559	33264	26136
560	33319	26073
561	33382	26016
562	33438	25954
563	33505	25901
564	33571	25846
565	33629	25786
566	33696	25733
567	33760	25676
568	33820	25618
569	33884	25562
570	33944	25503
571	34007	25445
572	34057	25379
573	34117	25320
574	34207	25284
575	34271	25227
576	34324	25163
577	34382	25102
578	34431	25035
579	34489	24974
580	34544	24912
581	34606	24854
582	34664	24794
583	34716	24729
584	34766	24663
585	34820	24600
586	34872	24535
587	34949	24488
588	34997	24420
589	35052	24358
590	35104	24293
591	35156	24229
592	35209	24165
593	35268	24106
594	35321	24042
595	35380	23982
596	35434	23919
597	35491	23859
598	35543	23794
599	35601	23734
600	35660	23674
601	35717	23613
602	35772	23551
603	35824	23487
604	35877	23423
605	35929	23359
606	35986	23299
607	36044	23239
608	36105	23180
609	36160	23118
610	36214	23056
611	36266	22992
612	36342	22944
613	36414	22892
614	36473	22833
615	36536	22775
616	36604	22721
617	36655	22657
618	36709	22594
619	36758	22529
620	36806	22463
621	36866	22404
622	36940	22353
623	36998	22293
624	37057	22234
625	37104	22167
626	37157	22104
627	37212	22043
628	37255	21974
629	37315	21915
630	37364	21850
631	37420	21789
632	37483	21731
633	37537	21669
634	37598	21611
635	37655	21551
636	37709	21489
637	37764	21427
638	37823	21368
639	37879	21307
640	37939	21248
641	37984	21181
642	38039	21120
643	38095	21059
644	38146	20995
645	38197	20931
646	38256	20872
647	38302	20806
648	38354	20743
649	38399	20676
650	38453	20614
651	38512	20555
652	38574	20498
653	38645	20445
654	38707	20388
655	38780	20336
656	38841	20277
657	38907	20222
658	38969	20164
659	39023	20103
660	39084	20044
661	39135	19981
662	39193	19922
663	39239	19856
664	39297	19796
665	39346	19732
666	39394	19667
667	39454	19608
668	39509	19547
669	39559	19484
670	39621	19426
671	39676	19365
672	39733	19305
673	39793	19247
674	39855	19189
675	39919	19132
676	39974	19072
677	40038	19015
678	40089	18952
679	40140	18889
680	40200	18831
681	40249	18767
682	40295	18702
683	40349	18640
684	40409	18582
685	40471	18524
686	40534	18467
687	40597	18410
688	40654	18350
689	40716	18292
690	40776	18234
691	40826	18171
692	40886	18112
693	40940	18051
694	40995	17990
695	41126	17963
696	41193	17907
697	41248	17846
698	41305	17786
699	41369	17729
700	41426	17669
701	41481	17609
702	41560	17558
703	41629	17503
704	41683	17441
705	41740	17381
706	41793	17320
707	41850	17260
708	41902	17198
709	41948	17133
710	42014	17077
711	42065	17015
712	42124	16956
713	42182	16896
714	42233	16834
