iter	Logloss
0	0.5847034442
1	0.5021461629
2	0.4436437144
3	0.3993308474
4	0.3659648392
5	0.3427970075
6	0.3228313888
7	0.3083011702
8	0.2960441752
9	0.2872781669
10	0.2807993918
11	0.2754565228
12	0.2714074034
13	0.2677887796
14	0.2650487035
15	0.2624096639
16	0.2604485397
17	0.2588672841
18	0.2576542903
19	0.2563262612
20	0.2551566299
21	0.2543182438
22	0.2536021136
23	0.252894182
24	0.2522517829
25	0.2516594915
26	0.2510573254
27	0.2505584905
28	0.2501458218
29	0.249766909
30	0.2494274161
31	0.2490969126
32	0.2488097769
33	0.2485388652
34	0.2482374129
35	0.2479811405
36	0.2477623154
37	0.2474877237
38	0.2472930789
39	0.2470721717
40	0.2468103047
41	0.246523697
42	0.2462809625
43	0.2461222983
44	0.2459648101
45	0.2458130129
46	0.2456533794
47	0.2454340716
48	0.245254431
49	0.2451064587
50	0.2449637483
51	0.2447878452
52	0.244662289
53	0.2444983525
54	0.2443723039
55	0.2442291236
56	0.244079482
57	0.2439538303
58	0.2438249173
59	0.2437424302
60	0.2436223751
61	0.2434804717
62	0.2433468548
63	0.2432413955
64	0.2431490938
65	0.2430334883
66	0.2429451561
67	0.2428308239
68	0.2427536824
69	0.242651374
70	0.2425212759
71	0.2424459598
72	0.2423223503
73	0.2422565454
74	0.242157037
75	0.2420527169
76	0.2419621402
77	0.2418964126
78	0.2418152134
79	0.2417329479
80	0.2416666953
81	0.2415367723
82	0.241466448
83	0.2413708209
84	0.2412905956
85	0.2412404343
86	0.2410904918
87	0.2410193665
88	0.2409122753
89	0.2408471098
90	0.2407951722
91	0.240713747
92	0.2406306668
93	0.2405630529
94	0.2404790425
95	0.2404244954
96	0.2403130978
97	0.2402524708
98	0.2401877098
99	0.2401233033
100	0.2400413773
101	0.2399696981
102	0.2399071174
103	0.239820453
104	0.2397403002
105	0.2396767373
106	0.2396183641
107	0.2395480485
108	0.239504583
109	0.2394404622
110	0.2393569734
111	0.2393082281
112	0.2392390546
113	0.2391323911
114	0.2390344477
115	0.2389699247
116	0.2388807615
117	0.238816477
118	0.238761684
119	0.23871885
120	0.2386431183
121	0.2385688333
122	0.2385214871
123	0.2384229994
124	0.2383750486
125	0.2382739385
126	0.2382140614
127	0.238152678
128	0.2380797024
129	0.2379945303
130	0.2379332094
131	0.2378816293
132	0.2378112057
133	0.2377219541
134	0.2376515823
135	0.2376031248
136	0.2375347939
137	0.2374534753
138	0.2374060507
139	0.2373368878
140	0.2372443894
141	0.2371878251
142	0.2371374061
143	0.2370865925
144	0.237021231
145	0.2369532217
146	0.2369080696
147	0.2368276058
148	0.2367617675
149	0.2367066102
150	0.2366449022
151	0.236566362
152	0.2364891372
153	0.236435334
154	0.2363787188
155	0.2362968998
156	0.2362445039
157	0.2361790742
158	0.236121363
159	0.2360291897
160	0.2359557218
161	0.2359050984
162	0.2358585532
163	0.2358215907
164	0.2357867801
165	0.2357407275
166	0.2356961125
167	0.2356457988
168	0.2356073298
169	0.2355490226
170	0.235473
171	0.2354043019
172	0.2353504882
173	0.235276425
174	0.2352287767
175	0.2351707006
176	0.2351110291
177	0.2350352226
178	0.2349973443
179	0.2349297038
180	0.2348707709
181	0.2348122922
182	0.2347822912
183	0.2347316666
184	0.234667724
185	0.234602587
186	0.2345764439
187	0.234540663
188	0.2344841372
189	0.2344361245
190	0.2343655334
191	0.2343029791
192	0.2342596623
193	0.2342171437
194	0.2341719309
195	0.2341325261
196	0.2340998817
197	0.2340394203
198	0.234037292
199	0.2339831513
200	0.2339536821
201	0.2339007776
202	0.2338497039
203	0.2338091076
204	0.2337626439
205	0.2336881565
206	0.2336377145
207	0.2335885446
208	0.2335400521
209	0.2335021975
210	0.2334997238
211	0.2334435365
212	0.2333920916
213	0.2333323199
214	0.2332912654
215	0.2332450866
216	0.233203248
217	0.2331604752
218	0.2331100636
219	0.2330665806
220	0.233017651
221	0.2329810603
222	0.2329343106
223	0.2328927718
224	0.2328393346
225	0.2327776484
226	0.2327220956
227	0.2326572451
228	0.2325923772
229	0.2325305698
230	0.2324750673
231	0.2324531337
232	0.2324151888
233	0.2323569267
234	0.2323140384
235	0.2322489889
236	0.232215979
237	0.2321629318
238	0.2321062833
239	0.2320626888
240	0.2320192575
241	0.2319604582
242	0.2318982655
243	0.2318619744
244	0.2318283026
245	0.2317771896
246	0.2317222169
247	0.2316606846
248	0.2316052627
249	0.2315535451
250	0.2315171672
251	0.231479284
252	0.231438066
253	0.2313726406
254	0.2313277649
255	0.2312868794
256	0.2312253146
257	0.2312036586
258	0.2311641381
259	0.231118142
260	0.231069956
261	0.2310229482
262	0.2309880947
263	0.2309425171
264	0.2309162748
265	0.2308652772
266	0.2308396196
267	0.2308039298
268	0.2307688076
269	0.2307146865
270	0.2306735029
271	0.2306111129
272	0.2305596954
273	0.2305144295
274	0.2304780195
275	0.2304283952
276	0.2303892038
277	0.2303217203
278	0.2302703065
279	0.2302364997
280	0.230206404
281	0.2301694127
282	0.2301194442
283	0.2300934208
284	0.2300598876
285	0.2300012948
286	0.2299403058
287	0.2298824634
288	0.2298480805
289	0.2298110482
290	0.2297812672
291	0.2297392826
292	0.2297005658
293	0.2296549956
294	0.2296058996
295	0.2295647517
296	0.2295186833
297	0.2294845976
298	0.2294281058
299	0.229406308
300	0.2293602546
301	0.2293100256
302	0.2292704644
303	0.229205289
304	0.2291565424
305	0.2291285318
306	0.229085954
307	0.2290172593
308	0.228990366
309	0.2289601569
310	0.2289285664
311	0.2288906973
312	0.2288622645
313	0.2288011485
314	0.228777697
315	0.2287215949
316	0.2286774864
317	0.2286135978
318	0.2285640459
319	0.2285139748
320	0.2284822774
321	0.2284497827
322	0.2283960664
323	0.2283539112
324	0.2283034145
325	0.2282721459
326	0.2282315655
327	0.2281988559
328	0.2281606119
329	0.2281188761
330	0.2280734849
331	0.2280310629
332	0.2279866866
333	0.2279449497
334	0.2279163129
335	0.2278526544
336	0.2278242601
337	0.2277662634
338	0.227716114
339	0.2276883149
340	0.2276243312
341	0.2275878209
342	0.2275479753
343	0.2274896243
344	0.2274510689
345	0.2274205595
346	0.2273617586
347	0.2273103747
348	0.2272675348
349	0.2272154317
350	0.2271687292
351	0.2271350356
352	0.2270974321
353	0.2270707861
354	0.227009007
355	0.2269636043
356	0.2269060208
357	0.2268686738
358	0.2268173987
359	0.2267813482
360	0.2267244403
361	0.2266847286
362	0.2266427061
363	0.2265980249
364	0.2265551363
365	0.226518271
366	0.2264750986
367	0.2264435196
368	0.2263885401
369	0.2263336432
370	0.2262790667
371	0.2262373807
372	0.2262041643
373	0.2261682328
374	0.226115656
375	0.2260815531
376	0.2260279807
377	0.2260039614
378	0.2259446034
379	0.2259063303
380	0.2258596094
381	0.2258475432
382	0.2257946188
383	0.2257505205
384	0.2257054083
385	0.2256697355
386	0.2256462257
387	0.2256102781
388	0.225576412
389	0.2255378353
390	0.2255006946
391	0.2254657684
392	0.2254224245
393	0.2253812426
394	0.2253361935
395	0.2252841173
396	0.2252478329
397	0.2252099637
398	0.2251773783
399	0.2251423511
400	0.2250758568
401	0.2250143491
402	0.2249748126
403	0.2249393976
404	0.2249075472
405	0.2248562324
406	0.2248262387
407	0.2247800279
408	0.2247233463
409	0.2246792326
410	0.2246471423
411	0.2245980574
412	0.2245543203
413	0.2245284183
414	0.2244967038
415	0.2244586389
416	0.2244252144
417	0.2243891239
418	0.2243645966
419	0.2243132955
420	0.2242701352
421	0.224234734
422	0.2242132033
423	0.2241726326
424	0.22414842
425	0.2241061289
426	0.2240562724
427	0.2240189878
428	0.2239907558
429	0.2239531173
430	0.2239128233
431	0.2238732879
432	0.2238442797
433	0.2237949703
434	0.2237625743
435	0.2237206249
436	0.2236792907
437	0.2236335335
438	0.2235999114
439	0.2235648244
440	0.2235213173
441	0.2234851412
442	0.2234567389
443	0.2234278052
444	0.2233744407
445	0.2233170054
446	0.2232814783
447	0.2232455912
448	0.2231930559
449	0.2231764448
450	0.2231384288
451	0.2230797224
452	0.2230378754
453	0.2229961421
454	0.2229577566
455	0.2229175643
456	0.2228878635
457	0.2228570859
458	0.2228100256
459	0.2227832797
460	0.2227303485
461	0.222694533
462	0.2226601149
463	0.2226106445
464	0.2225704838
465	0.2225389736
466	0.2224877611
467	0.2224648428
