feature,suffix,feature_name,Description
streveryother,__income,streveryother__income,Every Other
strmonthly,__income,strmonthly__income,Monthly
strpaydays,__income,strpaydays__income,Pay Days
analyticsmatchkey,__tu,analyticsmatchkey__tu,analyticsMatchkey
zip_code,__tu,zip_code__tu,5 digit zip code
at01s,__tu,at01s__tu,Number of trades
at02s,__tu,at02s__tu,Number of open trades
at03s,__tu,at03s__tu,Number of open trades currently satisfactory
at06s,__tu,at06s__tu,Number of trades opened in past 6 months
at09s,__tu,at09s__tu,Number of trades opened in past 24 months
at12s,__tu,at12s__tu,Number of open trades verified in past 12 months
at20s,__tu,at20s__tu,Months since oldest trade opened
at21s,__tu,at21s__tu,Months since most recent trade opened
at24s,__tu,at24s__tu,Number of currently open and satisfactory trades 6 months or older
at25s,__tu,at25s__tu,Number of currently open and satisfactory trades 12 months or older
at27s,__tu,at27s__tu,Number of currently open and satisfactory trades 24 months or older
at28a,__tu,at28a__tu,Total credit line of open trades verified in past 12 months
at28b,__tu,at28b__tu,Total credit line of open trades verified in past 12 months (excluding mortgage and home equity)
at29s,__tu,at29s__tu,Number of open trades with balance > $0 verified in past 12 months
at30s,__tu,at30s__tu,Percentage of open trades > 50% of credit line verified in past 12 months
at31s,__tu,at31s__tu,Percentage of open trades > 75% of credit line verified in past 12 months
at32s,__tu,at32s__tu,Maximum balance owed on open trades verified in past 12 months
at33a,__tu,at33a__tu,Total balance of open trades verified in past 12 months
at33b,__tu,at33b__tu,Total balance of open trades verified in past 12 months (excluding mortgage and home equity)
at34a,__tu,at34a__tu,Utilization for open trades verified in past 12 months
at34b,__tu,at34b__tu,Utilization for open trades verified in past 12 months (excluding mortgage and home equity)
at35a,__tu,at35a__tu,Average balance of open trades verified in past 12 months
at35b,__tu,at35b__tu,Average balance of open trades verified in past 12 months (excluding mortgage and home equity)
at36s,__tu,at36s__tu,Months since most recent delinquency
at57s,__tu,at57s__tu,Total past due amount of open trades verified in past 12 months
at101s,__tu,at101s__tu,Total balance of all trades verified in past 12 months
at101b,__tu,at101b__tu,Total balance of all trades verified in past 12 months (excluding mortgage and home equity)
at103s,__tu,at103s__tu,Percentage of satisfactory open trades to all open trades verified in 24 months
at104s,__tu,at104s__tu,Percentage of all trades opened in past 24 months to all trades
au01s,__tu,au01s__tu,Number of auto trades
au02s,__tu,au02s__tu,Number of open auto trades
au03s,__tu,au03s__tu,Number of currently satisfactory open auto trades
au06s,__tu,au06s__tu,Number of auto trades opened in past 6 months
au09s,__tu,au09s__tu,Number of auto trades opened in past 24 months
au12s,__tu,au12s__tu,Number of open auto trades verified in past 12 months
au20s,__tu,au20s__tu,Months since oldest auto trade opened
au21s,__tu,au21s__tu,Months since most recent auto trade opened
au24s,__tu,au24s__tu,Number of currently open and satisfactory auto trades 6 months or older
au25s,__tu,au25s__tu,Number of currently open and satisfactory auto trades 12 months or older
au27s,__tu,au27s__tu,Number of currently open and satisfactory auto trades 24 months or older
au28s,__tu,au28s__tu,Total credit line of open auto trades verified in past 12 months
au29s,__tu,au29s__tu,Number of open auto trades with balance > $0 verified in past 12 months
au30s,__tu,au30s__tu,Percentage of open auto trades > 50% of credit line verified in past 12 months
au31s,__tu,au31s__tu,Percentage of open auto trades > 75% of credit line verified in past 12 months
au32s,__tu,au32s__tu,Maximum balance owed on open auto trades verified in past 12 months
