feature,score
g225s__tu_binned,0.6220280758969922
inquirynonshortterm12month__ln_binned,0.6227005219166153
addrinputsubjectcount__ln_binned,0.6232940537002835
fltgrossmonthly__income_sum_binned,0.6235786064105339
br36s__tu_binned,0.6238983233220741
jt20s__tu_binned,0.6241605351170567
rp01s__tu_binned,0.6242761887330349
linka006__tu_binned,0.6246812537091577
linkt004__tu_binned,0.625448698536304
all235__tu_binned,0.6256670715541578
linka053__tu_binned,0.6262683683034105
fi36s__tu_binned,0.6264514440062785
linkt003__tu_binned,0.62668914069563
rev322__tu_binned,0.6267224856764118
g407s__tu_binned,0.6268741909183182
balmag01__tu_binned,0.6269727727028181
