Data Set,Observations,Minimum Date,Maximum Date,Bad Rate
train,50416,2021-07-26,2023-03-22,0.2609885750555379
test,16805,2023-03-22,2023-11-01,0.19934543290687295
holdout,16806,2023-11-01,2024-05-28,0.2043912888254195
