bigaccountid__app,applicationdate__app,intopenbktype__app,ENG-loan_to_value,fltgrossmonthly__income_sum,strdealershiptrackertype__app,FICO,yhat_ad_old,yhat_ad_new,yhat_pd_old,yhat_pd_new_logloss,yhat_pd_new_auc,yhat_lgd_old,yhat_lgd_new,ecnl_old,ecnl_new_logloss,ecnl_new_auc,genxi_raw_pd,genxi_raw_lgd,genxi_raw_ecnl,genxi_raw_ecnl_mod,genxi_factor_pd,genxi_factor_lgd,genxi_factor_ecnl,tier
7272862,2023-10-24 13:08:23,13.0,1.3157894736842106,3500.0,franchise,600.0,0.2723176404687787,0.3578746421979371,0.2874214353890015,0.3503750243894007,0.43524231222009385,0.3588662603040992,0.7803477792848642,0.10314585564928724,0.6452579183899916,0.801551277428553,0.16158579258721162,0.4233593415212932,0.06840885474891817,0.10096556772715193,0.161586,0.423359,0.15346832,B
7464573,2024-01-02 16:11:37,nan,1.44,5000.0,franchise,544.0,0.4395527674999051,0.6127978593528997,0.6001406538824999,0.35482907540983816,0.31903017751198426,0.38267085810088747,0.6277880255414264,0.22965633900244395,0.525707569388708,0.4726686475389753,0.30514663913480367,0.45350082724105045,0.13838425327745976,0.2378045588116709,0.311181,0.453381,0.36948616,Decline
7506291,2024-01-20 10:59:46,13.0,0.6785714285714286,3500.0,franchise,573.0,0.12197937036733984,0.2153019118325134,0.16920821311781659,0.22268867761785915,0.1795345430922936,0.32631714647659754,0.6577583466409481,0.05521554126500989,0.3456817939171738,0.2786932123812072,0.06349409522955082,0.38498027053080436,0.024443973958581132,0.014990924395224162,0.063494,0.38498,0.022786320000000002,A1
7517896,2024-01-25 10:58:56,7.0,1.5454545454545454,3500.0,franchise,528.0,0.10901307157012151,0.16546311722887272,0.44787190485731165,0.16629602412142275,0.2933835472434613,0.4246384408030121,0.716729504360315,0.1901836273580838,0.28128666999170643,0.49625288079173385,0.09652585987509095,0.4766341397365962,0.046007520183899205,0.05715908594522041,0.096526,0.476634,0.08688168,A
7550886,2024-02-07 08:17:30,13.0,1.4074074074074074,6000.0,independent,506.0,0.1558110380864394,0.26234550418352026,0.341895430153511,0.2125643762346965,0.2326574126600291,0.3567327343079706,0.7552435876300082,0.12196529164606175,0.3788694017791918,0.41468272490153857,0.09191194564128538,0.417549906769362,0.03837782433350938,0.042238986818907594,0.091912,0.41755,0.06420328,A
7553501,2024-02-08 08:21:25,nan,1.2333333333333334,5000.0,franchise,531.0,0.34004202984853227,0.5484549494700696,0.4690389584070258,0.23886128663023,0.3834026933314033,0.4461777948968857,0.6490632539609176,0.20927476818277885,0.36588515811140004,0.5872921353181025,0.1866915947409149,0.41518876117198517,0.07751225194170276,0.118767534039558,0.186692,0.415189,0.18052736,B
7555665,2024-02-08 15:54:06,nan,1.2307692307692308,3500.0,franchise,537.0,0.3875830867384517,0.5891267182057237,0.4560265031198234,0.26914165720188066,0.27478101940442556,0.45423423186649964,0.6771971957847501,0.2071428483553989,0.4301382622412988,0.4391510084775027,0.1864498815658261,0.45643243173645176,0.08510177284006343,0.13360906984192922,0.18645,0.456432,0.20308568000000002,B
7556512,2024-02-09 08:50:07,nan,0.8620689655172413,7500.0,franchise,455.0,0.37202133082653804,0.5908410130779719,0.5749016513480741,0.11839090466758316,0.14309310319982738,0.3751696769527467,0.6377561864003328,0.2156856668158576,0.17819069520206834,0.21537008784071038,0.2597142783717272,0.40697922482964405,0.10569831568891594,0.17388622727914577,0.259714,0.406979,0.26430672,D
7560701,2024-02-10 11:21:40,7.0,1.5185185185185186,4500.0,franchise,552.0,0.1588432653682466,0.329244726608257,0.49990107634339354,0.368395756627144,0.2501670186359796,0.40111275493492354,0.7332789710025279,0.2005166979270321,0.6375229927653496,0.4329236250498208,0.10177703705451084,0.44252379900650685,0.045038761088988154,0.055264648472349,0.101777,0.442524,0.17672279999999999,B
7562156,2024-02-10 15:03:50,nan,1.2272727272727273,5000.0,franchise,579.0,0.28949486355018905,0.4555796769375537,0.1766559402059754,0.144881619692457,0.1670845806471353,0.33357500426822195,0.6306947529045615,0.058928006008215,0.21564754250433849,0.24869530920076113,0.17657691846269477,0.3656127232869916,0.0645587680287709,0.09343660764330236,0.176577,0.365613,0.14202424000000002,B
