Feature Name,Description,Table
g403s__tu,Number of deduped mortgage inquiries,TransUnion
at28b__tu,Total credit line of open trades verified in past 12 months (excluding mortgage and home equity),TransUnion
addrlastmovetaxratiodiff__ln,"Ratio comparing the difference in tax assessed value between the current address and the previous address (current address value divided by the previous address value if both are known) on subject's file, if the move occurred within the last five years",LexisNexis
linkf037__tu,Number of inquiries within last 3 months ONLINE LENDER,TransUnion
rev317__tu,Max Total Open-to-Buy for Revolving accounts over the past 6 months,TransUnion
s207a__tu,Months since most recent tradeline bankruptcy,TransUnion
bitgap__app,Gap tag,Application
linkf208__tu,Total Bad ACH amount in last 6 Months,TransUnion
in28s__tu,Total credit line of open installment trades verified in past 12 months,TransUnion
indexq4__tu,Q4 (Oct - Dec) spend indexed to annual spend,TransUnion
in25s__tu,Number of currently open and satisfactory installment trades 12 months or older,TransUnion
jt28s__tu,Total credit line of open joint trade verified in the past 12 months,TransUnion
addrcurrentdwelltype__ln,Current dwelling type,LexisNexis
ret322__tu,Min Total Open-to-Buy for Retail accounts over the past 6 months,TransUnion
paymnt10__tu,Number of payments in last 3 months,TransUnion
g301s__tu,Worst rating on credit card trades,TransUnion
rev319__tu,Max Total Open-to-Buy for Revolving accounts over the past 24 months,TransUnion
agg905__tu,Average aggregate bankcard utilization over last 3 months,TransUnion
linkt002__tu,Number of months at current address,TransUnion
g201a__tu,Total open to buy of open trades verified in past 3 months (excluding installments and mortgages),TransUnion
alertregulatorycondition__ln,"Indicates subject has an alert on their file that is associated with state or federal regulations, consumer identity conditions, or bankruptcies on file",LexisNexis
rp05s__tu,Total balance of repossession trades,TransUnion
subjectactivityindex03month__ln,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported within the past three months,LexisNexis
linka029__tu,Number of checking account inquiries in the last 3 years,TransUnion
bankruptcycount__ln,Number of bankruptcies,LexisNexis
jt01s__tu,Number of joint trades,TransUnion
at27s__tu,Number of currently open and satisfactory trades 24 months or older,TransUnion
g099s__tu,Number of public record bankruptcies in past 24 months,TransUnion
addrinputownershipindex__ln,Index indicating subject's ownership level at the input address based on the address property record on file,LexisNexis
g414s__tu,Number of deduped auto inquiries in past 12 months,TransUnion
linkf151__tu,Number of distinct cell phones within last 3 months,TransUnion
g405s__tu,Number of deduped finance inquiries in past 6 months,TransUnion
at20s__tu,Months since oldest trade opened,TransUnion
bitdealertrack__app,From Dealertrack,Application
agg908__tu,Max aggregate bankcard balance over last 12 months,TransUnion
addrinputdelivery__ln,Indicates the mail delivery status on file for the input address,LexisNexis
linka082__tu,Amount of largest open (unpaid) non-sufficient funds (single check),TransUnion
sourcenonderogcount03month__ln,Total non-derogatory source types on file for subject reported within the last three months,LexisNexis
g095s__tu,Months since most recent public record,TransUnion
linkt007__tu,Months since most recent derogatory public record,TransUnion
g221d__tu,Number of credit card trades verified in the past 12 months that are currently 120 days or more past due,TransUnion
intopenbktype__app,BK Type,Application
au27s__tu,Number of currently open and satisfactory auto trades 24 months or older,TransUnion
std203__tu,Total Payment Ratio for Student Loan accounts over the past 6 months,TransUnion
bc20s__tu,Months since oldest credit card trade opened,TransUnion
bc107s__tu,Number of 30 and 60 days past due ratings on credit card trades,TransUnion
bc36s__tu,Months since most recent credit card delinquency,TransUnion
addrinputmatchindex__ln,Index indicating if the input address matches the current or historical address on file,LexisNexis
jt51s__tu,Months since most recent 30+ days past due on a joint trade,TransUnion
jt40s__tu,Number of joint revolving trades,TransUnion
linkf185__tu,Age of newest inquiry ONLINE LENDER,TransUnion
jt02s__tu,Number of open joint trades,TransUnion
g202b__tu,Total open to buy of closed trades verified in past 12 months (excluding installments and mortgages),TransUnion
all254__tu,Average Aggregate Excess Payment for All accounts over the past 12 months,TransUnion
lm14s__tu,Months since oldest government loan modification on a mortgage trade,TransUnion
ret328__tu,Average Total Open-to-Buy for Retail accounts over the past 24 months,TransUnion
g105s__tu,Months since most recent mortgage inquiry,TransUnion
in09s__tu,Number of installment trades opened in past 24 months,TransUnion
au36s__tu,Months since most recent auto delinquency,TransUnion
au20s__tu,Months since oldest auto trade opened,TransUnion
us01s__tu,Number of unsecured installment trades,TransUnion
addrpreviousdwelltype__ln,Previous dwelling type,LexisNexis
std235__tu,Aggregate Excess Payment for Student Loan accounts over the past 24 months,TransUnion
br20s__tu,Months since oldest bank revolving trade opened,TransUnion
bkc122__tu,Number of months in the past 12 months where percentage of Bankcard trades utilized less than 100% was more than 25%,TransUnion
linkf210__tu,Total Bad ACH events,TransUnion
fr02s__tu,Number of open finance revolving trades,TransUnion
linka005__tu,Average number of checks ordered in the last 3 years,TransUnion
g216s__tu,Number of trades with a delinquency of 90 or more days past due since opening a new trade (within past 24 months),TransUnion
rev201__tu,Total Payment Ratio for Revolving accounts over the past 1 month,TransUnion
per222__tu,Average total Payment Ratio for Personal Loan accounts over the past 3 months,TransUnion
linka047__tu,Number of checking account closures for cause in the last 3 years,TransUnion
bkc326__tu,Average Total Open-to-Buy for Bankcard accounts over the past 6 months,TransUnion
all253__tu,Average Aggregate Excess Payment for All accounts over the past 6 months,TransUnion
ret319__tu,Max Total Open-to-Buy for Retail accounts over the past 24 months,TransUnion
linka046__tu,Number of checking account closures for cause in the last 2 years,TransUnion
cv05__tu,Months since most recent non-medical third party collection occurrence,TransUnion
fr101s__tu,Total balance of all finance revolving trades verified in past 12 months,TransUnion
paymnt05__tu,Total amount of prepayments on installment loans last 12 months,TransUnion
bkc83__tu,Months since a Bankcard trade last exceeded 75% utilization,TransUnion
rev232__tu,Aggregate Excess Payment for Revolving accounts over the past 3 months,TransUnion
rev253__tu,Average Aggregate Excess Payment for Revolving accounts over the past 6 months,TransUnion
of20s__tu,Months since oldest credit union trade opened,TransUnion
jt80s__tu,Number of non-Mortgage and non-Auto joint trades with greater than 75% utilization,TransUnion
rvdexq3__tu,Q3 (Jul - Sep) revolving spend indexed to revolving annual spend,TransUnion
of21s__tu,Months since most recent credit union trade opened,TransUnion
addrcurrentsubjectowned__ln,Subject owns current address,LexisNexis
g208s__tu,Percentage of individual debt,TransUnion
linkf197__tu,Total Good ACH events,TransUnion
linka060__tu,Total amount of open (unpaid) non-sufficient funds in the last month,TransUnion
rev204__tu,Total Payment Ratio for Revolving accounts over the past 12 months,TransUnion
assetpropevercount__ln,Total number of real property ever owned based on real property ownership records on subject's file,LexisNexis
addrinputphoneservice__ln,Indicates if phone service was found on file for the input address,LexisNexis
at35a__tu,Average balance of open trades verified in past 12 months,TransUnion
evictiontimenewest__ln,Time (in months) since most recently recorded eviction on subject's file,LexisNexis
revs905__tu,Months since max. revolving monthly spend over last 12 months,TransUnion
g306s__tu,Worst rating on auto trades in past 12 months,TransUnion
rtdexq1__tu,Q1 (Jan - March) retail spend indexed to annual retail spend,TransUnion
ret84__tu,Months since a Retail trade last exceeded 90% utilization,TransUnion
bi20s__tu,Months since oldest bank installment trade opened,TransUnion
addrpreviouslengthofres__ln,Length of residency in previous residence,LexisNexis
lienjudgmenttimenewest__ln,"Time (in months) since the most recently recorded lien or judgment on subject's file, excluding evictions",LexisNexis
walshr10__tu,Months since most recent wallet share shift > 50% in last 24 months,TransUnion
fi24s__tu,Number of currently open and satisfactory finance installment trades 6 months or older,TransUnion
agg903__tu,Number of aggregate non-mortgage credit line increases over last 3 months,TransUnion
ret205__tu,Total Payment Ratio for Retail accounts over the past 24 months,TransUnion
at25s__tu,Number of currently open and satisfactory trades 12 months or older,TransUnion
rev315__tu,Number of months since Max Total Open-to-Buy for Revolving accounts,TransUnion
g206b__tu,Total monthly obligation for joint account verified in past 12 months and with a current balance > 0  (ATTR14),TransUnion
st25s__tu,Number of currently open and satisfactory student loan trades 12 months or older,TransUnion
businessassociationtimeoldest__ln,Time (in months) since a formal business association with the subject first seen on file,LexisNexis
g218d__tu,Number of credit card trades verified in the past 12 months that are currently 30 days or more past due,TransUnion
aut205__tu,Total Payment Ratio for Auto accounts over the past 24 months,TransUnion
miles_odometer__app,Miles on vehicle,Application
addrinputproblems__ln,Indicates any problems on file associated with the input address,LexisNexis
rp03s__tu,Number of repossession trades in past 24 months,TransUnion
std202__tu,Total Payment Ratio for Student Loan accounts over the past 3 months,TransUnion
g235s__tu,Number of trades opened since most recent delinquency (delinquency search limited to 24 months),TransUnion
au204s__tu,Number of auto trades that are 90 days or more past due ever,TransUnion
g407s__tu,Number of deduped finance inquiries,TransUnion
linkf147__tu,Number of distinct cell phones within last 18 months,TransUnion
g250c__tu,Number of 30 days past due or worse items in the past 24 months (excluding medical collection items),TransUnion
s064b__tu,Total placement amount of non-medical third party collections,TransUnion
linkf111__tu,Number of lenders / locations with inquiries within last 6 months,TransUnion
st32s__tu,Maximum balance owed on open student loan trades verified in past 12 months,TransUnion
trv02__tu,Number of months overlimit on a bankcard over last 12 months,TransUnion
linkf087__tu,Number of inquiries within last 9 months,TransUnion
au207s__tu,Number of auto charged-off trades,TransUnion
cv19__tu,Total balance of trades verified in past 3 months,TransUnion
std201__tu,Total Payment Ratio for Student Loan accounts over the past 1 month,TransUnion
g415s__tu,Number of deduped auto inquiries,TransUnion
mt20s__tu,Months since oldest mortgage trade opened,TransUnion
linkf165__tu,Number of distinct home phones within last 18 months,TransUnion
g099a__tu,Number of tradeline bankruptcies verified in past 24 months,TransUnion
au203s__tu,Number of auto trades that are 60 days or more past due in the past 12 months,TransUnion
aut225__tu,Average total Payment Ratio for Auto accounts over the past 24 months,TransUnion
