step,sec,prop
Get Data,4.4570001591637265e-06,7.207604273480055e-06
Parse Data,0.11530450899999778,0.18646381919264687
Create X,0.012046607999991465,0.019481081490014804
Preprocessing,0.38997663400004967,0.6306477795377776
Predictions,0.02390158799994424,0.03865227320155214
Adverse Action,0.07568093400004727,0.12238685300429776
Generate Output,0.00145997399999942,0.002360985969437349
