step,sec,prop,Type
Get Data,0.5448111000000004,0.1133762428419698,Single
Preprocessing,0.5403246999999993,0.1124426143313056,Single
Predictions,0.0368574000000005,0.0076700961726434,Single
Adverse Action,0.1856841000000013,0.0386412200733295,Single
Counter Offers,3.488526,0.725969002717686,Single
Generate Output,0.0091341000000007,0.0019008238630654,Single
Get Data,0.1732306000000001,0.0952684892437667,Codebtor
Preprocessing,0.5221423999999999,0.2871531797391137,Codebtor
Predictions,0.0294023000000009,0.0161698493296917,Codebtor
Adverse Action,0.1702791000000001,0.0936453063534288,Codebtor
Counter Offers,0.9142294,0.5027821514226428,Codebtor
Generate Output,0.0090571999999991,0.004981023911356,Codebtor
