bigAccountId,bigDealerId,dtmStampCreation,dtmFunded,intTerm,intOpenBKType,strTier,AmtFinanced,OriginalInterestRate,MaxFico
7851157,1737,28:39.3,00:00.0,60,13,A,17809,22.44,658
7865892,4729,37:22.9,00:00.0,72,NULL,B,32318.72,26,562
7895587,829,21:53.9,00:00.0,72,NULL,B,29139.86,25.74,544
7871539,6822,05:12.2,00:00.0,72,NULL,C,13459.13,26.48,474
7867815,577,58:45.1,00:00.0,72,NULL,B,22551.34,24,585
7853669,3366,25:19.4,00:00.0,72,NULL,C,24958.81,25,665
7894336,2909,14:19.0,00:00.0,60,13,A,13314.22,19.24,600
7888190,7708,25:01.1,00:00.0,72,NULL,C,23533,21,456
7878358,74,17:38.0,00:00.0,72,7,B,19214.98,25.24,553
7799981,1727,11:00.6,00:00.0,72,7,B,17049,28.8,566
7839234,7852,29:04.3,00:00.0,72,NULL,C,25224.76,27.66,611
7884687,1375,15:18.7,00:00.0,72,NULL,B,26051.1,25.24,684
7895175,6506,53:41.6,00:00.0,72,NULL,D,19400.5,28.24,659
7894431,6487,47:52.0,00:00.0,66,NULL,B,15769.5,24.99,524
7888274,5625,39:19.9,00:00.0,72,NULL,B,21944.19,23.7,573
7890150,5167,24:04.2,00:00.0,72,NULL,B,23357.37,19.6,593
7887465,1587,13:46.0,00:00.0,72,NULL,B,23670.94,24,622
7889586,6247,04:24.0,00:00.0,72,NULL,B,23873.75,25.24,475
7889812,6935,10:55.3,00:00.0,72,NULL,B,23817.18,24.71,538
7874061,5457,58:59.5,00:00.0,72,NULL,B,18351.19,23.76,591
7882905,4824,57:38.3,00:00.0,72,NULL,B,21377.59,25.24,595
7884845,5944,44:41.8,00:00.0,72,NULL,C,20381,25.74,NULL
7882059,6993,50:39.0,00:00.0,72,NULL,B,19135.59,26.48,505
7881979,6703,37:15.2,00:00.0,72,NULL,B,19570.52,25.24,574
7887540,2408,30:43.4,00:00.0,66,NULL,B,19661.72,27.17,461
7887040,4342,38:05.2,00:00.0,72,7,C,12900.25,26.74,537
7869917,7940,27:45.6,00:00.0,60,NULL,C,16306.18,21,524
7799007,6810,21:55.3,00:00.0,60,13,B,19939.76,24.9,536
7884165,4156,28:49.3,00:00.0,48,7,C,20453.6,24.74,552
7867282,4182,54:55.5,00:00.0,72,7,B,23946.5,25.24,516
7895261,8009,13:26.4,00:00.0,60,NULL,C,12422,24,516
7869462,4301,36:07.8,00:00.0,72,13,A1,20409.62,19.99,631
7882748,5620,19:14.4,00:00.0,72,NULL,A,17981.01,21.24,592
7849635,4567,54:22.9,00:00.0,72,NULL,B,23167.25,28.78,570
7866474,1881,03:14.6,00:00.0,72,NULL,C,18798.75,25,541
7893634,7301,49:03.1,00:00.0,66,NULL,A,19327.5,21.24,NULL
7844065,4528,57:24.3,00:00.0,60,NULL,B,16302.66,25,567
7860786,2087,19:40.2,00:00.0,72,NULL,B,22590.8,25.98,587
7879965,5454,37:31.1,00:00.0,72,NULL,C,21100.16,26.74,687
7883006,3391,19:05.5,00:00.0,72,NULL,D,16141.24,29.24,650
7872900,5501,53:53.5,00:00.0,72,7,C,32193.34,25.1,715
7860312,1587,19:39.0,00:00.0,72,NULL,B,25007.34,24,502
7805388,2408,35:13.0,00:00.0,66,NULL,C,24423.23,27.56,500
7889194,7925,46:30.6,00:00.0,72,NULL,B,19825.7,28.14,NULL
7888707,2492,58:21.7,00:00.0,72,NULL,B,19198.24,24,552
7887587,7850,37:59.5,00:00.0,72,NULL,B,25374,25.31,513
7888733,3009,03:29.2,00:00.0,72,NULL,C,19453.75,26.74,600
7855564,6262,27:29.7,00:00.0,72,NULL,D,28346.09,29.4,472
7872244,6734,11:34.8,00:00.0,66,NULL,B,22687.61,25,NULL
7885007,3005,18:39.3,00:00.0,72,NULL,B,15640.72,23.24,457
7891292,2899,12:34.1,00:00.0,72,NULL,C,17763.6,25.74,537
7886480,5486,17:01.3,00:00.0,72,NULL,A,15647.74,19.24,636
7870459,5382,53:39.8,00:00.0,72,NULL,D,15298.52,29.24,559
7868819,5273,19:52.0,00:00.0,72,NULL,B,17361.95,25,485
7891425,7207,10:14.0,00:00.0,72,NULL,B,24572.8,27.92,511
7886340,1520,40:58.5,00:00.0,66,NULL,B,10777.97,26.84,515
7894529,6734,20:19.3,00:00.0,72,NULL,C,20993.58,25,NULL
7890772,6706,22:17.1,00:00.0,72,13,A1,15638.47,16.74,659
7826347,7958,05:04.2,00:00.0,72,NULL,B,21972.54,25.6,419
7871429,2209,47:04.8,00:00.0,72,NULL,B,23845,23.24,NULL
7892504,6495,35:51.6,00:00.0,72,NULL,C,18978.86,26.74,NULL
7892355,1727,00:53.1,00:00.0,66,7,B,15222,25.95,543
7894470,6642,58:57.6,00:00.0,72,NULL,B,30110,24,595
7872104,1419,44:46.1,00:00.0,66,NULL,B,14814.94,28.73,498
7884392,5284,14:37.7,00:00.0,60,NULL,C,15665.16,26.74,700
7885671,6816,25:19.0,00:00.0,66,NULL,B,15599.08,25,662
7877449,5187,30:04.9,00:00.0,72,NULL,B,19560.66,24.99,512
7882636,8276,53:55.4,00:00.0,72,NULL,B,25394,23.94,445
7883434,6988,59:37.4,00:00.0,72,NULL,B,17694.16,26.66,562
7895029,3260,24:31.7,00:00.0,48,NULL,B,15440.44,24.1,526
7885387,6272,31:21.6,00:00.0,72,NULL,C,17924,26.74,658
7881571,3422,03:57.2,00:00.0,72,NULL,B,21746.12,23.25,NULL
7879121,2997,00:00.8,00:00.0,72,NULL,C,22605.93,25,528
7891078,8504,57:34.3,00:00.0,72,NULL,B,18995.98,28.34,520
7875105,5210,43:07.0,00:00.0,72,NULL,B,31757.04,25,554
7872028,3260,28:51.3,00:00.0,60,NULL,C,16411.43,24.05,580
7892131,3171,06:06.5,00:00.0,72,NULL,C,27361.27,26,482
7840895,5620,37:59.4,00:00.0,72,NULL,B,23044.78,27.71,450
7882729,2260,14:09.0,00:00.0,60,NULL,B,15745.4,24.1,545
7884977,7580,12:00.3,00:00.0,72,NULL,B,28629.29,23.78,607
7872752,5356,08:59.1,00:00.0,72,NULL,B,16084.35,25.24,514
7813903,842,43:25.8,00:00.0,66,7,B,17357,24.1,554
7886216,5366,10:42.4,00:00.0,72,NULL,D,21706,25,566
7891216,6642,44:18.2,00:00.0,72,NULL,A,19252.94,21.26,NULL
7888788,5619,11:47.8,00:00.0,72,NULL,B,20616.86,26,636
7887059,4156,44:01.4,00:00.0,72,NULL,D,21809.29,28.24,562
7881138,7302,54:18.5,00:00.0,72,7,B,26112.7,24.24,633
7866305,6605,20:05.7,00:00.0,72,7,B,24370,23,542
7887200,6523,17:36.6,00:00.0,66,NULL,B,20062.58,25,643
7865536,6810,20:01.0,00:00.0,60,NULL,C,16058.15,25,643
7831979,6462,18:06.2,00:00.0,72,NULL,B,23327,21,532
7892300,1520,46:56.7,00:00.0,72,NULL,B,29213.8,25.24,598
7762428,4921,31:37.3,00:00.0,72,13,A,22509.85,18,548
7871737,3171,38:32.6,00:00.0,72,NULL,B,19496.02,25.25,726
7885064,5702,28:11.8,00:00.0,72,NULL,C,28342.43,25.74,404
7877221,2034,37:37.0,00:00.0,72,NULL,B,32173.18,24.37,569
7884999,6703,17:02.1,00:00.0,72,7,B,22993.49,25.24,537
7864758,752,39:57.4,00:00.0,72,7,D,26783.19,29.24,579
7868293,791,36:00.3,00:00.0,72,13,C,21479.56,25,583
7837705,3475,27:08.5,00:00.0,66,NULL,B,26722.84,24.23,552
7832279,7958,37:47.4,00:00.0,66,NULL,B,16410,25.24,552
7849586,5501,41:30.0,00:00.0,72,7,D,30132.42,29.42,596
7871455,5457,51:02.4,00:00.0,72,NULL,B,16568.57,25.68,NULL
7861820,6816,53:53.2,00:00.0,70,13,C,21053.43,25,567
7887138,5273,04:16.4,00:00.0,72,NULL,D,18631.78,25,522
7873698,4395,27:28.7,00:00.0,72,7,B,23477,23,625
7872758,8528,09:30.6,00:00.0,72,NULL,D,22973.56,28.24,547
7867733,6189,42:10.3,00:00.0,72,7,B,27385.29,26.06,538
7827789,3353,17:48.2,00:00.0,66,13,A,20759.77,21.77,499
7888422,829,09:11.3,00:00.0,72,NULL,B,20941.86,23.24,582
7865792,6641,15:03.4,00:00.0,66,NULL,D,19700.86,25,586
7884810,2687,38:12.7,00:00.0,72,NULL,B,25661,22.99,557
7884535,6642,43:50.3,00:00.0,72,NULL,A,21280.94,21.38,633
7829934,5366,33:25.9,00:00.0,66,NULL,D,20628.18,25,651
7875646,2066,38:00.6,00:00.0,72,NULL,B,20219.79,28.6,471
7877732,4854,31:07.7,00:00.0,72,NULL,B,22177.97,24.53,NULL
7848152,3171,51:01.4,00:00.0,60,NULL,D,16020.16,29.24,547
7870176,2215,54:02.9,00:00.0,72,NULL,B,23029.19,26.52,645
7868238,6458,25:36.5,00:00.0,66,7,B,22311.22,25,581
7867849,6211,05:24.0,00:00.0,72,NULL,A,24495.88,22.71,603
7865496,7850,11:55.7,00:00.0,72,NULL,D,19268.03,29.24,513
7840216,607,23:45.5,00:00.0,72,NULL,B,9296.26,25.24,562
7841544,5171,09:13.3,00:00.0,72,13,A,26306.94,21.56,604
7882393,6482,59:19.9,00:00.0,72,NULL,D,26260.71,27,523
7884210,2136,37:48.3,00:00.0,72,NULL,C,33478,25.25,515
7871309,5966,24:20.8,00:00.0,72,NULL,C,18399.99,26.74,604
7889810,5375,06:52.5,00:00.0,72,NULL,D,19372.44,29.24,474
7888980,5150,49:05.4,00:00.0,72,NULL,B,19514.84,23.24,500
7877742,6810,35:41.4,00:00.0,60,NULL,C,21762.41,25,534
7816289,3422,32:37.1,00:00.0,66,13,B,16776.55,23.24,491
7889686,5620,07:14.6,00:00.0,72,NULL,C,29667.81,26.74,417
7861211,6816,10:00.8,00:00.0,66,NULL,D,22150.43,25,522
7827471,5171,05:16.0,00:00.0,72,7,D,30369.44,25,526
7820175,6468,39:26.4,00:00.0,72,13,A,33896.28,16.78,586
