step,sec,prop
Get Data,4.535000016403501e-06,8.658797199977078e-06
Parse Data,0.02306919900001958,0.04404664056991499
Create X,0.01398498800017478,0.026701912789332215
Preprocessing,0.38666742299983525,0.7382744845607586
Predictions,0.023411349000070913,0.04469991674449065
Adverse Action,0.07505578900008913,0.14330603159544028
Generate Output,0.0015515180000420514,0.0029623549428633208
