Data Set,Observations,Minimum Date,Maximum Date,Bad Rate
train,53520,2021-07-26,2023-05-10,0.10857623318385651
test,17840,2023-05-10,2023-12-13,0.07365470852017937
holdout,17840,2023-12-13,2024-08-26,0.07230941704035874
