feature,score,target,diff
ENG-loan_to_value_binned,0.6412898093833623,0.6482345514049178,-0.006944742021555483
rp01s__tu_binned,0.6452428237269008,0.6482345514049178,-0.002991727678017031
miles_odometer__app_binned,0.6452557522459834,0.6482345514049178,-0.0029787991589343976
linkt001__tu_binned,0.6454082363875361,0.6482345514049178,-0.002826315017381731
in21s__tu_binned,0.6461965221760897,0.6482345514049178,-0.00203802922882812
balmag01__tu_binned,0.6463775656776811,0.6482345514049178,-0.001856985727236693
br109s__tu_binned,0.6464595682783444,0.6482345514049178,-0.0017749831265734262
rtl_trd__tu_binned,0.6465315497687263,0.6482345514049178,-0.0017030016361915257
rev326__tu_binned,0.646785157850985,0.6482345514049178,-0.0014493935539328096
co01s__tu_binned,0.6468574811529135,0.6482345514049178,-0.0013770702520042866
g232s__tu_binned,0.6469710590978491,0.6482345514049178,-0.001263492307068681
au20s__tu_binned,0.6470584824275086,0.6482345514049178,-0.0011760689774091837
g407s__tu_binned,0.647372953071607,0.6482345514049178,-0.0008615983333107868
g002s__tu_binned,0.6474151044672598,0.6482345514049178,-0.0008194469376580082
fltgrossmonthly__income_sum_binned,0.6474559127446003,0.6482345514049178,-0.0007786386603174655
int_n_months_open__tu_pmthx_binned,0.6475125649924496,0.6482345514049178,-0.000721986412468234
cv15__tu_binned,0.6475266637134148,0.6482345514049178,-0.0007078876915029841
linkf098__tu_binned,0.6475494967247215,0.6482345514049178,-0.0006850546801963064
jt20s__tu_binned,0.6477734757778666,0.6482345514049178,-0.00046107562705122174
fi36s__tu_binned,0.6477836657832649,0.6482345514049178,-0.0004508856216529633
linka006__tu_binned,0.6478320341277517,0.6482345514049178,-0.0004025172771661145
linkt003__tu_binned,0.6478911474187358,0.6482345514049178,-0.0003434039861820448
trv13__tu_binned,0.6480348932486348,0.6482345514049178,-0.000199658156282978
in30s__tu_binned,0.6480725407744983,0.6482345514049178,-0.00016201063041954011
st20s__tu_binned,0.6481416269200158,0.6482345514049178,-9.292448490205718e-05
flt_wtd_avg_closed__tu_pmthx_binned,0.648151776712291,0.6482345514049178,-8.277469262685244e-05
fi25s__tu_binned,0.6481580982152451,0.6482345514049178,-7.645318967275383e-05
linka003__tu_binned,0.6481808668855547,0.6482345514049178,-5.3684519363161876e-05
per235__tu_binned,0.6481845182371339,0.6482345514049178,-5.003316778395828e-05
trv10__tu_binned,0.6481921748157756,0.6482345514049178,-4.237658914219011e-05
s068b__tu_binned,0.6481964937051985,0.6482345514049178,-3.805769971931827e-05
aut252__tu_binned,0.6482198977428535,0.6482345514049178,-1.4653662064323392e-05
flt_wtd_avg_open__tu_pmthx_binned,0.648221852100637,0.6482345514049178,-1.2699304280827661e-05
