Data Set,Observations,Minimum Date,Maximum Date,Bad Rate
train,25018,2021-07-26,2022-06-30,0.2734031497321928
test,8340,2022-06-30,2022-09-22,0.2764988009592326
holdout,8340,2022-09-22,2022-11-30,0.23657074340527579
