iter	Logloss
0	0.6558094226
1	0.629676587
2	0.6129882484
3	0.6006392641
4	0.5923165464
5	0.5851724948
6	0.5797041271
7	0.5751508994
8	0.5718635363
9	0.5693195155
10	0.5668467575
11	0.564837067
12	0.5629322361
13	0.561383814
14	0.5599223947
15	0.5585064804
16	0.5573341091
17	0.5563421936
18	0.555559378
19	0.5547137534
20	0.5541253045
21	0.553341902
22	0.5526955902
23	0.5517113397
24	0.5508349404
25	0.5499936387
26	0.5491342345
27	0.5485545561
28	0.5479136017
29	0.5472062628
30	0.5466997391
31	0.5460230208
32	0.5453039823
33	0.5445799308
34	0.5439325547
35	0.5434658488
36	0.5428724701
37	0.5424755561
38	0.5416208395
39	0.5411157225
40	0.5407926594
41	0.5404081685
42	0.5399868051
43	0.5395015277
44	0.5389615948
45	0.5386729326
46	0.5383069072
47	0.5378672646
48	0.537155658
49	0.5368311533
50	0.5365168568
51	0.5360445585
52	0.5355484318
53	0.5349949096
54	0.5345313927
55	0.5340233937
56	0.5335157929
57	0.5330077956
58	0.532758666
59	0.5323534979
60	0.5319346461
61	0.5314737097
62	0.5306827794
63	0.5301744031
64	0.5297770977
65	0.5292820688
66	0.528724159
67	0.5284077709
68	0.5277441581
69	0.5271612073
70	0.5267060357
71	0.5261227344
72	0.5256350465
73	0.5250848847
74	0.5245043983
75	0.5239840756
76	0.5235877852
77	0.5231083959
78	0.5224569312
79	0.5217717416
80	0.5212600109
81	0.5208414081
82	0.5201303503
83	0.5195347688
84	0.5187725779
85	0.5182092189
86	0.5177876253
87	0.5170576409
88	0.5165172527
89	0.5158166202
90	0.5152782469
91	0.5146196303
92	0.5141262064
93	0.5134023283
94	0.5129060243
95	0.5123859567
96	0.5118329169
97	0.5111938035
98	0.5108664486
99	0.5103091034
100	0.5096686087
101	0.5091973404
102	0.5084752799
103	0.507901483
104	0.5072994837
105	0.5068448016
106	0.5063243653
107	0.5057637593
108	0.5052525155
109	0.5047018254
110	0.5042031978
111	0.5038312281
112	0.503422942
113	0.5030008911
114	0.5025523887
115	0.5019756853
116	0.501398512
117	0.5009227671
118	0.5004211018
119	0.4999127536
120	0.4995250129
121	0.4991453909
122	0.4987146918
123	0.4980399035
124	0.4976959114
125	0.4972243059
126	0.4969242236
127	0.495993178
128	0.4955189001
129	0.4951541876
130	0.4947971739
131	0.4944141561
