bigAccountId,bigDealerId,week_of_month,application_date,dtmFunded,dtmNonAccrual,intterm,open_bk_type,first_pmt_date,paymentsmade,Tier,DebtorState,AmtFinanced,OriginalInterestRate,fltAPRCurrent,MaxFico,intBeaconScore,mnyReserve,mnyDiscount,Early_Pay_Delinquency_15_120,Early_Pay_Delinquency_30_120,Early_Pay_Default_15_120,Early_Pay_Default_30_120,LoanStatus,ChargeOff_Severity,GEN11_ExpectedNetLoss,GEN11_ECNL,GEN12_ExpectedNetLoss,GEN12_ECNL,GEN12_ECNL_mod,DL_ExpectedNetLoss,DL_ECNL,origination_model
8031722,3391,2,27-07-2024,13-08-2024,NULL,72,NULL,12/9/2024,NULL,B,GA,32656.93,0.2708,0.2708,639,639,2102.18,928,0,0,0,0,A,NULL,4241.514725,0.129881,14123.04455,0.432467,0.183249,NULL,NULL,gen11
8035939,5334,2,29-07-2024,13-08-2024,NULL,72,NULL,7/9/2024,NULL,B,TN,26168.59,0.2385,0.2385,577,577,1666.22,928,0,0,0,0,A,NULL,2268.50273,0.086688,2797.683957,0.10691,0.073976,NULL,NULL,gen11
8036235,5286,2,29-07-2024,13-08-2024,NULL,72,NULL,12/9/2024,NULL,B,CA,17492.26,0.2476,0.2476,NULL,NULL,0,1228,0,0,0,0,A,NULL,2279.223986,0.130299,2380.521663,0.13609,0.094168,NULL,NULL,gen12
8036222,2755,2,29-07-2024,13-08-2024,NULL,72,NULL,12/9/2024,NULL,C,AZ,19278.07,0.2674,0.2674,502,502,621.43,1921,0,0,0,0,A,NULL,3215.177237,0.166779,7948.714544,0.412319,0.174712,NULL,NULL,gen11
8037601,7275,2,30-07-2024,13-08-2024,NULL,72,7,8/9/2024,NULL,C,MI,24211.64,0.25,0.25,556,556,0,1576,0,0,0,0,A,NULL,3440.788795,0.142113,1818.100471,0.075092,0.048393,NULL,NULL,gen11
8034344,7451,2,29-07-2024,14-08-2024,NULL,60,NULL,7/9/2024,NULL,B,PA,15830.8,0.21,0.21,537,537,314.58,734,0,0,0,0,A,NULL,1154.144474,0.072905,6945.36773,0.438725,0.1859,NULL,NULL,gen11
8034432,2836,2,29-07-2024,14-08-2024,NULL,72,NULL,23-09-2024,NULL,B,OH,15797.16,0.222,0.222,500,496,854.28,1528,0,0,0,0,A,NULL,1236.807048,0.078293,6637.682283,0.420182,0.178043,NULL,NULL,gen11
8033484,7163,2,28-07-2024,14-08-2024,NULL,72,NULL,28-09-2024,NULL,B,CA,27132.48,0.2279,0.2279,544,530,1659.17,928,0,0,0,0,A,NULL,2337.408887,0.086148,2872.97691,0.105887,0.073269,NULL,NULL,gen11
8049475,4793,2,4/8/2024,14-08-2024,NULL,72,7,20-09-2024,NULL,C,OH,27959,0.25,0.25,515,503,882.5,2933,0,0,0,0,A,NULL,3072.302674,0.109886,7799.694271,0.278969,0.118207,NULL,NULL,gen12
8049800,2222,2,5/8/2024,14-08-2024,NULL,72,7,12/9/2024,NULL,A1,OH,36259.6,0.1512,0.1512,548,521,0,616,0,0,0,0,A,NULL,6511.535228,0.179581,1114.221248,0.030729,0.013021,NULL,NULL,gen12
8048907,2928,2,3/8/2024,14-08-2024,NULL,72,NULL,17-09-2024,NULL,B,AL,20904.44,0.2205,0.2205,428,428,1268.57,928,0,0,0,0,A,NULL,2356.348477,0.11272,2999.599,0.143491,0.060801,NULL,NULL,gen11
8048331,515,2,3/8/2024,14-08-2024,NULL,72,NULL,4/9/2024,NULL,D,MD,24567.34,0.24,0.24,591,591,0,3236,0,0,0,0,A,NULL,4607.334376,0.187539,8153.236828,0.331873,0.140624,NULL,NULL,gen11
8048634,4270,2,3/8/2024,14-08-2024,NULL,72,NULL,19-09-2024,NULL,C,AL,16210.34,0.269,0.269,441,441,522.65,1467.96,0,0,0,0,A,NULL,3750.343211,0.231355,4939.809329,0.304732,0.129124,NULL,NULL,gen11
8047468,791,2,3/8/2024,14-08-2024,NULL,72,NULL,2/9/2024,NULL,B,IL,30208.32,0.2699,0.2699,611,611,1004.47,928,0,0,0,0,A,NULL,5633.066264,0.186474,7822.504881,0.258952,0.109726,NULL,NULL,gen11
8046677,3284,2,3/8/2024,14-08-2024,NULL,72,13,20-09-2024,NULL,A,IN,22127.36,0.1913,0.1913,562,562,1274.11,778,0,0,0,0,A,NULL,895.6712781,0.040478,1771.494314,0.080059,0.033923,NULL,NULL,gen11
8042534,2597,2,1/8/2024,14-08-2024,NULL,72,NULL,15-09-2024,NULL,B,AZ,35000.6,0.2576,0.2576,624,557,2220.12,928,0,0,0,0,A,NULL,10087.66293,0.288214,7681.44168,0.219466,0.092994,NULL,NULL,gen11
8043693,4197,2,1/8/2024,14-08-2024,NULL,72,NULL,31-08-2024,NULL,B,WA,18975.82,0.2432,0.2432,503,503,1215.65,1178,0,0,0,0,A,NULL,3151.788823,0.166095,4096.101529,0.215859,0.091466,NULL,NULL,gen11
8043983,7802,2,2/8/2024,14-08-2024,NULL,72,NULL,1/9/2024,NULL,B,FL,21034.36,0.2143,0.2143,615,615,0,928,0,0,0,0,A,NULL,3069.985876,0.145951,3610.610997,0.171653,0.072734,NULL,NULL,gen11
8045101,7826,2,2/8/2024,14-08-2024,NULL,72,NULL,26-09-2024,NULL,C,MI,19188.43,0.25,0.25,496,496,0,1516,0,0,0,0,A,NULL,3843.097137,0.200282,5374.007648,0.280065,0.118672,NULL,NULL,gen11
8021393,1727,2,23-07-2024,14-08-2024,NULL,72,7,23-09-2024,NULL,B,IL,18913,0.2524,0.2524,550,550,1192.97,821,0,0,0,0,A,NULL,2007.671689,0.106153,8070.214926,0.426702,0.180806,NULL,NULL,gen11
8018905,2222,2,22-07-2024,14-08-2024,NULL,72,7,6/9/2024,NULL,B,TX,24112.44,0.25,0.25,543,543,506.52,928,0,0,0,0,A,NULL,3973.103189,0.164774,2677.228326,0.111031,0.076828,NULL,NULL,gen12
8016205,1938,2,20-07-2024,14-08-2024,NULL,72,7,3/9/2024,NULL,B,AZ,29900.1,0.2557,0.2557,548,548,1892.52,928,0,0,0,0,A,NULL,2989.441898,0.099981,3109.789801,0.104006,0.071967,NULL,NULL,gen12
7997531,1975,2,13-07-2024,14-08-2024,NULL,60,13,9/9/2024,NULL,B,WI,21289.12,0.258,0.258,522,522,27.3,1178,0,0,0,0,A,NULL,2816.955069,0.132319,3869.872366,0.181777,0.117146,NULL,NULL,gen11
7945110,2928,2,19-06-2024,14-08-2024,NULL,72,13,6/8/2024,1,B,AL,32742.05,0.2656,0.2656,582,562,1555.34,928,0,0,0,0,A,NULL,1414.947691,0.043215,3894.044749,0.118931,0.082294,NULL,NULL,gen12
