GEN12_Theo_Rev,Actual_Rev,Rev_Diff,bigAccountId,bigDealerId,week_of_month,application_date,dtmFunded,dtmNonAccrual,intterm,open_bk_type,first_pmt_date,paymentsmade,Tier,DebtorState,AmtFinanced,OriginalInterestRate,fltAPRCurrent,MaxFico,intBeaconScore,mnyReserve,mnyDiscount,Early_Pay_Delinquency_15_120,Early_Pay_Delinquency_30_120,Early_Pay_Default_15_120,Early_Pay_Default_30_120,LoanStatus,ChargeOff_Severity,GEN11_ExpectedNetLoss,GEN11_ECNL,GEN12_ExpectedNetLoss,GEN12_ECNL,GEN12_ECNL_mod,DL_ExpectedNetLoss,DL_ECNL,origination_model
20.350985124264707,25.027131702747074,4.676146578482367,8030565,2899,4,27-07-2024,29-07-2024,,72,,10/9/2024,,B,VA,32170.7,0.2655,0.2655,398.0,398.0,2054.81,928,0,0,0,0,A,,5754.051402,0.17886,3652.982985,0.11355,0.078571,,,gen12
20.408935168774516,22.67129651513306,2.2623613463585457,8029837,7389,4,26-07-2024,29-07-2024,,72,,9/9/2024,,B,IL,27689.96,0.2255,0.2255,512.0,512.0,850.75,928,0,0,0,0,A,,2604.129978,0.094046,3178.530508,0.11479,0.079429,,,gen11
20.416506061686274,25.842930851694863,5.426424790008589,8022415,5479,4,24-07-2024,29-07-2024,,72,13.0,7/9/2024,,B,MO,23089.0,0.247,0.247,565.0,565.0,321.05,928,0,0,0,0,A,,3347.604843,0.144987,2654.126728,0.114952,0.079541,,,gen12
20.45557560782353,24.750287094702053,4.294711486878523,8013416,8328,4,19-07-2024,29-07-2024,,72,,2/9/2024,,B,AZ,18004.83,0.2474,0.2474,564.0,564.0,848.74,853,0,0,0,0,A,,1910.474506,0.106109,2084.743256,0.115788,0.080119,,,gen11
20.589000911916667,22.97933264908974,2.3903317371730743,7998378,8256,4,13-07-2024,29-07-2024,,72,,8/9/2024,,B,NV,22288.02,0.2224,0.2224,539.0,539.0,0.0,379,0,0,0,0,A,,1734.52058,0.077823,2644.317557,0.118643,0.082095,,,gen11
20.62858453102941,25.826336557506295,5.197752026476884,8026211,2408,4,25-07-2024,29-07-2024,,72,,8/9/2024,,B,MD,21253.4,0.2566,0.2566,441.0,441.0,1346.69,1428,0,0,0,0,A,,2335.047298,0.109867,2539.568766,0.11949,0.082681,,,gen11
20.72163173959314,22.819136708860487,2.097504969267348,7988311,3871,4,9/7/2024,29-07-2024,,72,,24-08-2024,,B,NV,20179.65,0.2524,0.2524,,,1272.6,149,0,0,0,0,A,,1494.040747,0.074037,2451.444062,0.121481,0.084058,,,gen11
21.158079695784316,27.623060288552242,6.464980592767926,8026137,1372,4,25-07-2024,29-07-2024,,72,,8/9/2024,,B,IL,21415.97,0.2513,0.2513,483.0,483.0,0.0,1228,0,0,0,0,A,,2923.601145,0.136515,2801.637195,0.13082,0.090521,,,gen11
21.669862709838235,26.60076001370111,4.930897303862874,8019645,8007,4,22-07-2024,29-07-2024,,72,,5/9/2024,,B,WA,23882.55,0.2773,0.2773,537.0,537.0,1548.29,928,0,0,0,0,A,,2815.657115,0.117896,3385.852996,0.141771,0.098099,,,gen12
21.79571712101961,25.0158476451894,3.2201305241697895,7995162,6086,4,12/7/2024,29-07-2024,,72,7.0,26-08-2024,,B,OH,25597.0,0.25,0.25,577.0,577.0,1218.67,1228,0,0,0,0,A,,2705.321333,0.105689,3697.845008,0.144464,0.099962,,,gen11
22.501492582460784,24.208150114065134,1.7066575316043497,8028843,6845,4,26-07-2024,29-07-2024,,60,,9/9/2024,,B,CA,17923.97,0.2412,0.2412,621.0,621.0,891.66,928,0,0,0,0,A,,1728.265035,0.096422,2860.056197,0.159566,0.102832,,,gen11
22.961260758176476,27.242880516913708,4.281619758737232,8014802,3260,4,20-07-2024,29-07-2024,,66,,3/9/2024,,B,TX,23974.13,0.241,0.241,594.0,533.0,0.0,1733,0,0,0,0,A,,3034.237815,0.126563,4061.313519,0.169404,0.109172,,,gen11
