feature,bin,min,max,count,target,bin_label
fltgrossmonthly__income_sum_binned,-0.08639988816342993,0.0,4679.0,2189,0.12928277752398357,1
fltgrossmonthly__income_sum_binned,-0.06557439619100172,4680.0,5199.0,575,0.12695652173913044,2
fltgrossmonthly__income_sum_binned,0.05722330886592364,5200.0,6593.0,1132,0.11395759717314488,3
fltgrossmonthly__income_sum_binned,0.16244801580410573,6594.0,8286.099999999991,1118,0.1037567084078712,4
ENG-loan_to_value_binned,0.22858918699890332,0.3243749164326782,1.0443388429752065,358,0.09776536312849161,1
ENG-loan_to_value_binned,-0.01600890390067524,1.0451523893139345,2.1908,4656,0.12156357388316151,2
ENG-payment_to_income_binned,0.36949464007614075,0.015980113636363636,0.06444168293981892,279,0.08602150537634409,1
ENG-payment_to_income_binned,0.16141728711657527,0.064472190692395,0.10612315101479187,597,0.10385259631490787,2
ENG-payment_to_income_binned,0.05104090895760644,0.10627888013047024,0.17798302546180728,480,0.11458333333333333,3
ENG-payment_to_income_binned,-0.05466067082358084,0.17829656233966137,402.0,3658,0.12575177692728268,4
dti__app_binned,0.4994903778683556,0.1042345448478924,0.30174375666273445,655,0.07633587786259542,1
dti__app_binned,-0.012479056787286096,0.30182277567226135,0.3375326294700852,1213,0.12118713932399011,2
dti__app_binned,-0.02342248395879891,0.3376088197516769,0.3969093046531209,1561,0.12235746316463805,3
dti__app_binned,-0.1309824321579341,0.39701487871968,0.8617955842470425,1585,0.13438485804416403,4
flt_avg_open__tu_pmthx_binned,-0.12639339972758296,0.0,0.8421052631578947,3728,0.1338519313304721,1
flt_avg_open__tu_pmthx_binned,0.36713892638368173,0.84375,0.95,348,0.08620689655172414,2
flt_avg_open__tu_pmthx_binned,0.4935037148120401,0.9512195121951219,1.0,938,0.0767590618336887,3
flt_avg_closed__tu_pmthx_binned,-0.17864096261098594,0.0,0.7,3078,0.14002599090318388,1
flt_avg_closed__tu_pmthx_binned,0.20350950260187975,0.7021276595744681,0.95,620,0.1,2
flt_avg_closed__tu_pmthx_binned,0.420875076636201,0.9512195121951219,1.0,1316,0.08206686930091185,3
flt_wtd_avg_open__tu_pmthx_binned,-0.12100118222484454,0.0,0.9323467230443975,3798,0.1332280147446024,1
flt_wtd_avg_open__tu_pmthx_binned,0.40418019806403094,0.932806324110672,0.9778012684989429,252,0.08333333333333333,2
flt_wtd_avg_open__tu_pmthx_binned,0.49344129478767607,0.9779326364692218,1.0,964,0.07676348547717843,3
flt_wtd_avg_closed__tu_pmthx_binned,-0.18317366007954675,0.0,0.6599682707562137,2689,0.14057270360728896,1
flt_wtd_avg_closed__tu_pmthx_binned,-0.10556375983121885,0.6609756097560976,0.9064327485380117,639,0.13145539906103287,2
flt_wtd_avg_closed__tu_pmthx_binned,0.4158838427080348,0.9070718877849211,1.0,1686,0.08244365361803084,3
