feature,from_nan,from_df,from_name,sum
au900b__tu,1,1,0,2
au900c__tu,1,1,0,2
bc900b__tu,1,1,0,2
bc999s__tu,1,1,0,2
rl900c__tu,1,1,0,2
au999b__tu,1,1,0,2
au921c__tu,1,1,0,2
rl933b__tu,1,1,0,2
iscrhit__tu,1,1,0,2
bankcard_reason3__ln,1,1,0,2
dtmdeclined__tu,1,0,1,2
bankcard_reason4__ln,1,1,0,2
short_term_lending_reason1__ln,1,1,0,2
short_term_lending_reason2__ln,1,1,0,2
short_term_lending_reason3__ln,1,1,0,2
short_term_lending_reason4__ln,1,1,0,2
auto_reason3__ln,1,1,0,2
telecommunications_reason2__ln,1,1,0,2
telecommunications_reason3__ln,1,1,0,2
telecommunications_reason4__ln,1,1,0,2
crossindustry_index__ln,1,1,0,2
crossindustry_reason1__ln,1,1,0,2
crossindustry_reason2__ln,1,1,0,2
crossindustry_reason3__ln,1,1,0,2
crossindustry_reason4__ln,1,1,0,2
telecommunications_reason1__ln,1,1,0,2
defaultdate__app,1,0,1,2
chargeoffamount__app,1,0,1,2
defaultamount__app,1,0,1,2
telecommunications_reason5__ln,1,1,0,2
chargeoffdate__app,1,0,1,2
dtmdeclined__app,1,0,1,2
finscore__tu,1,0,1,2
crossindustry_reason5__ln,1,1,0,2
us935s__tu,1,1,0,2
bkc252__tu,1,1,0,2
nomttrd__tu,1,1,0,2
insttrd__tu,1,1,0,2
bctrd__tu,1,1,0,2
bkc205__tu,1,1,0,2
tuseqeuncenumber__tu,1,1,0,2
bkc255__tu,1,1,0,2
bkc254__tu,1,1,0,2
bkc253__tu,1,1,0,2
score_epd__tu,1,0,1,2
rtltrd__tu,1,1,0,2
score_newaccount__tu,1,0,1,2
bigmileage_odometer__app,1,1,0,2
au934d__tu,1,1,0,2
us935d__tu,1,1,0,2
au934s__tu,1,1,0,2
bkc235__tu,1,1,0,2
bc935c__tu,1,1,0,2
bc935b__tu,1,1,0,2
revtrd__tu,1,1,0,2
bankcard_reason5__ln,1,1,0,2
rte_rem_cde__base,1,1,0,2
bkc203__tu,1,1,0,2
rt999s__tu,1,1,0,2
affil_rem_cde__base,1,1,0,2
vehiclepricewholesale__app,1,1,0,2
bkc231__tu,1,1,0,2
bc920s__tu,1,1,0,2
bkc225__tu,1,1,0,2
DPD60PLUS__tucvlink,1,1,0,2
alert10__ln,1,1,0,2
alert9__ln,1,1,0,2
bkc201__tu,1,1,0,2
alert8__ln,1,1,0,2
alert7__ln,1,1,0,2
score_cvpropensity__tu,1,0,1,2
alert6__ln,1,1,0,2
bkc223__tu,1,1,0,2
alert5__ln,1,1,0,2
alert2__ln,1,1,0,2
bkc202__tu,1,1,0,2
bc934s__tu,1,1,0,2
bkc234__tu,1,1,0,2
bc934d__tu,1,1,0,2
au934c__tu,1,1,0,2
at920s__tu,1,1,0,2
at922b__tu,1,1,0,2
alert4__ln,1,1,0,2
bc922b__tu,1,1,0,2
at922c__tu,1,1,0,2
at922d__tu,1,1,0,2
at922e__tu,1,1,0,2
at920b__tu,1,1,0,2
au920s__tu,1,1,0,2
bkc233__tu,1,1,0,2
au935d__tu,1,1,0,2
au935b__tu,1,1,0,2
au935c__tu,1,1,0,2
au935s__tu,1,1,0,2
fltpriceselling__app,1,1,0,2
bc920b__tu,1,1,0,2
bc920c__tu,1,1,0,2
vehiclemodel__app,1,1,0,2
at920f__tu,1,1,0,2
at920e__tu,1,1,0,2
at920d__tu,1,1,0,2
fltstatesalestax__app,1,1,0,2
bc934c__tu,1,1,0,2
bc934b__tu,1,1,0,2
bc922s__tu,1,1,0,2
bkc232__tu,1,1,0,2
bc922d__tu,1,1,0,2
bkc204__tu,1,1,0,2
rt999b__tu,1,1,0,2
bc922c__tu,1,1,0,2
bkc222__tu,1,1,0,2
us921b__tu,1,1,0,2
us921c__tu,1,1,0,2
us933s__tu,1,1,0,2
us933b__tu,1,1,0,2
us933c__tu,1,1,0,2
us999s__tu,1,1,0,2
au934b__tu,1,1,0,2
us999b__tu,1,1,0,2
cmplnc_rem_cde__base,1,1,0,2
bkc224__tu,1,1,0,2
acct_rte_prfl_cde__base,1,1,0,2
rt934b__tu,1,1,0,2
rt934d__tu,1,1,0,2
rt934s__tu,1,1,0,2
rt935b__tu,1,1,0,2
rt922b__tu,1,1,0,2
he934d__tu,1,1,0,2
bc935d__tu,1,1,0,2
at934d__tu,1,1,0,2
at934e__tu,1,1,0,2
at934f__tu,1,1,0,2
at934s__tu,1,1,0,2
at935b__tu,1,1,0,2
at935c__tu,1,1,0,2
at935d__tu,1,1,0,2
at935e__tu,1,1,0,2
at935f__tu,1,1,0,2
at935s__tu,1,1,0,2
at999c__tu,1,1,0,2
au920b__tu,1,1,0,2
payt_pttrn_txt__base,1,1,0,2
rt934c__tu,1,1,0,2
rt922s__tu,1,1,0,2
bc935s__tu,1,1,0,2
rt922d__tu,1,1,0,2
us935c__tu,1,1,0,2
us935b__tu,1,1,0,2
us934s__tu,1,1,0,2
us934d__tu,1,1,0,2
us934c__tu,1,1,0,2
us934b__tu,1,1,0,2
rt935c__tu,1,1,0,2
rl934d__tu,1,1,0,2
rl934s__tu,1,1,0,2
rl935b__tu,1,1,0,2
rl935c__tu,1,1,0,2
rl935d__tu,1,1,0,2
rl935s__tu,1,1,0,2
rt920b__tu,1,1,0,2
rt920c__tu,1,1,0,2
rt920d__tu,1,1,0,2
rl934b__tu,1,1,0,2
rt920s__tu,1,1,0,2
rt922c__tu,1,1,0,2
au920d__tu,1,1,0,2
au920c__tu,1,1,0,2
au922b__tu,1,1,0,2
zip4__tu,1,1,0,2
zip5__tu,1,1,0,2
curr_bal_amt__base,1,1,0,2
strname__tu,1,1,0,2
acct_typ_cde__base,1,1,0,2
booked__base,1,1,0,2
state__tu,1,1,0,2
terms_freq_cde__base,1,1,0,2
gnrc_rem_cde__base,1,1,0,2
analyticsmatchkey__base,1,1,0,2
vtg4__base,1,1,0,2
performance__base,1,1,0,2
obs_arch__base,1,1,0,2
firstname__tu,1,1,0,2
indflag__tu,1,1,0,2
segment__tu,1,1,0,2
lastname__tu,1,1,0,2
address1__tu,1,1,0,2
au922c__tu,1,1,0,2
bc920d__tu,1,1,0,2
at922s__tu,1,1,0,2
at934c__tu,1,1,0,2
short_term_lending_reason5__ln,1,1,0,2
zipcodefiller__tu,1,1,0,2
auto_reason5__ln,1,1,0,2
at934b__tu,1,1,0,2
at922f__tu,1,1,0,2
alert3__ln,1,1,0,2
au922s__tu,1,1,0,2
ssn__tu,1,1,0,2
au922d__tu,1,1,0,2
agg422__tu,0,0,1,1
agg501__tu,0,0,1,1
agg407__tu,0,0,1,1
agg408__tu,0,0,1,1
agg424__tu,0,0,1,1
agg423__tu,0,0,1,1
agg413__tu,0,0,1,1
agg419__tu,0,0,1,1
agg409__tu,0,0,1,1
agg414__tu,0,0,1,1
agg410__tu,0,0,1,1
agg411__tu,0,0,1,1
agg420__tu,0,0,1,1
agg418__tu,0,0,1,1
agg417__tu,0,0,1,1
agg416__tu,0,0,1,1
agg412__tu,0,0,1,1
agg415__tu,0,0,1,1
agg421__tu,0,0,1,1
agg317__tu,0,0,1,1
agg406__tu,0,0,1,1
agg204__tu,0,0,1,1
agg121__tu,0,0,1,1
agg122__tu,0,0,1,1
agg123__tu,0,0,1,1
agg124__tu,0,0,1,1
agg201__tu,0,0,1,1
agg202__tu,0,0,1,1
agg203__tu,0,0,1,1
agg205__tu,0,0,1,1
agg119__tu,0,0,1,1
agg206__tu,0,0,1,1
agg207__tu,0,0,1,1
agg208__tu,0,0,1,1
agg209__tu,0,0,1,1
agg210__tu,0,0,1,1
agg211__tu,0,0,1,1
agg212__tu,0,0,1,1
agg120__tu,0,0,1,1
agg118__tu,0,0,1,1
agg214__tu,0,0,1,1
agg108__tu,0,0,1,1
agg101__tu,0,0,1,1
agg102__tu,0,0,1,1
agg103__tu,0,0,1,1
agg104__tu,0,0,1,1
agg105__tu,0,0,1,1
agg106__tu,0,0,1,1
agg107__tu,0,0,1,1
agg109__tu,0,0,1,1
agg117__tu,0,0,1,1
agg110__tu,0,0,1,1
agg111__tu,0,0,1,1
agg112__tu,0,0,1,1
agg113__tu,0,0,1,1
agg114__tu,0,0,1,1
agg115__tu,0,0,1,1
agg116__tu,0,0,1,1
agg213__tu,0,0,1,1
agg215__tu,0,0,1,1
agg405__tu,0,0,1,1
agg320__tu,0,0,1,1
agg313__tu,0,0,1,1
agg314__tu,0,0,1,1
agg315__tu,0,0,1,1
agg316__tu,0,0,1,1
agg503__tu,0,0,1,1
agg318__tu,0,0,1,1
agg319__tu,0,0,1,1
agg321__tu,0,0,1,1
agg311__tu,0,0,1,1
agg322__tu,0,0,1,1
agg323__tu,0,0,1,1
agg324__tu,0,0,1,1
agg401__tu,0,0,1,1
agg402__tu,0,0,1,1
agg403__tu,0,0,1,1
agg404__tu,0,0,1,1
agg312__tu,0,0,1,1
agg310__tu,0,0,1,1
agg216__tu,0,0,1,1
agg224__tu,0,0,1,1
agg217__tu,0,0,1,1
agg218__tu,0,0,1,1
agg219__tu,0,0,1,1
agg220__tu,0,0,1,1
agg221__tu,0,0,1,1
agg222__tu,0,0,1,1
agg223__tu,0,0,1,1
