feature,from_nan,from_df,from_name,sum
linkb003__tu,1,0,0,1
linkd012__tu,1,0,0,1
linkf106__tu,1,0,0,1
linkd002__tu,1,0,0,1
linkf196__tu,1,0,0,1
linkf194__tu,1,0,0,1
linkf033__tu,1,0,0,1
linkf012__tu,1,0,0,1
linkf080__tu,1,0,0,1
linkf183__tu,1,0,0,1
linkf189__tu,1,0,0,1
linkf030__tu,1,0,0,1
linkf192__tu,1,0,0,1
fltgrossmonthly__income_std,1,0,0,1
linkd010__tu,1,0,0,1
linkf034__tu,1,0,0,1
linkf187__tu,1,0,0,1
linkb001__tu,1,0,0,1
linkb018__tu,1,0,0,1
linkf136__tu,1,0,0,1
linkf123__tu,1,0,0,1
linkf124__tu,1,0,0,1
linkf017__tu,1,0,0,1
linkf016__tu,1,0,0,1
linkf014__tu,1,0,0,1
linkf184__tu,1,0,0,1
linkd008__tu,1,0,0,1
linkf081__tu,1,0,0,1
linkf186__tu,1,0,0,1
linkf188__tu,1,0,0,1
linkb017__tu,1,0,0,1
linkb002__tu,1,0,0,1
linkc032__tu,1,0,0,1
linkb016__tu,1,0,0,1
linkc024__tu,1,0,0,1
linkc028__tu,1,0,0,1
linkc027__tu,1,0,0,1
linkc026__tu,1,0,0,1
linkc048__tu,1,0,0,1
linkc020__tu,1,0,0,1
linkc006__tu,1,0,0,1
linkc035__tu,1,0,0,1
fltgrossmonthly__income_median,1,0,0,1
fltgrossmonthly__income_min,1,0,0,1
fltgrossmonthly__income_max,1,0,0,1
linkc049__tu,1,0,0,1
cvlst_s1__tu,1,0,0,1
cvlst_i1__tu,1,0,0,1
linkb004__tu,1,0,0,1
linkf079__tu,1,0,0,1
linkf048__tu,1,0,0,1
linkd007__tu,1,0,0,1
linkd014__tu,1,0,0,1
linkd005__tu,1,0,0,1
linkd009__tu,1,0,0,1
linkd006__tu,1,0,0,1
linkd003__tu,1,0,0,1
linkf190__tu,1,0,0,1
linkf011__tu,1,0,0,1
linkb014__tu,1,0,0,1
linkb013__tu,1,0,0,1
linkb005__tu,1,0,0,1
linkb015__tu,1,0,0,1
revs124__tu,0,0,1,1
