iteration,feature,importance,train_score,valid_score,best_iteration
1,g001c__tu,7.1763487396494785,0.3013366390745252,0.3381922815554032,11
2,addrlastmovetaxratiodiff__ln,21.38600773810994,0.3494383588582556,0.3626872862471941,1
3,addrinputtaxvalue__ln,4.79412569267594,0.26165013000467674,0.3364088171834064,25
4,linka024__tu,32.51611357932324,0.3457920620255113,0.36875238856217096,1
5,index01__tu,40.22566361656922,0.36803652394852904,0.37455602923952863,0
6,linka084__tu,34.56965334552175,0.3495546919661298,0.36231333857684367,2
7,bankruptcystatus__ln,25.06751579091756,0.36300380334587357,0.3758252857811966,0
8,walshr06__tu,4.551122126520455,0.28869767806080626,0.33967973219353825,12
9,pti__app,3.4350730956835447,0.22859202291826874,0.3300168748302208,40
10,addronfilecount__ln,3.898397123851077,0.2762252493941937,0.3371457596688562,18
11,co04s__tu,6.934970368428241,0.3071867764325727,0.338287935886278,9
12,addrcurrentavmvalue12month__ln,4.971392264352828,0.3040502842734022,0.33821291144832233,12
13,at31s__tu,6.8685635472948485,0.31465486133470927,0.34240646204048614,8
14,linka053__tu,5.310583699097183,0.28234382517246975,0.3389756022747576,15
15,g069s__tu,5.679789568319265,0.28923883942625295,0.3385812495005033,14
16,linka039__tu,6.385635262755451,0.3063070680149538,0.34296093580426357,10
17,g220b__tu,7.2175706601014245,0.2981703385126262,0.34133384429594466,10
18,addrinputtaxmarketvalue__ln,5.854966096067901,0.2963717095868601,0.339325279356445,10
19,linkf032__tu,28.07605132792965,0.36205749242713053,0.3711597488294064,0
20,linka085__tu,11.941134675251154,0.30929065556832486,0.34398330617433853,8
21,linka017__tu,5.413197025593704,0.27973820780991493,0.33356098637241305,23
22,ret321__tu,29.421248126256575,0.3406339215382826,0.35989989488702184,3
23,mt02s__tu,4.524877986998993,0.28578000547209925,0.334107913728403,15
24,sourcenonderogcount06month__ln,5.329666772772094,0.2979640102805264,0.3451537732460333,11
25,ret82__tu,19.57364251872661,0.33659572512857017,0.36032014505020493,2
26,linkt001__tu,3.820518185695881,0.2847938874726334,0.33615729092790514,14
27,s004s__tu,5.40062683827191,0.28241487001655424,0.3412023800872889,17
28,assetpropcurrenttaxtotal__ln,3.8005431168469226,0.25947198182810954,0.33337769555993646,26
29,s064a__tu,4.088172944537496,0.2682580251390898,0.3355726530899421,21
30,addrcurrenttaxmarketvalue__ln,12.145832318779716,0.3093195377419496,0.3422645265325424,8
31,at27s__tu,3.6064638579084947,0.26565073725046895,0.33728229184913144,24
32,au01s__tu,5.051318201428542,0.27805582182413296,0.33051570922423656,21
33,rev321__tu,5.0580412131024435,0.28949114542340326,0.3459792727481209,14
34,linka013__tu,4.09653242029372,0.2531114680397863,0.33495311368769226,26
35,paymnt11__tu,15.245593946883659,0.3303523653349975,0.35746387665383633,4
36,linka081__tu,26.93452817721843,0.33362722392764194,0.3548170139449074,4
37,rvlr02__tu,3.813048371468269,0.28613828734401087,0.33977944120573783,15
38,subjectstabilityindex__ln,15.809073370351301,0.35215367148832644,0.36190027312123846,2
39,bkc132__tu,13.623341457186866,0.34012597042771353,0.35308998565383337,3
40,au207s__tu,6.980515554205728,0.3127130834982664,0.3472373499696983,8
41,fi20s__tu,9.065187684386807,0.30819681393503134,0.3392316742453062,10
42,dti__app,2.6419770896157635,0.26955453942626034,0.3360618044816015,19
43,bkc51__tu,35.7788289076071,0.3507917382788005,0.3643351763697222,1
44,linka014__tu,7.899546590653681,0.29160328933437263,0.340997081192691,14
45,g095s__tu,5.11721136456396,0.30205613165035716,0.34107929057799796,12
46,rvlr65__tu,5.4699696948705485,0.3069390384101919,0.3439865431265497,10
47,ret122__tu,4.495009849123238,0.26453714702503384,0.3352318828708075,23
48,bc36s__tu,25.351255650849478,0.35801392869039433,0.3661381616746391,1
49,re20s__tu,5.6794588803311274,0.2847996073184613,0.33827182480121665,16
50,s114s__tu,7.040142884409573,0.31256569521831906,0.33688892515725494,9
51,linka009__tu,5.839236791830911,0.2959079461232935,0.34222748461313296,12
52,addrlastmoveecontrajectory__ln,7.588833298351087,0.315368764500444,0.3447111644931949,8
53,linka030__tu,5.241821907355036,0.30375900540602485,0.3458060713464489,9
54,ret14__tu,11.966804792326082,0.3193740860398334,0.3478810604955306,7
55,aggs909__tu,3.921535721353696,0.2853999073608374,0.3343130343121109,15
56,reap01__tu,11.134943215874358,0.3153661634902126,0.34680368751260343,8
57,se20s__tu,13.366640562522464,0.3523019374872695,0.3650546467148445,2
58,jt28s__tu,9.797220648267114,0.3185631297532657,0.34491317295143026,6
59,g242b__tu,8.191672119170294,0.33750549829295035,0.3524175199238909,5
60,re21s__tu,8.44332874736411,0.31256908426377816,0.35154542600636596,8
61,g960s__tu,19.05571813105695,0.3490498838556595,0.359056568072983,3
62,g213a__tu,4.213922911101674,0.29792500695038593,0.33855270000739873,14
63,in36s__tu,12.145905893670793,0.32537640158830594,0.3460101438766468,5
64,agg902__tu,23.52202997933201,0.3554118200985944,0.3681652347476117,1
65,addrinputsubjectowned__ln,6.162144616719774,0.27612525093162754,0.3332862718165625,20
66,g066s__tu,22.278353108272505,0.34522552500233283,0.3617081471644791,2
67,au200s__tu,12.396105612264146,0.3348661054487207,0.3486173386822912,5
68,linka080__tu,9.330225724442105,0.2959516001982555,0.33610130713473096,13
69,fltlicensefee__app,2.860837307960122,0.23605801205577154,0.3337054589534063,42
70,fltgapinsurance__app,9.964878046401457,0.315483027197928,0.3436879514493411,7
71,s063s__tu,24.23706535777799,0.3533421474816405,0.367754639147129,1
72,br32s__tu,8.230266098444199,0.31753313008802386,0.3462062530289003,7
73,s061s__tu,2.319236701665608,0.2251006496458845,0.33548779763790465,42
74,in03s__tu,2.6028655275938983,0.22966817439288295,0.3353002634016013,41
75,mt29s__tu,6.656574371586754,0.2985848232571546,0.3410778338233186,11
76,hi29s__tu,4.993190531337494,0.31086136354279553,0.3424862974135203,8
77,ret132__tu,8.423138208273546,0.3186683571071081,0.3431528496648789,7
78,linka041__tu,5.800393456353967,0.2937575560173706,0.3419365122996744,13
79,fc07s__tu,25.176171337801495,0.3481827320556277,0.36473996984106727,2
80,assetindex__ln,3.2370911747844158,0.24225145296489892,0.3381924042422772,38
81,s209s__tu,1.9060573824690277,0.24725522264364408,0.3319941807863323,35
82,linka020__tu,11.087475003723023,0.3358999376656553,0.3529399408738399,5
83,trd__tu,3.9876217959735487,0.2633864851318325,0.3299344013413534,25
84,sourcenonderogcount__ln,3.740923170706908,0.2808290865966349,0.33770104381022165,19
85,bitdealerapplicantsamecity__app,3.4382955641203923,0.2699055181448347,0.33570719336107335,21
86,g209s__tu,7.480082621357973,0.2944005898888086,0.3356242196184455,15
87,assetprop__ln,6.017199978708796,0.3098506252185611,0.33898592364125657,10
88,agg901__tu,15.117617480930122,0.3358070328404465,0.3514003182193747,4
89,indexq4__tu,17.07216452065257,0.327427644920707,0.3513930572760188,6
90,addrcurrenttaxvalue__ln,56.030531098785936,0.35128938953406935,0.36302980962979164,1
91,g063s__tu,8.090622436260128,0.31471914931452777,0.3437495305574662,7
92,rvlr33__tu,14.065592628151549,0.3240041064382758,0.34373016731540806,7
93,addrinputavmvalue12month__ln,6.49249203471475,0.28637197927273844,0.34056625297908044,13
94,intopenbktype__app,3.8325488947101873,0.2561948346103264,0.33922758559812133,28
95,rev316__tu,17.60629302040424,0.35477791483745863,0.3682674240357884,1
96,s204s__tu,3.3404003820694594,0.21256234201357319,0.3378789891614337,56
97,bc106s__tu,15.491056314666316,0.35618970941671524,0.3717386468831622,1
98,fi36s__tu,4.656145693357684,0.2661150949985322,0.33625050453343147,22
99,in28s__tu,4.055226470676505,0.2777035646571836,0.33735318843784273,19
100,linkf053__tu,17.71436431345457,0.35381152793594906,0.3635215539189458,1
