Feature,Origin,Description,Type,Stats,Bucket Stats,ErrorCode
st27s__tu,tu,Number of currently open and satisfactory student loan trades 24 months or older,numeric,"{'Nunique': 41, 'Min': 0.0, 'Max': 48.0, 'Mean': 4.87113676731794, '25%': 1.0, '50%': 3.0, '75%': 7.0, 'Nan_percentage': 76.1635106957249, 'Negative_percentage': 0.0}","{'Low': 1.0, 'Medium': 3.0, 'High': 12.0}",
st28s__tu,tu,Total credit line of open student loan trades verified in past 12 months,numeric,"{'Nunique': 16857, 'Min': 5.0, 'Max': 998749.0, 'Mean': 34225.48223655225, '25%': 9085.5, '50%': 20000.0, '75%': 46000.0, 'Nan_percentage': 73.57346232416356, 'Negative_percentage': 0.0}","{'Low': 4872.0, 'Medium': 20000.0, 'High': 66832.0}",
st29s__tu,tu,Number of open student loan trades with balance > $0 verified in past 12 months,numeric,"{'Nunique': 41, 'Min': 1.0, 'Max': 52.0, 'Mean': 5.03456285794385, '25%': 1.0, '50%': 3.0, '75%': 7.0, 'Nan_percentage': 73.5713454068186, 'Negative_percentage': 0.0}","{'Low': 1.0, 'Medium': 3.0, 'High': 12.0}",
st30s__tu,tu,Percentage of open student loan trades > 50% of credit line verified in past 12 months,numeric,"{'Nunique': 44, 'Min': 0.0, 'Max': 100.0, 'Mean': 97.99435186668804, '25%': 100.0, '50%': 100.0, '75%': 100.0, 'Nan_percentage': 73.576637700181, 'Negative_percentage': 0.0}","{'Low': 50.0, 'Medium': 100.0, 'High': nan}",
st31s__tu,tu,Percentage of open student loan trades > 75% of credit line verified in past 12 months,numeric,"{'Nunique': 49, 'Min': 0.0, 'Max': 100.0, 'Mean': 95.90057683063611, '25%': 100.0, '50%': 100.0, '75%': 100.0, 'Nan_percentage': 73.576637700181, 'Negative_percentage': 0.0}","{'Low': 50.0, 'Medium': 100.0, 'High': nan}",
st32s__tu,tu,Maximum balance owed on open student loan trades verified in past 12 months,numeric,"{'Nunique': 15998, 'Min': 28.0, 'Max': 1020765.0, 'Mean': 22392.86182866755, '25%': 4816.0, '50%': 8234.0, '75%': 21377.0, 'Nan_percentage': 73.5713454068186, 'Negative_percentage': 0.0}","{'Low': 3216.0, 'Medium': 8236.0, 'High': 49051.5}",
st33s__tu,tu,Total balance of open student loan trades verified in past 12 months,numeric,"{'Nunique': 20562, 'Min': 28.0, 'Max': 1020765.0, 'Mean': 40688.75077095599, '25%': 9501.0, '50%': 23208.0, '75%': 54546.0, 'Nan_percentage': 73.5713454068186, 'Negative_percentage': 0.0}","{'Low': 5027.0, 'Medium': 23213.0, 'High': 81868.0}",
st34s__tu,tu,Utilization for open student loan trades verified in past 12 months,numeric,"{'Nunique': 343, 'Min': 1.0, 'Max': 999.0, 'Mean': 116.53296747316135, '25%': 101.0, '50%': 109.0, '75%': 126.0, 'Nan_percentage': 73.576637700181, 'Negative_percentage': 0.0}","{'Low': 100.0, 'Medium': 109.0, 'High': 145.0}",[999.0]
st35s__tu,tu,Average balance of open student loan trades verified in past 12 months,numeric,"{'Nunique': 13731, 'Min': 28.0, 'Max': 1020765.0, 'Mean': 16312.862028915855, '25%': 3119.0, '50%': 4850.0, '75%': 13390.0, 'Nan_percentage': 73.5713454068186, 'Negative_percentage': 0.0}","{'Low': 2301.0, 'Medium': 4851.0, 'High': 33790.0}",
st36s__tu,tu,Months since most recent student loan delinquency,numeric,"{'Nunique': 87, 'Min': 0.0, 'Max': 999.0, 'Mean': 456.774605372473, '25%': 11.0, '50%': 62.0, '75%': 999.0, 'Nan_percentage': 61.77905733670629, 'Negative_percentage': 0.0}","{'Low': 1.0, 'Medium': 999.0, 'High': nan}",[999.0]
st45s__tu,tu,Months since oldest student loan in repayment trade opened,numeric,"{'Nunique': 395, 'Min': 1.0, 'Max': 582.0, 'Mean': 108.85200954475273, '25%': 59.0, '50%': 100.0, '75%': 150.0, 'Nan_percentage': 77.37756279306075, 'Negative_percentage': 0.0}","{'Low': 40.0, 'Medium': 100.0, 'High': 181.0}",
st50s__tu,tu,Number of 90 or more days past due ratings on student loan trades,numeric,"{'Nunique': 684, 'Min': 0.0, 'Max': 999.0, 'Mean': 33.130434782608695, '25%': 0.0, '50%': 0.0, '75%': 18.0, 'Nan_percentage': 61.77905733670629, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 7.0, 'High': 64.0}",[999.0]
st57s__tu,tu,Total past due amount of open student loan trades verified in past 12 months,numeric,"{'Nunique': 567, 'Min': 0.0, 'Max': 73149.0, 'Mean': 47.850895109936324, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'Nan_percentage': 73.5713454068186, 'Negative_percentage': 0.0}","{'Low': nan, 'Medium': 0.0, 'High': 984.0}",
st60s__tu,tu,Only trade(s) is student loan(s),binary,"{'Nunique': 2, 'Values': {0.0: 93652, 1.0: 796, nan: 29}, 'Nan_percentage': 0.030695301501952852, 'Negative_percentage': 0.0}",{},
st99s__tu,tu,Total balance of all student loan trades ever delinquent,numeric,"{'Nunique': 8700, 'Min': 0.0, 'Max': 432188.0, 'Mean': 17951.667891535733, '25%': 0.0, '50%': 4946.5, '75%': 20825.0, 'Nan_percentage': 83.2932883135578, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 8039.0, 'High': 45166.0}",
st101s__tu,tu,Total balance of all student loan trades verified in past 12 months,numeric,"{'Nunique': 21799, 'Min': 0.0, 'Max': 1020765.0, 'Mean': 38260.40578204485, '25%': 7977.0, '50%': 20685.0, '75%': 51416.75, 'Nan_percentage': 70.45418461636166, 'Negative_percentage': 0.0}","{'Low': 3712.5, 'Medium': 20685.0, 'High': 78846.0}",
atap01__tu,tu,Total scheduled monthly payment for all trades verified in past 12 months,numeric,"{'Nunique': 4950, 'Min': 0.0, 'Max': 543307.0, 'Mean': 950.9010603677062, '25%': 30.0, '50%': 284.0, '75%': 666.0, 'Nan_percentage': 11.858970966478614, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 288.0, 'High': 1125.0}",
hiap01__tu,tu,Total scheduled monthly payment for open home equity loan trades verified in past 12 months,numeric,"{'Nunique': 145, 'Min': 0.0, 'Max': 862.0, 'Mean': 168.65236051502146, '25%': 51.0, '50%': 117.0, '75%': 211.0, 'Nan_percentage': 99.7533791293119, 'Negative_percentage': 0.0}","{'Low': 26.5, 'Medium': 122.0, 'High': 382.0}",
hrap01__tu,tu,Total scheduled monthly payment for all home equity line of credit trades verified in past 12 months,numeric,"{'Nunique': 68, 'Min': 0.0, 'Max': 18706.0, 'Mean': 333.37297297297295, '25%': 0.0, '50%': 0.0, '75%': 257.0, 'Nan_percentage': 99.80418514559099, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 127.0, 'High': 409.0}",
inap01__tu,tu,Total scheduled monthly payment for open installment trades verified in past 12 months,numeric,"{'Nunique': 2067, 'Min': 0.0, 'Max': 11369.0, 'Mean': 415.445441976219, '25%': 86.0, '50%': 383.0, '75%': 586.0, 'Nan_percentage': 42.58390931126094, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 383.0, 'High': 803.0}",
mtap01__tu,tu,Total scheduled monthly payment for open mortgage trades verified in past 12 months,numeric,"{'Nunique': 1815, 'Min': 0.0, 'Max': 25086.0, 'Mean': 1142.6695996480423, '25%': 669.0, '50%': 1027.0, '75%': 1482.75, 'Nan_percentage': 95.18824687490077, 'Negative_percentage': 0.0}","{'Low': 467.0, 'Medium': 1027.0, 'High': 1937.0}",
reap01__tu,tu,Total scheduled monthly payment for all revolving trades verified in past 12 months,numeric,"{'Nunique': 1272, 'Min': 0.0, 'Max': 18706.0, 'Mean': 102.6812956566057, '25%': 3.0, '50%': 41.0, '75%': 121.0, 'Nan_percentage': 25.23471321062269, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 41.0, 'High': 230.0}",
s063s__tu,tu,Total public record amount reported in past 12 months,numeric,"{'Nunique': 41, 'Min': 0.0, 'Max': 144119.0, 'Mean': 14344.91304347826, '25%': 1127.75, '50%': 2621.5, '75%': 12182.0, 'Nan_percentage': 99.95131090106587, 'Negative_percentage': 0.0}","{'Low': 245.0, 'Medium': 2621.5, 'High': 31390.0}",
s063a__tu,tu,Total public record amount,numeric,"{'Nunique': 190, 'Min': 0.0, 'Max': 176712.0, 'Mean': 16122.214285714286, '25%': 0.0, '50%': 4030.5, '75%': 19082.5, 'Nan_percentage': 99.71844999312002, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 4565.0, 'High': 35767.0}",
s208s__tu,tu,Number of tax liens,binary,"{'Nunique': 1, 'Values': {0.0: 37432, 'NaN': 57045}, 'Nan_percentage': 60.37977497168623, 'Negative_percentage': 0.0}",{},
s207s__tu,tu,Months since most recent public record bankruptcy,numeric,"{'Nunique': 120, 'Min': 0.0, 'Max': 119.0, 'Mean': 21.3207582632978, '25%': 1.0, '50%': 5.0, '75%': 37.0, 'Nan_percentage': 60.57982366078516, 'Negative_percentage': 0.0}","{'Low': 1.0, 'Medium': 5.0, 'High': 61.0}",
s207a__tu,tu,Months since most recent tradeline bankruptcy,numeric,"{'Nunique': 85, 'Min': 0.0, 'Max': 999.0, 'Mean': 21.82365736343862, '25%': 1.0, '50%': 3.0, '75%': 14.0, 'Nan_percentage': 65.45085047154335, 'Negative_percentage': 0.0}","{'Low': 1.0, 'Medium': 4.0, 'High': 39.0}",[999.0]
g106s__tu,tu,Months on file,numeric,"{'Nunique': 714, 'Min': 0.0, 'Max': 921.0, 'Mean': 254.85748771810944, '25%': 158.0, '50%': 254.0, '75%': 349.0, 'Nan_percentage': 0.030695301501952852, 'Negative_percentage': 0.0}","{'Low': 96.0, 'Medium': 255.0, 'High': 410.0}",
g099a__tu,tu,Number of tradeline bankruptcies verified in past 24 months,numeric,"{'Nunique': 46, 'Min': 0.0, 'Max': 51.0, 'Mean': 5.268496675959683, '25%': 2.0, '50%': 4.0, '75%': 7.0, 'Nan_percentage': 65.45085047154335, 'Negative_percentage': 0.0}","{'Low': 1.0, 'Medium': 4.0, 'High': 11.0}",
s209s__tu,tu,Months since most recent third party collection,numeric,"{'Nunique': 83, 'Min': 0.0, 'Max': 82.0, 'Mean': 16.02724300095525, '25%': 5.0, '50%': 9.0, '75%': 21.0, 'Nan_percentage': 42.38174370481704, 'Negative_percentage': 0.0}","{'Low': 4.0, 'Medium': 10.0, 'High': 36.0}",
s209a__tu,tu,Months since most recent non-medical third party collection,numeric,"{'Nunique': 84, 'Min': 0.0, 'Max': 83.0, 'Mean': 17.39503652771809, '25%': 5.0, '50%': 11.0, '75%': 24.0, 'Nan_percentage': 50.73933338272807, 'Negative_percentage': 0.0}","{'Low': 4.0, 'Medium': 11.0, 'High': 39.0}",
s204s__tu,tu,Total balance of third party collections verified in past 12 months,numeric,"{'Nunique': 10948, 'Min': 0.0, 'Max': 196026.0, 'Mean': 3201.7339902474555, '25%': 665.0, '50%': 1672.0, '75%': 3831.0, 'Nan_percentage': 47.68779702996496, 'Negative_percentage': 0.0}","{'Low': 323.0, 'Medium': 1674.0, 'High': 6628.0}",
s204a__tu,tu,Total balance of non-medical third party collections verified in past 12 months,numeric,"{'Nunique': 9291, 'Min': 0.0, 'Max': 108916.0, 'Mean': 2617.1266660409237, '25%': 545.0, '50%': 1308.0, '75%': 3110.25, 'Nan_percentage': 54.89272521354403, 'Negative_percentage': 0.0}","{'Low': 272.0, 'Medium': 1308.0, 'High': 5544.5}",
g242s__tu,tu,Number of inquiries (includes duplicates) in past 3 months,numeric,"{'Nunique': 64, 'Min': 0.0, 'Max': 122.0, 'Mean': 5.394834144938037, '25%': 2.0, '50%': 4.0, '75%': 7.0, 'Nan_percentage': 0.6668289636631137, 'Negative_percentage': 0.0}","{'Low': 2.0, 'Medium': 4.0, 'High': 10.0}",
g242f__tu,tu,Number of finance inquiries (includes duplicates) in past 3 months,numeric,"{'Nunique': 43, 'Min': 0.0, 'Max': 73.0, 'Mean': 3.1035937727338863, '25%': 1.0, '50%': 2.0, '75%': 4.0, 'Nan_percentage': 5.42777607248325, 'Negative_percentage': 0.0}","{'Low': 1.0, 'Medium': 3.0, 'High': 6.0}",
g243f__tu,tu,Number of finance inquiries (includes duplicates) in past 6 months,numeric,"{'Nunique': 50, 'Min': 0.0, 'Max': 109.0, 'Mean': 3.6155524963905585, '25%': 1.0, '50%': 3.0, '75%': 5.0, 'Nan_percentage': 5.42777607248325, 'Negative_percentage': 0.0}","{'Low': 1.0, 'Medium': 3.0, 'High': 8.0}",
g244f__tu,tu,Number of finance inquiries (includes duplicates) in past 12 months,numeric,"{'Nunique': 67, 'Min': 0.0, 'Max': 126.0, 'Mean': 4.55615619648793, '25%': 2.0, '50%': 3.0, '75%': 6.0, 'Nan_percentage': 5.42777607248325, 'Negative_percentage': 0.0}","{'Low': 1.0, 'Medium': 4.0, 'High': 9.0}",
g242b__tu,tu,Number of bank inquiries (includes duplicates) in past 3 months,numeric,"{'Nunique': 18, 'Min': 0.0, 'Max': 20.0, 'Mean': 1.1268962897302772, '25%': 0.0, '50%': 1.0, '75%': 2.0, 'Nan_percentage': 16.413518634164927, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 1.0, 'High': 3.0}",
g243b__tu,tu,Number of bank inquiries (includes duplicates) in past 6 months,numeric,"{'Nunique': 21, 'Min': 0.0, 'Max': 25.0, 'Mean': 1.549411168798278, '25%': 1.0, '50%': 1.0, '75%': 2.0, 'Nan_percentage': 16.413518634164927, 'Negative_percentage': 0.0}","{'Low': 1.0, 'Medium': 2.0, 'High': 3.0}",
g244b__tu,tu,Number of bank inquiries (includes duplicates) in past 12 months,numeric,"{'Nunique': 30, 'Min': 0.0, 'Max': 33.0, 'Mean': 2.3681651259972143, '25%': 1.0, '50%': 2.0, '75%': 3.0, 'Nan_percentage': 16.413518634164927, 'Negative_percentage': 0.0}","{'Low': 1.0, 'Medium': 2.0, 'High': 5.0}",
st102s__tu,tu,Number of student loans in repayment,numeric,"{'Nunique': 40, 'Min': 0.0, 'Max': 43.0, 'Mean': 2.698615342010523, '25%': 0.0, '50%': 1.0, '75%': 3.0, 'Nan_percentage': 61.77905733670629, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 2.0, 'High': 8.0}",
st103s__tu,tu,Number of student loans in deferment,numeric,"{'Nunique': 34, 'Min': 0.0, 'Max': 50.0, 'Mean': 1.0435890335087235, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'Nan_percentage': 61.77905733670629, 'Negative_percentage': 0.0}","{'Low': nan, 'Medium': 0.0, 'High': 3.0}",
at01a__tu,tu,Number of authorized user trades,numeric,"{'Nunique': 22, 'Min': 0.0, 'Max': 25.0, 'Mean': 0.2805124603630637, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'Nan_percentage': 0.5281708775680853, 'Negative_percentage': 0.0}","{'Low': nan, 'Medium': 0.0, 'High': 1.0}",
us01s__tu,tu,Number of unsecured installment trades,numeric,"{'Nunique': 84, 'Min': 0.0, 'Max': 154.0, 'Mean': 1.805858818021239, '25%': 0.0, '50%': 0.0, '75%': 2.0, 'Nan_percentage': 0.5281708775680853, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 1.0, 'High': 5.0}",
us02s__tu,tu,Number of open unsecured installment trades,numeric,"{'Nunique': 10, 'Min': 0.0, 'Max': 18.0, 'Mean': 0.3771702154466423, '25%': 0.0, '50%': 0.0, '75%': 1.0, 'Nan_percentage': 57.99506758258624, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 1.0, 'High': 2.0}",
us03s__tu,tu,Number of currently satisfactory open unsecured installment trades,numeric,"{'Nunique': 10, 'Min': 0.0, 'Max': 18.0, 'Mean': 1.1007456216403677, '25%': 1.0, '50%': 1.0, '75%': 1.0, 'Nan_percentage': 87.7917376716026, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 1.0, 'High': 2.0}",
us06s__tu,tu,Number of unsecured installment trades opened in past 6 months,numeric,"{'Nunique': 11, 'Min': 0.0, 'Max': 10.0, 'Mean': 0.2830431166998463, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'Nan_percentage': 57.9971844999312, 'Negative_percentage': 0.0}","{'Low': nan, 'Medium': 0.0, 'High': 1.0}",
us09s__tu,tu,Number of unsecured installment trades opened in past 24 months,numeric,"{'Nunique': 34, 'Min': 0.0, 'Max': 42.0, 'Mean': 1.3706877000226798, '25%': 0.0, '50%': 1.0, '75%': 2.0, 'Nan_percentage': 57.9971844999312, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 1.0, 'High': 4.0}",
us12s__tu,tu,Number of open unsecured installment trades verified in past 12 months,numeric,"{'Nunique': 10, 'Min': 0.0, 'Max': 18.0, 'Mean': 1.2928583810019068, '25%': 1.0, '50%': 1.0, '75%': 1.0, 'Nan_percentage': 87.78750383691268, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 1.0, 'High': 2.0}",
us20s__tu,tu,Months since oldest unsecured installment trade opened,numeric,"{'Nunique': 248, 'Min': 0.0, 'Max': 381.0, 'Mean': 58.06816520928357, '25%': 27.0, '50%': 53.0, '75%': 85.0, 'Nan_percentage': 57.9971844999312, 'Negative_percentage': 0.0}","{'Low': 15.0, 'Medium': 54.0, 'High': 110.0}",
us21s__tu,tu,Months since most recent unsecured installment trade opened,numeric,"{'Nunique': 212, 'Min': 0.0, 'Max': 381.0, 'Mean': 32.438550512814054, '25%': 9.0, '50%': 22.0, '75%': 48.0, 'Nan_percentage': 57.9971844999312, 'Negative_percentage': 0.0}","{'Low': 4.0, 'Medium': 23.0, 'High': 71.0}",
us24s__tu,tu,Number of currently open and satisfactory unsecured installment trades 6 months or older,numeric,"{'Nunique': 8, 'Min': 0.0, 'Max': 14.0, 'Mean': 0.932367849384504, '25%': 1.0, '50%': 1.0, '75%': 1.0, 'Nan_percentage': 92.69134286651777, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 1.0, 'High': 2.0}",
us25s__tu,tu,Number of currently open and satisfactory unsecured installment trades 12 months or older,numeric,"{'Nunique': 7, 'Min': 0.0, 'Max': 12.0, 'Mean': 0.8409323770491803, '25%': 1.0, '50%': 1.0, '75%': 1.0, 'Nan_percentage': 95.86777734263366, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 1.0, 'High': 2.0}",
us27s__tu,tu,Number of currently open and satisfactory unsecured installment trades 24 months or older,numeric,"{'Nunique': 5, 'Min': 0.0, 'Max': 6.0, 'Mean': 0.7705248990578735, '25%': 0.0, '50%': 1.0, '75%': 1.0, 'Nan_percentage': 98.42713041269303, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 1.0, 'High': 2.0}",
us28s__tu,tu,Total credit line of open unsecured installment trades verified in past 12 months,numeric,"{'Nunique': 3654, 'Min': 10.0, 'Max': 105842.0, 'Mean': 4232.938640709195, '25%': 1025.0, '50%': 2350.5, '75%': 5199.5, 'Nan_percentage': 87.82137451443208, 'Negative_percentage': 0.0}","{'Low': 600.0, 'Medium': 2366.0, 'High': 8990.0}",
us29s__tu,tu,Number of open unsecured installment trades with balance > $0 verified in past 12 months,numeric,"{'Nunique': 9, 'Min': 1.0, 'Max': 18.0, 'Mean': 1.296341357434605, '25%': 1.0, '50%': 1.0, '75%': 1.0, 'Nan_percentage': 87.8203160557596, 'Negative_percentage': 0.0}","{'Low': nan, 'Medium': 1.0, 'High': 2.0}",
us30s__tu,tu,Percentage of open unsecured installment trades > 50% of credit line verified in past 12 months,numeric,"{'Nunique': 12, 'Min': 0.0, 'Max': 100.0, 'Mean': 85.31922475230314, '25%': 100.0, '50%': 100.0, '75%': 100.0, 'Nan_percentage': 87.82137451443208, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 100.0, 'High': nan}",
us31s__tu,tu,Percentage of open unsecured installment trades > 75% of credit line verified in past 12 months,numeric,"{'Nunique': 18, 'Min': 0.0, 'Max': 100.0, 'Mean': 67.64409873109682, '25%': 0.0, '50%': 100.0, '75%': 100.0, 'Nan_percentage': 87.82137451443208, 'Negative_percentage': 0.0}","{'Low': 0.0, 'Medium': 100.0, 'High': nan}",
us32s__tu,tu,Maximum balance owed on open unsecured installment trades verified in past 12 months,numeric,"{'Nunique': 5410, 'Min': 3.0, 'Max': 100767.0, 'Mean': 3014.779090988094, '25%': 760.0, '50%': 1724.0, '75%': 3689.0, 'Nan_percentage': 87.8203160557596, 'Negative_percentage': 0.0}","{'Low': 391.0, 'Medium': 1725.0, 'High': 6371.0}",
