feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero
uniqueid,float64,0.0,133750517564321.0,338905043753410.0,205154526189089.0,57824197796518.086,232216009157868.47,231066329988626.0,133750517564321.0,1260418,1.0,0.0,7.9338759046602e-07,7.9338759046602e-07,0.0
applicationdate__app,object,0.0,,,,,,,2017-02-25,1481,0.0011750070214801755,,,,
target,int64,0.0,0.0,1.0,1.0,0.4589424151126919,0.3015761437872198,0.0,0,2,1.58677518093204e-06,0.0,0.6984238562127802,0.3015761437872198,0.6984238562127802
data_set,object,0.0,,,,,,,train,1,7.9338759046602e-07,,,,
year_month,object,0.0,,,,,,,2016-02,49,3.887599193283498e-05,,,,
