Data Set,Rows,Columns,Total Obs.,Min. Date,Max. Date,Prop. NaN,Target Mean
Train,1260418,1566,1973814588,2013-10-01,2017-10-21,0.09012063092523866,0.3015761437872198
Valid,420140,1566,657939240,2017-10-21,2019-02-08,0.09307006981374147,0.33386728233445995
Test,420140,1566,657939240,2019-02-08,2019-12-31,0.1158128127454444,0.36368829437806444
