iter	Logloss
0	0.4844524561
1	0.3664865307
2	0.3142481302
3	0.2834350528
4	0.2694882002
5	0.257584951
6	0.2425378955
7	0.2345848931
8	0.2269792701
9	0.2219908621
10	0.2176182605
11	0.2133092656
12	0.2082968096
13	0.2051202395
14	0.2023769109
15	0.1999599879
16	0.1981094491
17	0.1945422939
18	0.192365688
19	0.1907056765
20	0.188678598
21	0.1872894966
22	0.1838193746
23	0.1826680698
24	0.1809746281
25	0.1797831209
26	0.1785076125
27	0.176440938
28	0.1754370077
29	0.1746089211
30	0.1737229893
31	0.1730691656
32	0.1722534192
33	0.1703027276
34	0.1692050222
35	0.1681392195
36	0.1667647893
37	0.1660397011
38	0.1648841928
39	0.1641256386
40	0.163562975
41	0.1628421012
42	0.1620695727
43	0.1614828807
44	0.1604488069
45	0.1594266393
46	0.1586951275
47	0.1582033841
48	0.1577353871
49	0.1571755104
50	0.1560566397
51	0.1554914993
52	0.154737135
53	0.154625642
54	0.153903236
55	0.1530760947
56	0.1523328282
57	0.1518475663
58	0.1510273187
59	0.1501396459
60	0.1495959383
61	0.1495428379
62	0.1487987043
63	0.1479616502
64	0.1475134935
65	0.1470704253
66	0.1464174272
67	0.1455866833
68	0.1452937444
69	0.1447848146
70	0.1443434905
71	0.1440410176
72	0.1432692667
73	0.1432293568
74	0.142336603
75	0.1419372896
76	0.1417276555
77	0.1413940841
78	0.1413501184
79	0.1412937619
80	0.1406335443
81	0.1401507158
82	0.1401144471
83	0.1398632948
84	0.1398342049
85	0.1395261715
86	0.1395010674
87	0.1390920514
88	0.1390683227
89	0.1387664436
90	0.1384095109
91	0.1382106091
92	0.1373082564
93	0.1372880172
94	0.1371347451
95	0.135900137
96	0.1358813266
97	0.1352649794
98	0.1348639849
99	0.1344642798
