iter	Logloss
0	0.6829341287
1	0.6722301494
2	0.6624212799
3	0.6525281011
4	0.6429001918
5	0.6333996576
6	0.6241512411
7	0.6152070418
8	0.6064504882
9	0.5979588883
10	0.5897487145
11	0.5816517885
12	0.5736228775
13	0.5658689344
14	0.5584552192
15	0.5511964379
16	0.5442086709
17	0.537480292
18	0.5307381387
19	0.5244613748
20	0.5176472458
21	0.5110667944
22	0.5045397572
23	0.49830823
24	0.4924274467
25	0.4867975134
26	0.4813153134
27	0.475817866
28	0.470519485
29	0.4655226258
30	0.4605811375
31	0.455878393
32	0.450951129
33	0.4467075783
34	0.4422895498
35	0.437761488
36	0.4335409313
37	0.4293714249
38	0.4254139551
39	0.421647589
40	0.4180567508
41	0.4142170024
42	0.4102921816
43	0.4068206583
44	0.40323908
45	0.3999588101
46	0.3965535272
47	0.3935744072
48	0.3902642538
49	0.3871787706
50	0.3844938535
51	0.3815338851
52	0.37883899
53	0.3760818286
54	0.3734865628
55	0.3711271851
56	0.3687315766
57	0.3662740203
58	0.3637681421
59	0.36124533
60	0.3589895125
61	0.3565799674
62	0.3545690315
63	0.352341443
64	0.3500894998
65	0.3481055387
66	0.3460680499
67	0.3441639937
68	0.3422530106
69	0.3403291925
70	0.3387347627
71	0.3371569055
72	0.3353798336
73	0.3336375551
74	0.332189842
75	0.3303661495
76	0.32870069
77	0.3271545559
78	0.325763953
79	0.3243246502
80	0.3228520275
81	0.3215377662
82	0.320119898
83	0.3187799602
84	0.3175262206
85	0.3161819975
86	0.3147897576
87	0.3134539942
88	0.3121397044
89	0.3109032531
90	0.3096420734
91	0.3085617444
92	0.3076101844
93	0.3066068469
94	0.3055094686
95	0.3044178756
96	0.3034388497
97	0.3024519016
98	0.3014304641
99	0.3005405764
100	0.2995615528
101	0.298672108
102	0.2978344708
103	0.2969189063
104	0.296061485
105	0.2952252696
106	0.2945005757
107	0.293830102
108	0.2930009024
109	0.2922675949
110	0.2915646153
111	0.2907942735
112	0.2901265246
113	0.2893684476
114	0.2885938965
115	0.2880021756
116	0.2873572431
117	0.2866558903
118	0.2861230182
119	0.2855058045
120	0.2849083373
121	0.2842479932
122	0.2836956365
123	0.2831353705
124	0.2827206574
125	0.2821271199
126	0.2816572662
127	0.2811037299
128	0.2805699177
129	0.2800361626
130	0.2796324576
131	0.2791716225
132	0.2787151121
133	0.278237872
134	0.2777058921
135	0.277337874
136	0.2770379155
137	0.276700029
138	0.2762907535
139	0.2758445505
140	0.2754613468
141	0.2750407296
142	0.2746224349
143	0.2742137779
144	0.2737745644
145	0.2734015148
146	0.273022641
147	0.2726666774
148	0.2723356188
149	0.2719483589
150	0.2715518061
151	0.2712103738
152	0.2708803388
153	0.2705675536
154	0.2702259355
155	0.2698855221
156	0.2695791038
157	0.2692628152
158	0.2690056599
159	0.2687236274
160	0.2684189339
161	0.2681079893
162	0.2678031684
163	0.2675193574
164	0.2672579012
165	0.2669967756
166	0.266777809
167	0.2665112233
168	0.2663004665
169	0.2660837966
170	0.2658751803
171	0.2657490408
172	0.2655410231
173	0.2653141709
174	0.2650845967
175	0.2648464297
176	0.2646697311
177	0.2644780655
178	0.2642317745
179	0.2640107214
180	0.263811012
181	0.2636152398
182	0.2634456412
183	0.2632536579
184	0.263072199
185	0.2629135582
186	0.2627314407
187	0.2625632939
188	0.2623777678
189	0.2622029112
190	0.262061386
191	0.2618860155
192	0.2617208831
193	0.2615493895
194	0.2614519276
195	0.2612964634
196	0.2611346899
197	0.2609767264
198	0.2608083703
199	0.2606550947
200	0.2605112867
201	0.2603669409
202	0.2602317251
203	0.2601596043
204	0.2600207324
205	0.2599121975
206	0.2597952075
207	0.2596711733
208	0.2595406373
209	0.2594196628
210	0.2592809697
211	0.2591431325
212	0.2590256046
213	0.2589096939
214	0.25880224
215	0.2586894494
216	0.2585784364
217	0.2584951846
218	0.258398467
219	0.2582864588
220	0.2581782442
221	0.258084183
222	0.2579980607
223	0.2578782836
224	0.2577726302
225	0.257672097
226	0.2575773135
227	0.2574687471
228	0.2573665978
229	0.2572654852
230	0.2571903509
231	0.2571250215
232	0.2570414543
233	0.2569476111
234	0.2568568972
235	0.2567741929
236	0.2566743242
237	0.2566027175
238	0.2565197327
239	0.2564218063
240	0.2563287506
241	0.2562488408
242	0.2561695331
243	0.2560979334
244	0.2560254555
245	0.2559486462
246	0.2558922152
247	0.2558338594
248	0.2557542854
249	0.2556854581
250	0.2556132215
251	0.2555259865
252	0.2554522599
253	0.255389373
254	0.2553186958
255	0.255251877
256	0.2551979884
257	0.2551372994
258	0.2550732234
259	0.2549853261
260	0.2549332389
261	0.2548756097
262	0.2548103295
263	0.2547569321
264	0.2546985645
265	0.2546392492
266	0.2545765903
267	0.2545184161
268	0.2544677964
269	0.254410587
270	0.254358671
271	0.2543187584
272	0.2542639612
273	0.254203945
274	0.2541363183
275	0.2540716236
276	0.2540222804
277	0.2539787101
278	0.2539314292
279	0.2538954711
280	0.2538388634
281	0.2537962069
282	0.2537545564
283	0.2536985893
284	0.2536599706
285	0.253612238
286	0.2535652939
287	0.2535089822
288	0.253457615
289	0.2534145021
290	0.25336439
291	0.253315185
292	0.2532735018
293	0.2532214942
294	0.2531705325
295	0.2531318444
296	0.2530852037
297	0.253052401
298	0.2529985347
299	0.2529528648
300	0.2529091456
301	0.2528715506
302	0.252828893
303	0.2527874999
304	0.2527498586
305	0.252712687
306	0.2526708093
307	0.2526315411
308	0.2525964654
309	0.252561337
310	0.2525166095
311	0.2524848324
312	0.2524380159
313	0.2524067848
314	0.2523622046
315	0.2523233187
316	0.2522795476
317	0.2522385475
318	0.2521951925
319	0.2521614974
320	0.2521324781
321	0.2521008248
322	0.252069613
323	0.2520382943
324	0.2520031269
325	0.2519751136
326	0.2519482325
327	0.2519102645
328	0.2518790329
329	0.2518415917
330	0.251806039
331	0.2517627767
332	0.2517268943
333	0.251690736
334	0.2516595097
335	0.2516244942
336	0.2515901958
337	0.2515632196
338	0.2515328962
339	0.2514961957
340	0.2514651532
341	0.2514229736
342	0.2513967341
343	0.2513655278
344	0.2513432784
345	0.2513117842
346	0.2512940095
347	0.2512716975
348	0.2512434996
349	0.2512218811
350	0.2511939886
351	0.2511683018
352	0.2511335671
353	0.2511036324
354	0.2510764003
355	0.2510420191
356	0.2510160329
357	0.2509976041
358	0.2509693646
359	0.2509332983
360	0.2509056422
361	0.250881225
362	0.2508546552
363	0.2508295033
364	0.2508069037
365	0.2507831192
366	0.2507616344
367	0.2507371063
368	0.2507169175
369	0.2506805841
370	0.2506459733
371	0.2506184549
372	0.2505878889
373	0.2505729512
374	0.2505441554
375	0.2505230752
376	0.2505036261
377	0.2504801199
378	0.2504618026
379	0.2504409809
380	0.2504195569
381	0.2504027166
382	0.2503808816
383	0.2503548095
384	0.2503298364
385	0.2503059448
386	0.2502827171
387	0.2502602231
388	0.2502316013
389	0.2502090851
390	0.2501920792
391	0.2501695457
392	0.250147588
393	0.2501327079
394	0.2501042581
395	0.2500928252
396	0.2500653383
397	0.2500439108
398	0.2500268948
399	0.2500033662
400	0.2499836232
401	0.2499570742
402	0.2499387233
403	0.2499210999
404	0.2498941417
405	0.2498754177
406	0.2498637145
407	0.2498487086
408	0.2498220706
409	0.2498049646
410	0.2497882453
411	0.2497727288
412	0.2497554492
413	0.2497427248
414	0.249718721
415	0.2497059655
416	0.2496847309
417	0.249666242
418	0.2496489313
419	0.2496313074
420	0.2496134579
421	0.2495913466
422	0.2495696033
423	0.2495481118
424	0.249528636
425	0.2495095858
426	0.24949347
427	0.2494706934
428	0.2494521864
429	0.2494318778
430	0.2494119994
431	0.2493991324
432	0.2493814703
433	0.2493667413
434	0.2493500901
435	0.2493300552
436	0.2493156401
437	0.2492947813
438	0.2492789939
439	0.2492576897
440	0.2492272356
441	0.2492059833
442	0.2491863764
443	0.2491727736
444	0.249153933
445	0.2491356099
446	0.2491164583
447	0.2490978413
448	0.2490780833
449	0.2490566344
450	0.2490414175
451	0.2490257828
452	0.2490077115
453	0.248985917
454	0.2489689643
455	0.2489487644
456	0.2489302437
457	0.2489150571
458	0.2488952918
459	0.2488841529
460	0.2488664642
461	0.2488539724
462	0.2488407931
463	0.2488224177
464	0.2488064062
465	0.2487918513
466	0.2487762348
467	0.2487599296
468	0.2487420986
469	0.248731072
470	0.248720352
