feature,mean_shap,mean_shap_abs,Description
agg903__tu,-0.002241091823539742,0.002241091823539742,Number of aggregate non-mortgage credit line increases over last 3 months
derogseverityindex__ln,-0.0022093950150724813,0.0022093950150724813,Index indicating severity of derogatory records on subject's file
paymnt11__tu,-0.0022073437787482903,0.0022073437787482903,Number of payments in last 12 months
subjectactivityindex06month__ln,0.0020915108421793067,0.0020915108421793067,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported on file within the past six months
at27s__tu,0.0020444019598293145,0.0020444019598293145,Number of currently open and satisfactory trades 24 months or older
bc36s__tu,0.001958141721940552,0.001958141721940552,Months since most recent credit card delinquency
fi24s__tu,-0.0019181797651332615,0.0019181797651332615,Number of currently open and satisfactory finance installment trades 6 months or older
jt01s__tu,0.001846741618612039,0.001846741618612039,Number of joint trades
alertregulatorycondition__ln,0.0018302865319396325,0.0018302865319396325,"Indicates subject has an alert on their file that is associated with state or federal regulations, consumer identity conditions, or bankruptcies on file"
criminalnonfelonytimenewest__ln,0.0018175935670623753,0.0018175935670623753,"Time (in months) since most recently recorded non-felony criminal conviction on subject's file
NOTE: This attribute does not include sexual offender registry records"
paymnt10__tu,0.0017144976023614055,0.0017144976023614055,Number of payments in last 3 months
indexq4__tu,-0.0017101517584960735,0.0017101517584960735,Q4 (Oct - Dec) spend indexed to annual spend
cv26__tu,-0.0016062038292312215,0.0016062038292312215,Percent of trades from active to inactive status in the past 12 months
criminalnonfelonycount__ln,0.0015882929339725719,0.0015882929339725719,Total non-felony criminal convictions or sexual offender registry records on subject's file
at28b__tu,0.0015693114473844484,0.0015693114473844484,Total credit line of open trades verified in past 12 months (excluding mortgage and home equity)
g208s__tu,-0.00153013184494443,0.00153013184494443,Percentage of individual debt
g218d__tu,0.0015034770368240343,0.0015034770368240343,Number of credit card trades verified in the past 12 months that are currently 30 days or more past due
s207s__tu,-0.0014967817114394052,0.0014967817114394052,Months since most recent public record bankruptcy
evictioncount12month__ln,-0.0014775006313476123,0.0014775006313476123,Total eviction records on subject's file in the last 12 months
g303s__tu,-0.001467580751827221,0.001467580751827221,Worst rating on revolving trades
linkf197__tu,-0.0014531673197813433,0.0014531673197813433,Total Good ACH events
in25s__tu,0.0014504980808997547,0.0014504980808997547,Number of currently open and satisfactory installment trades 12 months or older
st25s__tu,-0.0013546897487657801,0.0013546897487657801,Number of currently open and satisfactory student loan trades 12 months or older
rev319__tu,-0.0013489966973944407,0.0013489966973944407,Max Total Open-to-Buy for Revolving accounts over the past 24 months
ret205__tu,0.001323702729855343,0.001323702729855343,Total Payment Ratio for Retail accounts over the past 24 months
trv01__tu,0.001281388433503851,0.001281388433503851,Number of months since overlimit on a bankcard
addrcurrentdwelltype__ln,-0.0010245799642052908,0.0010245799642052908,
ret322__tu,0.0010206802328572525,0.0010206802328572525,Min Total Open-to-Buy for Retail accounts over the past 6 months
at25s__tu,-0.0010050420287424234,0.0010050420287424234,Number of currently open and satisfactory trades 12 months or older
bitdebtor__app,-0.0009842753150264142,0.0009842753150264142,Debtor or Codebtor
rvdexq3__tu,-0.0009619017390981523,0.0009619017390981523,Q3 (Jul - Sep) revolving spend indexed to revolving annual spend
addrinputphoneservice__ln,0.0009391223002223169,0.0009391223002223169,Indicates if phone service was found on file for the input address
rev315__tu,-0.0009365316308615567,0.0009365316308615567,Number of months since Max Total Open-to-Buy for Revolving accounts
linka031__tu,-0.0009129821352000136,0.0009129821352000136,Number of open (unpaid) non-sufficient funds in the last 3 years
g099s__tu,0.000897628465913604,0.000897628465913604,Number of public record bankruptcies in past 24 months
in28s__tu,0.0008924770856178553,0.0008924770856178553,Total credit line of open installment trades verified in past 12 months
rtdexq1__tu,0.000762749137451111,0.000762749137451111,Q1 (Jan - March) retail spend indexed to annual retail spend
at57s__tu,-0.0007358786841527005,0.0007358786841527005,Total past due amount of open trades verified in past 12 months
g301s__tu,0.0006606751940705686,0.0006606751940705686,Worst rating on credit card trades
linkt002__tu,0.0005667147815871095,0.0005667147815871095,Number of months at current address
of21s__tu,-0.0004093858698353417,0.0004093858698353417,Months since most recent credit union trade opened
bkc84__tu,0.00039652613744794264,0.00039652613744794264,Months since a Bankcard trade last exceeded 90% utilization
sourcenonderogcount__ln,0.0003847134664352492,0.0003847134664352492,Total non-derogatory source types on file for subject
linkt008__tu,0.00036014894251041034,0.00036014894251041034,Number of public record bankruptcies in the last 24 months
