feature,mean_shap,mean_shap_abs,Description
linkf210__tu,-3.776061976301066e-05,3.776061976301066e-05,Total Bad ACH events
fi36s__tu,3.468375416663822e-05,3.468375416663822e-05,Months since most recent finance installment delinquency
fr20s__tu,3.28589452924585e-05,3.28589452924585e-05,Months since oldest finance revolving trade opened
fltdowncash__app,-2.862814116169426e-05,2.862814116169426e-05,Cash Down
fr21s__tu,2.570415846820975e-05,2.570415846820975e-05,Months since most recent finance revolving trade opened
us57s__tu,1.98362707878111e-05,1.98362707878111e-05,Total past due amount of open unsecured installment trades verified in past 12 months
au51a__tu,-1.5874713783195216e-05,1.5874713783195216e-05,Terms in months of most recent auto trade
in09s__tu,1.1832605013077046e-05,1.1832605013077046e-05,Number of installment trades opened in past 24 months
all254__tu,-1.1443683767902913e-05,1.1443683767902913e-05,Average Aggregate Excess Payment for All accounts over the past 12 months
criminalnonfelonytimenewest__ln,-1.0519342764316711e-05,1.0519342764316711e-05,"Time (in months) since most recently recorded non-felony criminal conviction on subject's file
NOTE: This attribute does not include sexual offender registry records"
lm14s__tu,1.0222429796293729e-05,1.0222429796293729e-05,Months since oldest government loan modification on a mortgage trade
cv05__tu,8.151518536357868e-06,8.151518536357868e-06,Months since most recent non-medical third party collection occurrence
g051s__tu,-2.981021003124791e-06,2.981021003124791e-06,Percentage of trades ever delinquent
