Data Set,Rows,Columns,Total Obs.,Min. Date,Max. Date,Prop. NaN,Target Mean
Train,111705,2492,278368860,2013-10-01 07:28:54.833000,2017-04-15 21:14:58.020000,0.24537772651725484,0.11625262969428406
Valid,37235,2492,92789620,2017-04-16 05:11:45.077000,2018-10-15 13:51:12.850000,0.14204627629685304,0.0970323620249765
Test,37235,2492,92789620,2018-10-15 13:55:55.513000,2019-12-31 16:55:22.110000,0.23884963641407303,0.10471330737209615
