Data Set,Observations,Minimum Date,Maximum Date,Bad Rate
train,42104,2021-07-26,2022-12-06,0.46905282158464756
test,14035,2022-12-06,2023-06-17,0.42650516565728536
holdout,14035,2023-06-17,2023-11-30,0.42223013893836836
