feature,bin,min,max,count,prop,target,bin_label
fltgrossmonthly__income_sum_binned,-0.030636755596157424,0.0,3728.74,19283,0.45798498954968647,0.47668931182907226,1
fltgrossmonthly__income_sum_binned,-0.020057846818314296,3728.77,4381.36,6744,0.16017480524415734,0.47405100830367736,2
fltgrossmonthly__income_sum_binned,-0.01307857830454363,4381.38,4638.25,2185,0.05189530685920578,0.47231121281464533,3
fltgrossmonthly__income_sum_binned,0.03974505771296652,4638.4,7688.85,11780,0.27978339350180503,0.45916808149405774,4
fltgrossmonthly__income_sum_binned,0.13699314721013464,7689.16,11742.160000000047,2112,0.05016150484514535,0.43513257575757575,5
miles_odometer__app_binned,0.20643579922450475,0.0,13029.0,2645,0.06282063461903857,0.4181474480151229,1
miles_odometer__app_binned,0.15441639978583746,13033.0,29259.0,2690,0.06388941668250048,0.4308550185873606,2
miles_odometer__app_binned,0.05783313225947026,29271.0,40394.0,3387,0.0804436633098993,0.4546796575140242,3
miles_odometer__app_binned,0.005627303009561702,40395.0,53665.0,6430,0.15271708151244537,0.46765163297045104,4
miles_odometer__app_binned,-0.03459093941821666,53674.0,77789.0,14491,0.34417157514725444,0.4776757987716514,5
miles_odometer__app_binned,-0.03511172564707834,77799.0,96490.0,9935,0.235963328899867,0.4778057372924006,6
miles_odometer__app_binned,-0.13186485026888012,96491.0,150780.0,2526,0.05999429982899487,0.5019794140934284,7
au20s__tu_binned,-0.1026922602056716,1.0,50.0,19855,0.47157039711191334,0.4946864769579451,1
au20s__tu_binned,-0.04002170509966817,51.0,84.0,9824,0.2333269998099943,0.4790309446254072,2
au20s__tu_binned,0.026412053558901635,85.0,93.0,2612,0.062036861105833174,0.46248085758039814,3
au20s__tu_binned,0.1540682799476375,94.0,117.0,4764,0.11314839445183356,0.43094038623005876,4
au20s__tu_binned,0.3128478057169874,118.0,132.0,2535,0.06020805624168725,0.39250493096646943,5
au20s__tu_binned,0.349289586545788,133.0,374.0,2514,0.05970929127873836,0.38385043754972153,6
rtl_trd__tu_binned,-0.10288313362616681,0.0,0.0,19845,0.4713328899866996,0.4947341899722852,1
rtl_trd__tu_binned,-0.05722549633794771,1.0,1.0,8816,0.20938628158844766,0.4833257713248639,2
rtl_trd__tu_binned,0.03983260197759109,2.0,2.0,4920,0.11685350560516815,0.45914634146341465,3
rtl_trd__tu_binned,0.1691196928082333,3.0,4.0,4660,0.11067832034961049,0.42725321888412016,4
rtl_trd__tu_binned,0.41862276813033955,5.0,188.0,3863,0.0917490024700741,0.36758995599275174,5
ENG-loan_to_value_binned,1.6678123166959604,0.18546168401135288,0.6562609649122807,56,0.001330039901197036,0.14285714285714285,1
ENG-loan_to_value_binned,1.1866353868520996,0.6586869659779401,0.7759759036144578,113,0.0026838305149154474,0.21238938053097345,2
ENG-loan_to_value_binned,0.5396412257863064,0.77687531267473,0.8940861650385376,303,0.00719646589397682,0.33993399339933994,3
ENG-loan_to_value_binned,0.3690407630478745,0.8946856721979117,1.0126953143068598,1432,0.03401102033060992,0.3791899441340782,4
ENG-loan_to_value_binned,0.11554148778263446,1.0128205128205128,1.1309289201699322,4850,0.11519095572867186,0.4404123711340206,5
ENG-loan_to_value_binned,-0.030473066601881215,1.1309614730878188,1.2491331034482758,10813,0.2568164544936348,0.4766484786830667,6
ENG-loan_to_value_binned,-0.04388483682318446,1.2491410256410256,1.7079161125319695,24519,0.5823437203116093,0.47999510583629024,7
ENG-loan_to_value_binned,-0.8170943330920399,1.7448547263681593,2.549193,18,0.0004275128253847615,0.6666666666666666,8
rev322__tu_binned,-0.06585437172825792,0.0,20.0,32440,0.7704731141934258,0.4854808877928483,1
rev322__tu_binned,0.13369957486178488,21.0,85.0,2287,0.054317879536386095,0.43594228246611283,2
rev322__tu_binned,0.21293867753266477,86.0,239.0,2487,0.05906802204066122,0.41656614394853236,3
rev322__tu_binned,0.27215379419009234,240.0,74473.0,4890,0.11614098422952689,0.40224948875255623,4
balmag01__tu_binned,0.5021628441589092,0.0,94.0,2147,0.050992779783393505,0.3483931066604565,1
balmag01__tu_binned,0.2823420182514632,95.0,153.0,3034,0.0720596617898537,0.3998022412656559,2
balmag01__tu_binned,0.08987552757232839,154.0,222.0,5887,0.1398204446133384,0.4467470698148463,3
balmag01__tu_binned,-0.07754109461901026,223.0,600.0,31036,0.7371271138134144,0.488400567083387,4
g232s__tu_binned,0.4895661343905054,0.0,2.0,2901,0.06890081702451073,0.35125818683212684,1
g232s__tu_binned,0.38806965660404924,3.0,3.0,2239,0.05317784533536006,0.37472085752568113,2
g232s__tu_binned,0.25433901270099135,4.0,4.0,2691,0.06391316739502186,0.4065403195837978,3
g232s__tu_binned,0.19277426221179708,5.0,5.0,2617,0.06215561466844005,0.4214749713412304,4
g232s__tu_binned,0.09317669460409787,6.0,6.0,2765,0.06567072012160365,0.4459312839059674,5
g232s__tu_binned,0.07826456274107947,7.0,7.0,2491,0.05916302489074672,0.4496186270574067,6
g232s__tu_binned,0.010303981016776742,8.0,10.0,6699,0.15910602318069542,0.4664875354530527,7
g232s__tu_binned,-0.05773433500924062,11.0,12.0,3626,0.08612008360250807,0.48345284059569776,8
g232s__tu_binned,-0.12653543277164453,13.0,16.0,5409,0.12846760402812085,0.5006470696986504,9
g232s__tu_binned,-0.2033493917268091,17.0,20.0,3503,0.08319874596237888,0.5198401370254068,10
g232s__tu_binned,-0.26485260560933255,21.0,28.0,3924,0.09319779593387802,0.5351681957186545,11
g232s__tu_binned,-0.39040922358065844,29.0,383.0,3239,0.0769285578567357,0.5662241432540908,12
g002s__tu_binned,0.13170914728646016,0.0,0.0,26680,0.6336690100703021,0.43643178410794603,1
g002s__tu_binned,-0.22595460110064403,1.0,33.0,15424,0.36633098992969787,0.5254797717842323,2
linkt003__tu_binned,0.054337722694882,0.0,0.0,31786,0.7549401482044461,0.45554646699804946,1
linkt003__tu_binned,-0.1665975398824649,1.0,5.0,10318,0.24505985179555387,0.5106609808102346,2
inquirybanking12month__ln_binned,0.18051242304682133,0.0,0.0,22871,0.5432025460763823,0.4244676664771982,1
inquirybanking12month__ln_binned,-0.21229032288293928,1.0,1.0,19233,0.4567974539236177,0.5220714397129933,2
all235__tu_binned,-0.0734988353385682,0.0,32.0,26964,0.6404142124263728,0.4873905948672304,1
all235__tu_binned,0.12591273003781714,33.0,6946.0,10999,0.2612340870226107,0.43785798708973545,2
all235__tu_binned,0.14769405254539833,6947.0,796020.0,4141,0.09835170055101652,0.43250422603235933,3
cv15__tu_binned,0.1909603628981545,0.0,1.0,16982,0.40333460003800115,0.4219173242256507,1
cv15__tu_binned,-0.007259623218704522,2.0,2.0,10776,0.2559376781303439,0.4708611729769859,2
cv15__tu_binned,-0.1485997146588768,3.0,3.0,6166,0.1464468934068022,0.5061628284138826,3
cv15__tu_binned,-0.21904306957803774,4.0,5.0,5346,0.12697130913927418,0.5237560793116348,4
cv15__tu_binned,-0.3679165101700027,6.0,35.0,2834,0.06730951928557857,0.5606916019760056,5
derogseverityindex__ln_binned,0.06859209012830324,0.0,1.0,29081,0.690694470834125,0.45201334204463395,1
derogseverityindex__ln_binned,-0.004115017629025231,2.0,3.0,8873,0.21074007220216606,0.47007776400315565,2
derogseverityindex__ln_binned,-0.47249363441814146,4.0,5.0,4150,0.09856545696370891,0.5862650602409638,3
cv13__tu_binned,0.24719858879770734,0.0,18.0,6268,0.14886946608398252,0.4082641991065731,1
cv13__tu_binned,0.12277312934611222,19.0,31.0,4587,0.10894451833555006,0.4386309134510573,2
cv13__tu_binned,0.05581891004730974,32.0,43.0,6169,0.14651814554436632,0.4551791214135192,3
cv13__tu_binned,-0.03238764188799213,44.0,55.0,6820,0.16197985939578188,0.47712609970674486,4
cv13__tu_binned,-0.0768628496268219,56.0,60.0,2804,0.0665969979099373,0.48823109843081314,5
cv13__tu_binned,-0.10402948164248339,61.0,71.0,4820,0.1144784343530306,0.4950207468879668,6
cv13__tu_binned,-0.14011899801536473,72.0,100.0,10636,0.2526125783773513,0.5040428732606242,7
ENG-wtd_avg_binned,-0.10754755394946235,0.0,0.7368421052631579,25489,0.6053819114573438,0.4959001922397897,1
ENG-wtd_avg_binned,-0.03475949611986949,0.7371273712737128,0.9150326797385621,3523,0.08367376021280638,0.47771785410161793,2
