eval_metric,iterations,prop_early_stopping,learning_rate,class_weights,monotone_constraints,train_score,valid_score,test_score,train_mean,valid_mean,test_mean
Logloss,1000,0.05,0.1623,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.1922170872379748,0.1882449979736296,0.20604684093838396,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.1724,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19308283402264584,0.18781116069207757,0.20604447283772692,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.1825,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19639630665268354,0.19018707467161863,0.2076592568713197,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.1925,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19286282356975,0.18844911100958242,0.2062345762641136,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.2026,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.1958689246345723,0.18906040488848688,0.20720108023402328,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.2127,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19108940231534627,0.18758882764518883,0.20675455469829127,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.2228,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19585564564688634,0.1896413174391317,0.20712860047948062,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.2329,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19771454674095493,0.1880851150109321,0.20600523604252313,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.2429,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19329806926243082,0.18836741620193767,0.20614619935802556,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.253,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.1972073746292007,0.1897555508513037,0.2070173792994541,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.2631,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.2023775922886254,0.1926741596342185,0.2101001177992727,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.2732,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19568494609574857,0.1899788880887366,0.20832069972949802,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.2833,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.1948634054522657,0.18844801813610934,0.20628818136076477,0.033302000805693566,0.029810662011548274,0.0416006445548543
