feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero,mean_target_25,mean_target_50,mean_target_75,description,auto_flag
at28a__tu,float64,0.003486936,-5,30247804,30247809,74667.72234,31847.45714,9800,-3,206758,0.098767874,0.280533856,0.008247933,4.78E-07,0.000102227,0.350220462,0.340041731,0.336690382,Total credit line of open trades verified in past 12 months,0
aggs910__tu,float64,0.003486936,-9,709312,709321,2459.687847,638.6239447,-1,-1,20768,0.009920831,0.661864847,0.013252774,4.78E-07,0.000327223,0.318434453,0.341666366,0.339537285,Current High Credit of top-of-wallet bankcard (highest annual spend),0
aggs909__tu,float64,0.003486936,-9,577095,577104,1880.92391,503.0494565,-1,-1,18250,0.008717988,0.66186628,0.013252774,4.78E-07,0.020855337,0.318434517,0.341666348,0.335965694,Current Balance of top-of-wallet bankcard (highest annual spend).,0
aggs907__tu,float64,0.003486936,-9,1629063,1629072,3110.753607,572.8280808,-1,-1,19351,0.009243933,0.658152656,0.013252774,9.55E-07,0.000102227,0.318627173,0.341893611,0.338194902,Annual Spend of top-of-wallet bankcard (highest annual spend).,0
aggs906__tu,float64,0.003486936,-9,130000,130009,2254.144434,634.6426991,-1,-1,3239,0.001547264,0.66344125,0.013252774,4.78E-07,0.00010366,0.317961075,0.341372954,0.342718857,Current credit limit of top-of-wallet bankcard (highest annual spend).,0
agg501__tu,float64,0.003486936,-6,577233,577239,4452.017108,1264.930255,-1,-1,33550,0.016026766,0.545488071,0.047061369,4.78E-07,0.062341494,0.352668774,0.352668774,0.338617441,Aggregate bankcard balances for month 1,0
agg503__tu,float64,0.003486936,-6,550077,550083,4222.346403,1170.293039,-1,-1,32408,0.015481235,0.614545043,0.047061369,4.78E-07,0.019328615,0.317077382,0.342825961,0.338452867,Aggregate bankcard balances for month 3,0
agg502__tu,float64,0.003486936,-6,614685,614691,4263.722646,1191.959985,-1,-1,32601,0.015573431,0.600839889,0.047061369,4.78E-07,0.022668679,0.315995985,0.342925086,0.338295652,Aggregate bankcard balances for month 2,0
agg504__tu,float64,0.003486936,-6,328327,328333,4169.573824,1150.502533,-1,-1,32124,0.015345569,0.623515255,0.047061369,4.78E-07,0.018134847,0.317078879,0.342456234,0.338404347,Aggregate bankcard balances for month 4,0
agg908__tu,float64,0.003486936,-6,930001001,930001007,642794.5941,1968.704402,0,-1,35928,0.017162732,0.492904513,0.047061369,4.78E-07,0.059069263,0.354124165,0.342772355,0.340803545,Max aggregate bankcard balance over last 12 months,0
agg720__tu,float64,0.003486936,-6,139545,139551,1010.72418,126.9809336,-1,-2,11708,0.005592888,0.714685343,0.047061369,4.78E-07,0.200803679,0.322965549,0.342390865,0.321266815,Aggregate bankcard amount past due for month 20,0
agg806__tu,float64,0.003486936,-6,120862,120868,315.481064,35.7897059,-1,-2,4265,0.002037382,0.760180818,0.047061369,4.78E-07,0.095234342,0.312129045,0.335090131,0.335090131,Aggregate bankcard actual payment for month 6,0
