feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero,mean_target_25,mean_target_50,mean_target_75,description,auto_flag
agg621__tu,float64,0.003486936,-6,326720,326726,4724.409299,981.1201606,-1,-2,9383,0.00448224,0.780493968,0.047061369,4.78E-07,0.000102227,0.322344326,0.340394096,0.340394096,Aggregate bankcard credit line for month 21,0
agg620__tu,float64,0.003486936,-6,326720,326726,4745.739882,989.5202847,-1,-2,9420,0.004499915,0.777688926,0.047061369,4.78E-07,0.000102227,0.322478442,0.340536477,0.340536477,Aggregate bankcard credit line for month 20,0
agg619__tu,float64,0.003486936,-6,326720,326726,4768.81291,995.5279236,-1,-2,9415,0.004497526,0.775133242,0.047061369,4.78E-07,0.000102227,0.322358638,0.340527152,0.340527152,Aggregate bankcard credit line for month 19,0
agg618__tu,float64,0.003486936,-6,326720,326726,4788.330882,1002.483145,-1,-2,9475,0.004526188,0.772532654,0.047061369,4.78E-07,0.000102227,0.32242973,0.340629075,0.340629075,Aggregate bankcard credit line for month 18,0
agg617__tu,float64,0.003486936,-6,331720,331726,4814.752349,1011.189093,-1,-2,9458,0.004518067,0.770139387,0.047061369,4.78E-07,0.000102227,0.322386762,0.340661052,0.340661052,Aggregate bankcard credit line for month 17,0
agg616__tu,float64,0.003486936,-6,331720,331726,4832.26607,1016.788966,-1,-2,9443,0.004510902,0.767903283,0.047061369,4.78E-07,0.000102227,0.322484949,0.34077031,0.34077031,Aggregate bankcard credit line for month 16,0
agg615__tu,float64,0.003486936,-6,331720,331726,4843.834712,1021.431063,-1,-2,9494,0.004535264,0.765579283,0.047061369,4.78E-07,0.000102227,0.322426758,0.340792678,0.340792678,Aggregate bankcard credit line for month 15,0
agg614__tu,float64,0.003486936,-6,331720,331726,4859.428226,1028.154977,-1,-2,9556,0.004564882,0.762825832,0.047061369,4.78E-07,0.000102227,0.322554075,0.340931279,0.340931279,Aggregate bankcard credit line for month 14,0
agg613__tu,float64,0.003486936,-6,331720,331726,4874.241049,1034.433421,-1,-2,9547,0.004560582,0.760269192,0.047061369,4.78E-07,0.000102227,0.322558855,0.340995786,0.340995786,Aggregate bankcard credit line for month 13,0
agg612__tu,float64,0.003486936,-6,376500,376506,4882.716662,1038.282399,-1,-2,9580,0.004576346,0.757314631,0.047061369,4.78E-07,0.000102227,0.322467305,0.341016008,0.341016008,Aggregate bankcard credit line for month 12,0
agg611__tu,float64,0.003486936,-6,331720,331726,4895.578744,1045.00571,-1,-2,9624,0.004597365,0.754222014,0.047061369,4.78E-07,0.000102227,0.322509663,0.341115913,0.341115913,Aggregate bankcard credit line for month 11,0
agg610__tu,float64,0.003486936,-6,327820,327826,4901.608013,1050.07747,-1,-2,9664,0.004616473,0.750845167,0.047061369,4.78E-07,0.000102227,0.322473173,0.34117912,0.34117912,Aggregate bankcard credit line for month 10,0
agg609__tu,float64,0.003486936,-6,327820,327826,4910.946237,1054.148074,-1,-2,9646,0.004607874,0.747605897,0.047061369,4.78E-07,0.000102227,0.322508245,0.341279781,0.341371323,Aggregate bankcard credit line for month 9,0
agg608__tu,float64,0.003486936,-6,326720,326726,4917.840047,1059.033143,-1,-2,9649,0.004609308,0.743701194,0.047061369,4.78E-07,0.000102227,0.32287759,0.341583999,0.341681119,Aggregate bankcard credit line for month 8,0
bc28s__tu,float64,0.003486936,-5,709612,709617,5258.740529,1147.925824,-1,-1,13152,0.006282683,0.693207087,1.43E-05,4.78E-07,0.000102227,0.321466348,0.341970215,0.341802369,Total credit line of open credit card trades verified in past 12 months,0
hr101s__tu,float64,0.003486936,-5,1399658,1399663,4910.717713,190.9497304,-1,-1,6848,0.003271276,0.993718272,2.29E-05,4.78E-07,0.00211047,0.321564563,0.321564563,0.321564563,Total balance of all home equity line of credit trades verified in past 12 months,0
hr57s__tu,float64,0.003486936,-5,1399658,1399663,1109.461286,1.353117194,-1,-1,486,0.000232161,0.997593835,2.87E-06,4.78E-07,0.002079419,0.320943086,0.320943086,0.320943086,Total past due amount of open hoem equity line of credit trades verified in past 12 months,0
hr33s__tu,float64,0.003486936,-5,1399658,1399663,3528.236369,101.821661,-1,-1,3815,0.001822418,0.997593358,2.39E-06,4.78E-07,0.000178659,0.320943239,0.320943239,0.320943239,Total balance of open home equity line of credit trades verified in past 12 months,0
hr32s__tu,float64,0.003486936,-5,1399658,1399663,3451.199369,100.3870423,-1,-1,3808,0.001819074,0.997593358,2.39E-06,4.78E-07,0.000178659,0.320943239,0.320943239,0.320943239,Maximum balance owed on open home equity line of credit trades verified in past 12 months,0
hr28s__tu,float64,0.003486936,-5,1750000,1750005,4064.506036,118.6474541,-1,-1,1154,0.000551263,0.997604345,1.34E-05,4.78E-07,0.000102227,0.320942099,0.320942099,0.320942099,Total credit line of open home equity line of credit trades verified in past 12 months,0
hi101s__tu,float64,0.003486936,-5,841352,841357,4218.824107,236.4845257,-1,-1,12057,0.005759604,0.988936993,5.06E-05,4.78E-07,0.002899627,0.322066221,0.322066221,0.322066221,Total balance of all home equity trades verified in past 12 months,0
in101s__tu,float64,0.003486936,-5,4595252,4595257,31764.17409,19087.54658,8659,-2,133549,0.063796084,0.21887356,0.000936766,4.78E-07,0.070936235,0.300827454,0.317466975,0.323503935,Total balance of all installment trades verified in past 12 months,0
in57s__tu,float64,0.003486936,-5,509041,509046,1017.699589,141.853929,0,0,9078,0.004336542,0.398997216,0.000189646,4.78E-07,0.481067158,0.327996271,0.316589616,0.316589616,Total past due amount of open installment trades verified in past 12 months,0
in33s__tu,float64,0.003486936,-4,4590470,4590474,30032.49726,16096.73399,4500,-3,127076,0.060703945,0.39880757,0.047015988,4.78E-07,0.000102227,0.327969226,0.326717417,0.326308287,Total balance of open installment trades verified in past 12 months,0
in32s__tu,float64,0.003486936,-4,4247727,4247731,18810.76594,9664.753724,3500,-3,85368,0.040780119,0.39880757,0.047015988,4.78E-07,0.000102227,0.327969226,0.328468426,0.328492268,Maximum balance owed on installment trades verified in past 12 months,0
in28s__tu,float64,0.003486936,-5,7562282,7562287,29742.73453,17346.28552,6770,-3,124874,0.059652054,0.398858684,5.11E-05,9.55E-07,0.000102227,0.327959017,0.331085019,0.33040431,Total credit line of open installment trades verified in past 12 months,0
hi57s__tu,float64,0.003486936,-5,735302,735307,841.4644023,9.808377198,-1,-1,2106,0.001006032,0.993600758,1.91E-06,4.78E-07,0.004650867,0.321349226,0.321349226,0.321349226,Total past due amount of open hoem equity loan trades verified in past 12 months,0
hi33s__tu,float64,0.003486936,-4,841352,841356,3711.64564,176.3284766,-1,-1,9737,0.004651345,0.993598847,0.047015988,4.78E-07,0.000102227,0.321349844,0.321349844,0.321349844,Total balance of open home equity loan trades verified in past 12 months,0
hi32s__tu,float64,0.003486936,-4,804227,804231,3624.479435,173.9235817,-1,-1,9713,0.00463988,0.993598847,0.047015988,4.78E-07,0.000102227,0.321349844,0.321349844,0.321349844,Maximum balance owed on open home equity loan trades verified in past 12 months,0
hi28s__tu,float64,0.003486936,-5,1116500,1116505,4269.097159,213.3350755,-1,-1,5591,0.002670809,0.993739768,0.000140921,4.78E-07,0.000102227,0.321343692,0.321343692,0.321343692,Total credit line of open home equity loan trades verified in past 12 months,0
of28s__tu,float64,0.003486936,-5,7559783,7559788,14270.21424,2014.312846,-1,-1,49983,0.023876777,0.887151979,6.35E-05,9.55E-07,0.000102227,0.327289811,0.327289811,0.327289811,Total credit line of open credit union trades verified in past 12 months,0
md33s__tu,float64,0.003486936,-4,40244,40248,72.94661474,0.033782799,-1,-1,941,0.000449514,0.999189347,0.047015988,4.78E-07,0.000201111,0.320665342,0.320665342,0.320665342,Total balance of open medical trades verified in past 12 months,0
of32s__tu,float64,0.003486936,-5,4247727,4247732,9145.457815,1255.804304,-1,-1,38661,0.018468281,0.887092745,4.30E-06,4.78E-07,0.002559028,0.327296049,0.327296049,0.327296049,Maximum balance owed on credit union trades verified in past 12 months,0
of33s__tu,float64,0.003486936,-5,4247727,4247732,10816.9999,1511.436424,-1,-1,44662,0.021334946,0.887092745,4.30E-06,4.78E-07,0.002559028,0.327296049,0.327296049,0.327296049,Total balance of open credit union trades verified in past 12 months,0
pb33s__tu,float64,0.003486936,-4,195063,195067,2053.734084,158.2311939,-1,-1,15351,0.007333141,0.986969833,0.047015988,4.78E-07,0.00124297,0.322440487,0.322440487,0.322440487,Total balance of open premium credit card trades verified in past 12 months,0
pb32s__tu,float64,0.003486936,-4,157571,157575,1442.285912,126.9996436,-1,-1,14231,0.00679812,0.986969833,0.047015988,4.78E-07,0.00124297,0.322440487,0.322440487,0.322440487,Maximum balance owed on open premium redit card trades verified in past 12 months,0
pb28s__tu,float64,0.003486936,-4,350120,350124,3240.395889,291.0007481,-1,-1,1819,0.000868933,0.986969833,0.047015988,4.78E-07,0.000102227,0.322440487,0.322440487,0.322440487,Total credit line of open premium credit card trades verified in past 12 months,0
of101s__tu,float64,0.003486936,-5,4247727,4247732,11410.82279,1853.212645,-1,-1,47361,0.022624253,0.797368649,0.000277543,4.78E-07,0.041735037,0.328417376,0.328417376,0.328417376,Total balance of all credit union trades verified in past 12 months,0
of57s__tu,float64,0.003486936,-5,464805,464810,476.7144735,12.00176223,-1,-1,3591,0.001715413,0.887149113,6.07E-05,4.78E-07,0.09843874,0.327298946,0.327298946,0.327298946,Total past due amount of open credit union trades verified in past 12 months,0
co07s__tu,float64,0.003486936,-5,1570288,1570293,5943.071857,1535.099401,-1,-1,35247,0.01683742,0.65898194,0.000968771,4.78E-07,0.070617611,0.327725209,0.302462858,0.307285832,Total balance of trades that charged-off in the past 24 months,0
co06s__tu,float64,0.003486936,-5,1558844,1558849,4635.33484,912.7439424,-1,-2,29782,0.0142268,0.782691857,0.000573238,4.78E-07,0.039938893,0.335565994,0.310675351,0.310675351,Total balance of trades that charged-off in the past 12 months,0
co05s__tu,float64,0.003486936,-5,5390716,5390721,9797.934917,3005.432041,0,-1,46035,0.021990825,0.409561984,0.001068133,4.78E-07,0.136184999,0.290027829,0.29153785,0.311134125,Total balance of trades that charged-off,0
br101s__tu,float64,0.003486936,-5,1408961,1408966,6861.790725,1389.039134,-1,-1,35892,0.017145535,0.503761633,0.000186302,4.78E-07,0.094080701,0.355681653,0.355681653,0.339385197,Total balance of all bank revolving trades verified in past 12 months,0
br57s__tu,float64,0.003486936,-5,1399658,1399663,1176.59023,11.68070095,-1,-1,2073,0.000990268,0.706755557,6.16E-05,4.78E-07,0.247556933,0.320178715,0.342156792,0.321188227,Total past due amount of open bank revolving trades verified in past 12 months,0
br33s__tu,float64,0.003486936,-5,1400126,1400131,5140.292954,792.0154664,-1,-1,27973,0.013362645,0.706697278,3.34E-06,4.78E-07,0.014486668,0.320166703,0.342152562,0.337982995,Total balance of open bank revolving trades verified in past 12 months,0
br32s__tu,float64,0.003486936,-5,1399658,1399663,4028.070977,513.5359174,-1,-1,19058,0.009103968,0.706697278,3.34E-06,4.78E-07,0.014486668,0.320166703,0.342152562,0.337952481,Maximum balance owed on open bank revolving trades verified in past 12 months,0
br28s__tu,float64,0.003486936,-5,1905001,1905006,6890.861459,1169.715088,-1,-1,11140,0.005321555,0.706709698,1.58E-05,4.78E-07,0.000102227,0.320160891,0.342149253,0.342025736,Total credit line of open bank revolving trades verified in past 12 months,0
fc05s__tu,float64,0.003486936,-5,732455,732460,3797.341326,68.19266084,-1,-1,951,0.000454291,0.981128542,0.000188691,9.55E-07,0.018290099,0.321941332,0.321941332,0.321941332,Total balance of foreclosure trades,0
fc06s__tu,float64,0.003486936,-4,630370,630374,1430.158995,9.553358623,-1,-1,147,7.02E-05,0.996551021,0.047015988,4.78E-07,0.003358694,0.320719525,0.320719525,0.320719525,Total balance of foreclosure trades in past 12 months,0
fc07s__tu,float64,0.003486936,-5,630370,630375,1720.477684,14.41235747,-1,-1,228,0.000108915,0.993307452,2.87E-05,4.78E-07,0.00655115,0.320917031,0.320917031,0.320917031,Total balance of foreclosure trades in past 24 months,0
fi57s__tu,float64,0.003486936,-5,137306,137311,446.2721971,58.08042905,-1,-3,5609,0.002679408,0.642946097,0.000175793,4.78E-07,0.295011926,0.327544578,0.325971859,0.318271593,Total past due amount of open finance installment trades verified in past 12 months,0
fi33s__tu,float64,0.003486936,-4,1035581,1035585,9842.577133,4761.912696,-1,-3,54276,0.025927534,0.642770304,0.047015988,4.78E-07,0.000102227,0.327530691,0.325962909,0.326161989,Total balance of open finance installment trades verified in past 12 months,0
fi32s__tu,float64,0.003486936,-4,410195,410199,7806.647743,4109.179099,-1,-3,41869,0.020000736,0.642770304,0.047015988,4.78E-07,0.000102227,0.327530691,0.325962909,0.326197394,Maximum balance owed on open finance installment trades verified in past 12 months,0
fi28s__tu,float64,0.003486936,-5,2732782,2732787,12512.32087,6275.796812,-1,-3,64330,0.030730309,0.642815685,4.54E-05,4.78E-07,0.000102227,0.327520861,0.325956989,0.328209293,Total credit line of open finance installment trades verified in past 12 months,0
bc110s__tu,float64,0.003486936,-5,191336,191341,1988.60046,378.8500907,0,-1,18615,0.008892347,0.49099611,0.001638026,4.78E-07,0.307779359,0.35475143,0.318160316,0.318160316,Total past due amount of all credit card trades verified in past 12 months,0
bc101s__tu,float64,0.003486936,-5,577233,577238,4623.397304,1359.281114,0,-1,34396,0.016430899,0.489544864,0.00018678,4.78E-07,0.09121117,0.354525761,0.34038885,0.33903364,Total balance of all credit card trades verified in past 12 months,0
bc98a__tu,float64,0.003486936,-5,448648,448653,2870.339135,374.1742117,-1,-1,22194,0.010602028,0.693208998,1.62E-05,4.78E-07,0.089071083,0.321464616,0.341969273,0.340907203,Total open to buy of open credit cards verified in past 12 months,0
bc97b__tu,float64,0.003486936,-5,245499,245504,2805.231435,496.048484,-1,-1,17133,0.008184399,0.732181986,0.000355407,4.78E-07,0.103395811,0.305438885,0.332252908,0.333253486,Total open to buy of closed credit cards verified in past 3 months,0
bc97a__tu,float64,0.003486936,-5,448648,448653,2845.750386,369.9508764,-1,-1,22052,0.010534195,0.69423796,1.43E-05,4.78E-07,0.088795451,0.321466348,0.341847755,0.340851315,Total open to buy of open credit cards verified in past 3 months,0
bc57s__tu,float64,0.003486936,-5,52917,52922,94.09588519,9.246870004,-1,-1,2000,0.000955396,0.6932625,6.97E-05,4.78E-07,0.259624061,0.321490208,0.341980779,0.321179077,Total past due amount of open credit card trades verified in past 12 months,0
bc33s__tu,float64,0.003486936,-5,577233,577238,3430.535357,785.8526522,-1,-1,27751,0.013256596,0.693194667,1.91E-06,4.78E-07,0.015013091,0.321473568,0.341974275,0.337492836,Total balance of open credit card trades verified in past 12 months,0
bc32s__tu,float64,0.003486936,-5,577095,577100,1920.80982,495.2945161,-1,-1,18627,0.00889808,0.693194667,1.91E-06,4.78E-07,0.015013091,0.321473568,0.341974275,0.337459301,Maximum balance owed on open credit card trades verified in past 12 months,0
bi101s__tu,float64,0.003486936,-5,2230133,2230138,16633.48579,3830.147345,-1,-1,76416,0.036503767,0.81099355,0.00022834,4.78E-07,0.035282771,0.323465346,0.323465346,0.323465346,Total balance of all bank installment trades verified in past 12 months,0
bi57s__tu,float64,0.003486936,-5,441245,441250,586.9249469,21.27007657,-1,-1,5102,0.002437215,0.86895933,5.59E-05,4.78E-07,0.114613115,0.306003441,0.321978543,0.321978543,Total past due amount of open bank installment trades verified in past 12 months,0
bi33s__tu,float64,0.003486936,-4,2230133,2230137,15805.41154,3477.352117,-1,-1,73860,0.035282771,0.86890344,0.047015988,4.78E-07,0.000102227,0.305978202,0.321971765,0.321971765,Total balance of open bank installment trades verified in past 12 months,0
bi32s__tu,float64,0.003486936,-4,2154515,2154519,10559.50622,1979.350777,-1,-1,50580,0.024161963,0.86890344,0.047015988,4.78E-07,0.000102227,0.305978202,0.321971765,0.321971765,Maximum balance owed on open bank installment trades verified in past 12 months,0
bi28s__tu,float64,0.003486936,-5,2234097,2234102,13782.83045,3226.956793,-1,-1,66140,0.031594943,0.868908694,5.25E-06,4.78E-07,0.000102227,0.305977552,0.321971467,0.321971467,Total credit line of open bank installment trades verified in past 12 months,0
fi101s__tu,float64,0.003486936,-5,1035581,1035586,10937.2633,6309.7099,0,-1,58535,0.02796205,0.449772687,0.001299338,4.78E-07,0.073129347,0.316414987,0.308581264,0.319429504,Total balance of all finance installment trades verified in past 12 months,0
g217s__tu,float64,0.003486936,-5,7120126,7120131,14311.84572,3650.63135,109,0,56778,0.027122734,0.100007022,0.001982447,4.78E-07,0.374704365,0.285341958,0.287800759,0.307457724,Total past due amount of all trades verified in past 12 months,0
g213b__tu,float64,0.003486936,-5,998190,998195,3139.120069,983.5724594,254,-4,20552,0.009817648,0.372071771,3.68E-05,4.78E-07,0.046697841,0.260034537,0.270128134,0.299834983,Highest balance of non-medical third party collections verified in 24 months,0
g213a__tu,float64,0.003486936,-5,998190,998195,3900.550914,1347.817671,538,-4,24808,0.011850731,0.239482882,4.25E-05,4.78E-07,0.05122594,0.254061213,0.275350814,0.302771609,Highest balance of third party collections verified in 24 months,0
g211s__tu,float64,0.003486936,-5,5389785,5389790,7888.392388,2289.404014,0,-1,34665,0.0165594,0.409561984,0.001068133,4.78E-07,0.136184999,0.290027829,0.29153785,0.311430568,Highest balance of charged-off trades,0
g210s__tu,float64,0.003486936,-5,2111755,2111760,6196.055567,1887.718571,-1,-1,35748,0.017076746,0.570675651,0.002786412,9.55E-07,0.080889072,0.297318767,0.297318767,0.309795382,Total past due amount of charged-off trades verified in past 12 months,0
g207s__tu,float64,0.003486936,-5,999999999,1000000004,691371.5766,1955.36631,689,0,21479,0.010260474,0.083023904,0.036007916,4.78E-07,0.04943935,0.359850884,0.353375398,0.342202383,Total monthly obligation for all accounts,0
g206s__tu,float64,0.003486936,-5,1401735,1401740,1665.119984,209.4433969,-1,-1,6162,0.002943575,0.691878609,0.041309408,4.78E-07,0.025995845,0.331421056,0.331421056,0.33046911,Total monthly obligation for joint account verified in past 12 months,0
g199s__tu,float64,0.003486936,-5,1402840,1402845,2332.056094,610.6022099,339,-5,11975,0.005720433,0.180018563,0.07805489,4.78E-07,0.06666275,0.344264111,0.337775,0.335837995,Total monthly obligation for contractually liable accounts verified in past 12 months,0
fr101s__tu,float64,0.003486936,-5,809169,809174,1666.253738,103.3836956,-1,-1,9532,0.004553417,0.894263946,4.97E-05,1.43E-06,0.056236514,0.331859887,0.331859887,0.331859887,Total balance of all finance revolving trades verified in past 12 months,0
fr57s__tu,float64,0.003486936,-5,44822,44827,78.37325572,0.214794974,-1,-1,1191,0.000568938,0.952320967,1.34E-05,4.78E-07,0.043289944,0.325189623,0.325189623,0.325189623,Total past due amount of open finance revolving trades verified in past 12 months,0
fr33s__tu,float64,0.003486936,-5,272510,272515,956.6516486,60.61910945,-1,-1,7740,0.003697382,0.952308069,4.78E-07,4.78E-07,0.011865062,0.325189513,0.325189513,0.325189513,Total balance of open finance revolving trades verified in past 12 months,0
fr32s__tu,float64,0.003486936,-5,272510,272515,931.1176685,56.50571303,-1,-1,7181,0.003430349,0.952308069,4.78E-07,4.78E-07,0.011865062,0.325189513,0.325189513,0.325189513,Maximum balance owed on open finance revolving trades verified in past 12 months,0
fr28s__tu,float64,0.003486936,-5,258627,258632,1177.161708,122.7492611,-1,-1,2743,0.001310325,0.952323356,1.58E-05,9.55E-07,0.000102227,0.325187804,0.325187804,0.325187804,Total credit line of open finance revolving trades verified in past 12 months,0
fltamountfinanced__app,float64,0.001166279,0,636984,636984,10229.00598,6689.606123,0,0,150033,0.07150394,0,0.649327439,4.77E-07,0.649327439,0.316285368,0.316285368,0.32078939,Amount Financed,0
aut231__tu,float64,0.003486936,-6,203245,203251,1208.491612,84.04177755,-1,-2,10348,0.004943218,0.647679128,0.047015988,4.78E-07,0.265292903,0.307624805,0.322050487,0.324804794,Aggregate Excess Payment for Auto accounts over the past 1 month,1
aut232__tu,float64,0.003486936,-6,337131,337137,2154.776935,226.1460098,-1,-2,18471,0.008823559,0.595179645,0.047015988,4.78E-07,0.27504224,0.306699073,0.322765349,0.327084222,Aggregate Excess Payment for Auto accounts over the past 3 months,1
aut233__tu,float64,0.003486936,-6,546936,546942,3220.88978,437.7615322,-1,-2,25463,0.012163623,0.569382045,0.047015988,4.78E-07,0.270085169,0.306703348,0.323495779,0.32926027,Aggregate Excess Payment for Auto accounts over the past 6 months,1
aut234__tu,float64,0.003486936,-6,1506054,1506060,5175.294499,880.6488208,-1,0,33978,0.016231221,0.537741243,0.047015988,4.78E-07,0.269395373,0.306177823,0.324189633,0.331819597,Aggregate Excess Payment for Auto accounts over the past 12 months,1
aut235__tu,float64,0.003486936,-6,169393856,169393862,117400.4573,1892.631236,0,0,46405,0.022167574,0.491088306,0.047015988,4.78E-07,0.270870982,0.307094036,0.33580387,0.33580387,Aggregate Excess Payment for Auto accounts over the past 24 months,1
au28s__tu,float64,0.003486936,-5,7559183,7559188,16089.86201,7873.974482,-1,-3,70404,0.033631847,0.635985082,3.11E-05,9.55E-07,0.000102227,0.326366392,0.334071179,0.333333758,Total credit line of open auto trades verified in past 12 months,1
au101s__tu,float64,0.003486936,-5,4247727,4247732,12657.13554,7536.517253,0,-1,63567,0.030365826,0.443921365,0.001706815,4.78E-07,0.0791942,0.331055975,0.320831614,0.322963892,Total balance of all auto trades verified in past 12 months,1
au57s__tu,float64,0.003486936,-5,464805,464810,530.8700379,57.91171186,-1,-3,5830,0.002784979,0.636186671,0.000232639,4.78E-07,0.306929534,0.326383503,0.334079455,0.319089254,Total past due amount of open auto trades verified in past 12 months,1
au33s__tu,float64,0.003486936,-4,4247727,4247731,11591.55547,5797.885554,-1,-3,59667,0.028502804,0.635954032,0.047015988,4.78E-07,0.000104616,0.326370247,0.334073969,0.3287551,Total balance of open auto trades verified in past 12 months,1
au32s__tu,float64,0.003486936,-4,4247727,4247731,9159.330766,5050.139774,-1,-3,45736,0.021847994,0.635954032,0.047015988,4.78E-07,0.000104616,0.326370247,0.334073969,0.32848608,Maximum balance owed on open auto trades verified in past 12 months,1
