Data Set,Rows,Columns,Total Obs.,Min. Date,Max. Date,Prop. NaN,Target Mean
Train,12298,1528,18791344,2013-10-01 07:28:54.833000,2017-01-25 15:57:47.713000,0.06590736671097075,0.6545823325853296
Valid,4100,1528,6264800,2017-01-25 15:57:47.713000,2018-09-19 09:21:04.723000,0.07639062699527518,0.6596917763545617
Test,4100,1528,6264800,2018-09-19 11:21:27.960000,2019-12-31 14:06:40.040000,0.08042858511045843,0.6122492615722628
