bigAccountId,DQ15_2
1337511,0
1337528,0
1337539,0
1337542,0
1337547,0
1337561,0
1337579,0
1337592,0
1337599,0
1337615,0
1337634,0
1337678,0
1337699,0
1337702,0
1337747,0
1337768,0
1337779,0
1337780,0
1337807,0
1337811,0
1337858,0
1337861,0
1337872,0
1337879,0
1337886,0
1337897,0
1337911,0
1337919,0
1337923,0
1337955,0
1337957,0
1337958,0
1337966,1
1337975,0
1337981,0
1337983,0
1337986,0
1338009,0
1338011,0
1338012,0
1338018,0
1338077,0
1338101,0
1338105,0
1338117,0
1338119,0
1338122,0
1338136,0
1338137,0
1338139,0
1338153,0
1338163,0
1338167,0
1338187,0
1338194,0
1338220,0
1338232,1
1338241,0
1338242,0
1338266,0
1338277,0
1338282,0
1338314,0
1338326,0
1338333,0
1338341,0
1338344,0
1338410,0
1338481,0
1338489,0
1338500,0
1338520,0
1338535,0
1338582,0
1338593,0
1338612,0
1338615,0
1338624,0
1338647,0
1338673,0
1338694,0
1338697,0
1338702,1
1338705,1
1338728,0
1338756,0
1338760,0
1338762,0
1338768,0
1338774,0
1338790,0
1338801,0
1338828,0
1338843,0
1338860,0
1338861,0
1338868,0
1338870,0
1338902,0
1338911,0
1338931,0
1338975,0
1338990,0
1339003,0
1339011,0
1339054,1
1339086,0
1339105,0
1339128,0
1339134,1
1339170,0
1339172,0
1339199,0
1339207,0
1339226,0
1339227,0
1339245,0
1339247,0
1339277,1
1339278,0
1339294,0
1339298,0
1339349,0
1339366,0
1339384,0
1339386,0
1339451,0
1339494,0
1339540,0
1339596,0
1339600,0
1339626,0
1339630,0
1339666,0
1339709,0
1339780,0
1339829,0
1339839,0
1339852,0
1339858,0
1339867,0
1339868,0
1339871,0
1339872,0
1339879,0
1339884,0
1339943,0
1339959,0
1340020,0
1340026,0
1340056,0
1340088,0
1340104,0
1340156,0
1340165,0
1340221,0
1340244,0
1340252,0
1340265,0
1340331,0
1340357,0
1340372,0
1340387,0
1340405,0
1340411,0
1340414,0
1340432,0
1340442,0
1340450,0
1340463,0
1340465,0
1340484,0
1340485,0
1340488,0
1340497,0
1340512,0
1340515,0
1340554,0
1340556,0
1340559,0
1340571,0
1340574,0
1340597,0
1340606,0
1340608,0
1340633,0
1340646,0
1340659,0
1340666,0
1340669,0
1340694,0
1340741,0
1340749,0
1340754,1
1340766,0
1340786,0
1340788,0
1340791,0
1340803,0
1340821,0
1340829,0
1340835,0
1340843,0
1340848,0
1340872,0
1340880,0
1340912,0
1340925,0
1340926,0
1340934,0
1341013,0
1341080,0
1341083,0
1341086,0
1341091,0
