feature,propna
rl934c__tu,1.0
rl934b__tu,1.0
rl922s__tu,1.0
rl922d__tu,1.0
he934b__tu,1.0
he922s__tu,1.0
he922d__tu,1.0
he922c__tu,1.0
au935s__tu,1.0
au935d__tu,1.0
au935c__tu,1.0
au935b__tu,1.0
au934s__tu,1.0
au934d__tu,1.0
au934c__tu,1.0
au934b__tu,1.0
au922s__tu,1.0
au922d__tu,1.0
au922c__tu,1.0
au922b__tu,1.0
au920s__tu,1.0
au920d__tu,1.0
au920c__tu,1.0
au920b__tu,1.0
at999c__tu,1.0
at935s__tu,1.0
at934d__tu,1.0
at934e__tu,1.0
at934f__tu,1.0
at934s__tu,1.0
at935b__tu,1.0
at935c__tu,1.0
at935d__tu,1.0
bc920b__tu,1.0
bc920c__tu,1.0
bc920d__tu,1.0
cc100s__tu,1.0
he922b__tu,1.0
he920s__tu,1.0
he920d__tu,1.0
he920c__tu,1.0
he920b__tu,1.0
cc105s__tu,1.0
cc104s__tu,1.0
cc103s__tu,1.0
cc102s__tu,1.0
cc101s__tu,1.0
cc101b__tu,1.0
bc935s__tu,1.0
bc920s__tu,1.0
bc935d__tu,1.0
bc935c__tu,1.0
bc935b__tu,1.0
bc934s__tu,1.0
bc934d__tu,1.0
bc934c__tu,1.0
bc934b__tu,1.0
bc922s__tu,1.0
bc922d__tu,1.0
bc922c__tu,1.0
bc922b__tu,1.0
at935f__tu,1.0
at935e__tu,1.0
at922s__tu,1.0
finscore__tu,1.0
us999b__tu,1.0
at920b__tu,1.0
at920c__tu,1.0
at920d__tu,1.0
at920e__tu,1.0
at920f__tu,1.0
at920s__tu,1.0
at922b__tu,1.0
at922c__tu,1.0
at922d__tu,1.0
at922e__tu,1.0
at922f__tu,1.0
at934b__tu,1.0
at934c__tu,1.0
score_cvpropensity__tu,1.0
us933c__tu,1.0
score_bankcard__tu,1.0
us935s__tu,1.0
us935d__tu,1.0
us935c__tu,1.0
us935b__tu,1.0
us934s__tu,1.0
us934d__tu,1.0
us934c__tu,1.0
us934b__tu,1.0
us922s__tu,1.0
us922d__tu,1.0
us922c__tu,1.0
us922b__tu,1.0
he999s__tu,1.0
us999s__tu,1.0
us933b__tu,1.0
us920c__tu,1.0
rl999s__tu,1.0
mt900s__tu,1.0
mt900b__tu,1.0
mt900c__tu,1.0
mt921s__tu,1.0
mt921b__tu,1.0
mt921c__tu,1.0
mt933s__tu,1.0
mt933b__tu,1.0
mt933c__tu,1.0
mt999s__tu,1.0
mt999b__tu,1.0
rl921s__tu,1.0
rl921b__tu,1.0
rl921c__tu,1.0
rl999b__tu,1.0
us933s__tu,1.0
rt900s__tu,1.0
rt900b__tu,1.0
rt900c__tu,1.0
rt921s__tu,1.0
rt921b__tu,1.0
rt921c__tu,1.0
rt933s__tu,1.0
rt933b__tu,1.0
rt933c__tu,1.0
rt999s__tu,1.0
rt999b__tu,1.0
us921s__tu,1.0
us921b__tu,1.0
us921c__tu,1.0
us920d__tu,1.0
us920s__tu,1.0
he999b__tu,1.0
bc999b__tu,1.0
he900s__tu,1.0
he900b__tu,1.0
us920b__tu,1.0
rt935s__tu,1.0
he933c__tu,1.0
bc933c__tu,1.0
bc933b__tu,1.0
he933b__tu,1.0
he933s__tu,1.0
bc933s__tu,1.0
bc921c__tu,1.0
bc921b__tu,1.0
he921c__tu,1.0
bc921s__tu,1.0
au999b__tu,1.0
au999s__tu,1.0
he921b__tu,1.0
au933c__tu,1.0
he921s__tu,1.0
au933b__tu,1.0
he900c__tu,1.0
linkd004__tu,0.9991150318167132
linkf011__tu,0.9960246667322199
linkf190__tu,0.9953504052592395
linkf012__tu,0.9904339153520909
linkd012__tu,0.9899141721333352
linkf080__tu,0.9875121156358426
linkd013__tu,0.9871890320133728
linkf013__tu,0.9844919861214514
linkf186__tu,0.9804323701695487
linkf008__tu,0.9794631193021394
linkf027__tu,0.979350742389976
linkf182__tu,0.9766256022700136
linkf192__tu,0.9704870134430881
linkf009__tu,0.9688013597606372
linkf028__tu,0.9675090252707581
linkd011__tu,0.960359044234362
linkf010__tu,0.959263369340769
linkf029__tu,0.9564960878787453
linkf024__tu,0.9480537723524702
linkf049__tu,0.9373779656969475
linkf191__tu,0.9369003638202531
linkf025__tu,0.9334447737712287
linkf026__tu,0.9213923499417045
linkd001__tu,0.8969363244321454
linkf188__tu,0.8933964516989984
linkf123__tu,0.892651954655916
linkf124__tu,0.892651954655916
linkf081__tu,0.8926238604278751
linkb001__tu,0.8912472432538735
linkb002__tu,0.8912472432538735
linkb014__tu,0.8912472432538735
linkb005__tu,0.8912472432538735
linkb018__tu,0.8912472432538735
linkb016__tu,0.8912472432538735
linkb015__tu,0.8912472432538735
linkb013__tu,0.8912472432538735
linkb004__tu,0.8912472432538735
linkb003__tu,0.8912472432538735
linkd008__tu,0.8872438157580526
linkd010__tu,0.8757954178314066
linkf014__tu,0.8743485650873029
linkf184__tu,0.8742783295172006
linkf017__tu,0.8736743036143224
linkf016__tu,0.8736743036143224
linkb017__tu,0.8672547725069885
linkf213__tu,0.8619309162932476
linkf034__tu,0.8415906951916728
linkf187__tu,0.8379946340024442
linkf135__tu,0.8376013148098723
linkf136__tu,0.8267990841281658
linkc007__tu,0.8179494022952984
linkc048__tu,0.8179494022952984
linkc051__tu,0.8179494022952984
linkc040__tu,0.8179494022952984
linkc039__tu,0.8179494022952984
linkc038__tu,0.8179494022952984
linkc030__tu,0.8179494022952984
linkc035__tu,0.8179494022952984
linkc034__tu,0.8179494022952984
linkc033__tu,0.8179494022952984
linkc032__tu,0.8179494022952984
linkc031__tu,0.8179494022952984
linkc024__tu,0.8179494022952984
linkc029__tu,0.8179494022952984
linkc028__tu,0.8179494022952984
linkc027__tu,0.8179494022952984
linkc026__tu,0.8179494022952984
linkc025__tu,0.8179494022952984
linkc041__tu,0.8179494022952984
linkc042__tu,0.8179494022952984
linkc037__tu,0.8179494022952984
linkc044__tu,0.8179494022952984
linkc004__tu,0.8179494022952984
linkc005__tu,0.8179494022952984
linkc049__tu,0.8179494022952984
linkc006__tu,0.8179494022952984
linkc046__tu,0.8179494022952984
linkc045__tu,0.8179494022952984
linkc043__tu,0.8179494022952984
linkc036__tu,0.8179494022952984
linkc010__tu,0.8179494022952984
linkc011__tu,0.8179494022952984
linkc012__tu,0.8179494022952984
linkc050__tu,0.8179494022952984
linkc020__tu,0.8179494022952984
linkc008__tu,0.8179494022952984
linkc047__tu,0.8179494022952984
linkc009__tu,0.8179494022952984
linkf030__tu,0.8171206225680934
linkd009__tu,0.8170363398839708
linkd014__tu,0.8170363398839708
linkd002__tu,0.8170363398839708
linkd003__tu,0.8170363398839708
linkd005__tu,0.8170363398839708
linkd007__tu,0.8170363398839708
linkd006__tu,0.8170363398839708
linkf033__tu,0.8086783070418183
linkf183__tu,0.8055036592732023
linkb010__tu,0.8011209596988299
linkb009__tu,0.8011209596988299
linkb008__tu,0.8011209596988299
linkb011__tu,0.8011209596988299
linkf196__tu,0.7916672519630842
linkf194__tu,0.7916672519630842
linkf106__tu,0.7897849386843473
linkb012__tu,0.7806543145710714
linkf060__tu,0.5953447864136313
linkf189__tu,0.5882369467192965
linkf045__tu,0.5814943319894927
linkf185__tu,0.3895826602424532
linkf195__tu,0.3622188821306663
linkf105__tu,0.3622188821306663
linkf193__tu,0.3622188821306663
linkf032__tu,0.36193793985025774
linkf144__tu,0.36032252173790896
linkf132__tu,0.36032252173790896
linkf133__tu,0.36032252173790896
linkf146__tu,0.36032252173790896
linkf134__tu,0.36032252173790896
linkf145__tu,0.36032252173790896
linkf140__tu,0.36032252173790896
linkf143__tu,0.36032252173790896
linkf131__tu,0.36032252173790896
linkf137__tu,0.36032252173790896
linkf138__tu,0.36032252173790896
linkf141__tu,0.36032252173790896
linkf139__tu,0.36032252173790896
linkf142__tu,0.36032252173790896
linkf125__tu,0.36032252173790896
linkf130__tu,0.36032252173790896
linkf129__tu,0.36032252173790896
linkf128__tu,0.36032252173790896
linkf127__tu,0.36032252173790896
linkf126__tu,0.36032252173790896
linkf148__tu,0.36032252173790896
linkf122__tu,0.36032252173790896
linkf121__tu,0.36032252173790896
linkf120__tu,0.36032252173790896
linkf205__tu,0.36032252173790896
linkf204__tu,0.36032252173790896
linkf197__tu,0.36032252173790896
linkf198__tu,0.36032252173790896
linkf199__tu,0.36032252173790896
linkf200__tu,0.36032252173790896
linkf147__tu,0.36032252173790896
linkf156__tu,0.36032252173790896
linkf149__tu,0.36032252173790896
linkf180__tu,0.36032252173790896
linkf172__tu,0.36032252173790896
linkf173__tu,0.36032252173790896
linkf174__tu,0.36032252173790896
linkf175__tu,0.36032252173790896
linkf176__tu,0.36032252173790896
linkf177__tu,0.36032252173790896
linkf178__tu,0.36032252173790896
linkf179__tu,0.36032252173790896
linkf181__tu,0.36032252173790896
linkf150__tu,0.36032252173790896
linkf206__tu,0.36032252173790896
linkf207__tu,0.36032252173790896
linkf208__tu,0.36032252173790896
linkf209__tu,0.36032252173790896
linkf210__tu,0.36032252173790896
linkf211__tu,0.36032252173790896
linkf212__tu,0.36032252173790896
linkf003__tu,0.36032252173790896
linkf171__tu,0.36032252173790896
linkf170__tu,0.36032252173790896
linkf169__tu,0.36032252173790896
linkf168__tu,0.36032252173790896
linkf151__tu,0.36032252173790896
linkf152__tu,0.36032252173790896
linkf153__tu,0.36032252173790896
linkf154__tu,0.36032252173790896
linkf155__tu,0.36032252173790896
linkf202__tu,0.36032252173790896
linkf157__tu,0.36032252173790896
linkf158__tu,0.36032252173790896
linkf159__tu,0.36032252173790896
linkf160__tu,0.36032252173790896
linkf161__tu,0.36032252173790896
linkf162__tu,0.36032252173790896
linkf163__tu,0.36032252173790896
linkf164__tu,0.36032252173790896
