Data Set,Rows,Columns,Total Obs.,Min. Date,Max. Date,Prop. NaN,Target Mean
Train,111705,1569,175265145,2013-10-01 07:28:54.833000,2017-04-15 21:14:58.020000,0.08020126876909839,0.11625262969428406
Valid,37235,1569,58421715,2017-04-16 05:11:45.077000,2018-10-15 13:51:12.850000,0.0793088152239283,0.0970323620249765
Test,37235,1569,58421715,2018-10-15 13:55:55.513000,2019-12-31 16:55:22.110000,0.08029584547458081,0.10471330737209615
