Data Set,Observations,Minimum Date,Maximum Date,Bad Rate
train,25018,2021-07-26,2022-06-30,0.4857702454232952
test,8340,2022-06-30,2022-09-22,0.4702637889688249
holdout,8340,2022-09-22,2022-11-30,0.42553956834532375
